name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Lenz J.,3,0,2,11,28,15,26,68,51,208,222
Leshem E.,0,0,0,0,6,57,106,206,71,94,110
Lestienne C.,0,0,3,82,83,174,352,153,356,246,255
Levine J.,0,0,0,0,0,0,0,0,0,0,0
Levy H.,127,6,0,0,0,0,0,0,0,0,0
Li Z.,76,108,105,19,114,208,175,189,206,261,248
Lin J.M.,0,0,0,0,0,0,1,0,1,3,3
Lindahl N.,197,37,29,8,0,0,0,0,0,0,0
Lindell C.,106,88,58,68,175,237,103,163,52,110,139
Linzer M.,48,127,145,130,99,194,159,151,0,0,0
Lisnard J.R.,3,119,0,0,0,0,0,0,0,0,0
Ljubicic I.,1965,1270,0,0,0,0,0,0,0,0,0
Llodra M.,1575,915,823,541,186,0,0,0,0,0,0
Lojda D.,212,243,210,67,112,112,3,0,0,0,0
Lokoli L.,0,2,6,82,191,55,162,70,40,111,108
Londero J.I.,16,27,74,164,207,175,137,119,490,1017,832
Lopez F.,1300,1755,1005,1310,2130,1690,1410,1295,795,888,998
Lopez M.,20,4,0,10,10,0,0,0,0,0,0
Lopez Villasenor G.,0,0,0,0,0,0,0,0,0,0,0
Lopez-Perez E.,12,49,117,170,235,82,363,191,273,282,0
Lorenzi P.,384,521,744,515,759,725,1090,1095,523,480,450
Lu Y.,1141,651,759,730,993,674,754,704,8,0,10
Lu Y.H.,0,0,0,0,0,0,0,0,0,0,0
Luczak P.,400,173,8,0,0,0,0,0,0,0,0
Luz O.,0,0,0,9,6,89,63,27,109,133,149
Maamoun K.,28,10,0,0,0,0,0,0,0,0,0
Machac T.,0,0,0,0,0,0,0,0,60,107,331
Machado R.,573,698,147,178,165,150,16,0,0,0,0
Maden Y.,0,0,0,31,88,45,189,380,460,429,378
Mager G.,0,0,0,13,84,146,141,84,177,473,725
Mahut N.,424,653,515,918,490,710,1102,561,269,260,239
Majchrzak K.,0,0,0,4,92,188,181,260,292,575,680
Malisse X.,816,910,746,425,0,0,0,0,0,0,0
Mannarino A.,600,623,247,784,898,930,791,1635,1045,1111,1516
Marcan D.,20,118,106,75,58,9,5,0,0,0,0
Marchenko I.,613,212,397,315,375,605,705,260,36,180,278
Marcora R.,5,23,81,119,206,210,49,40,177,283,352
Marrero D.,105,0,0,0,0,0,0,0,0,0,0
Marterer M.,0,0,4,15,81,198,323,608,706,198,300
Marti J.,130,267,272,141,23,192,21,199,29,10,20
Marti Y.,38,38,12,136,186,124,143,35,17,2,4
Martin A.,194,0,0,0,0,0,0,0,0,0,0
Martin F.,91,183,143,61,152,23,12,0,0,0,0
Martinez P.,5,0,0,0,0,0,0,0,0,0,0
Massu N.,284,79,38,16,0,0,0,0,0,0,0
Masur D.,0,0,0,8,78,107,228,131,188,183,223
Mathieu P.H.,562,0,763,434,565,604,710,206,0,0,0
Matosevic M.,398,240,845,774,682,169,238,111,28,0,0
Mayer F.,1128,1630,1215,1065,365,236,903,718,168,0,0
Mayer L.,572,659,702,579,1299,1150,448,909,895,603,482
Mayot H.,0,0,0,0,0,0,0,0,0,28,88
Mcclune M.,59,83,117,0,0,0,0,0,0,0,0
Mcdonald M.,0,0,0,35,41,118,148,299,688,425,335
Mcgee J.,29,112,125,192,244,246,286,116,0,0,0
Mecir M.,0,0,0,0,0,0,0,0,0,0,0
Medjedovic H.,0,0,0,0,0,0,0,0,0,1,3
Medvedev D.,0,1,0,0,39,144,611,772,1977,5705,8470
Meffert D.,137,299,297,124,23,0,0,0,0,0,0
Meister N.,0,6,50,109,106,165,116,0,7,0,0
Mejia N.,0,0,0,0,0,0,1,1,28,84,80
Mektic N.,159,134,186,157,177,131,144,12,0,0,0
Meligeni Rodrigues F.,0,0,0,0,0,0,0,0,0,0,0
Mello R.,642,630,162,10,0,0,0,0,0,0,0
Melzer G.,81,121,165,252,316,318,728,572,192,7,7
Melzer J.,2785,1170,1177,1315,505,367,158,271,133,3,3
Menendez-Maceiras A.,158,232,257,240,397,415,218,465,440,216,204
Menezes J.,0,0,1,0,27,63,27,58,122,266,335
Mertens Y.,191,194,242,152,192,249,209,161,106,81,73
Mertl J.,95,228,271,250,229,226,122,75,49,1,1
Mesaros K.,140,153,33,257,39,0,215,35,0,0,0
Michon A.,95,181,129,187,228,181,201,135,10,0,0
Miedler L.,0,0,1,0,3,117,108,104,250,158,150
Millman J.,243,51,239,266,328,611,665,436,1083,1026,1421
Millot V.,242,278,229,170,335,282,428,269,87,32,12
Milojevic N.,0,0,0,31,109,216,217,347,321,334,472
Mina G.,55,78,17,43,203,57,149,54,20,11,13
Minar I.,325,268,256,102,3,1,1,0,0,0,0
Mitchell B.,35,214,137,173,203,225,75,26,32,0,0
Mmoh M.,0,0,0,0,38,88,278,299,563,227,368
Mochizuki S.,0,0,0,0,0,0,0,0,0,0,0
Moeller M.,0,0,0,0,0,0,3,42,27,0,42
Molcan A.,0,0,0,0,0,20,40,70,114,141,145
Molleker R.,0,0,0,0,0,0,9,52,267,308,273
Molteni A.,173,236,124,179,175,57,32,5,0,0,0
Monaco J.,1480,1335,2430,1015,770,810,740,0,0,0,0
Monfils G.,2560,1910,660,1230,1900,1485,3625,1015,1400,2530,2860
Montanes A.,1495,895,565,766,536,508,359,0,0,0,0
Monteiro J.,0,0,0,0,2,0,53,206,137,1,17
Monteiro T.,4,24,83,168,79,85,674,475,473,616,804
Moraing M.,0,0,1,11,77,82,87,187,359,270,222
Moraru G.,0,78,11,0,0,0,0,0,0,0,0
Moriya H.,111,134,306,244,366,251,331,131,301,228,233
Moroni G.,0,0,0,1,4,1,21,29,246,176,250
Mott B.,0,3,2,38,53,42,173,181,0,54,74
Moutet C.,0,0,0,0,5,19,66,352,370,638,838
Moya C.,55,0,0,0,0,0,0,0,0,0,0
Mukund S.,0,0,0,1,19,61,71,88,129,161,157
Muller A.,0,0,0,4,6,37,144,124,127,205,302
Muller G.,0,0,0,0,0,0,0,0,0,0,0
Munar J.,0,0,0,0,0,0,0,0,0,0,0
Munoz De La Nava D.,372,381,299,258,236,681,131,170,75,9,9
Munoz-De La Nava D.,0,0,0,0,0,0,0,0,0,0,0
Murray A.,5760,7380,8000,5790,4675,8945,12410,2290,200,442,547
Musetti L.,0,0,0,0,0,0,0,0,0,106,509
Muster T.,7,6,0,0,0,0,0,0,0,0,0
Myneni S.,0,22,104,139,190,301,287,43,196,93,81
Nadal R.,12450,9595,6690,13030,6835,5230,3300,10645,7480,9985,9850
Nagal S.,0,0,0,1,2,101,128,233,75,423,475
Nakashima B.,0,0,0,0,0,0,0,0,26,101,387
Nalbandian D.,1480,760,635,205,0,0,0,0,0,0,0
Nam J.S.,5,1,72,51,82,59,57,4,122,192,203
Napolitano S.,0,0,13,17,80,107,331,243,254,214,191
Nardi L.,0,0,0,0,0,0,0,0,2,2,22
Naso G.,150,215,240,161,113,235,57,0,0,0,0
Nava E.,0,0,0,1,7,12,0,0,0,1,1
Navarro-Pastor I.,277,258,209,2,0,0,0,0,0,0,0
Nedelko I.,49,98,61,95,68,160,126,172,175,123,124
Nedovyesov A.,46,1,233,586,421,345,329,197,291,131,131
Nedunchezhiyan J.,0,47,89,141,108,99,8,0,0,0,0
Neumayer L.,0,0,0,0,0,0,0,0,0,0,0
Nielsen F.,177,205,101,42,130,116,114,45,25,0,0
Nieminen J.,1062,666,927,1090,693,375,0,0,0,0,0
Niki T.,19,49,38,41,148,129,118,76,67,43,44
Nikles J.,0,0,0,0,6,12,35,15,61,66,71
Niland C.,433,159,0,0,0,0,0,0,0,0,0
Nishikori K.,554,1430,1830,1915,5025,4235,4905,1885,3590,2180,1345
Nishioka Y.,0,11,19,87,310,495,604,330,701,764,1062
Norrie C.,0,0,0,11,37,35,183,521,627,975,877
Novak D.,10,1,0,0,0,0,0,0,0,0,0
Novikov D.,1,8,50,40,168,387,343,224,168,46,24
O Connell C.,0,1,1,0,74,58,217,105,6,470,558
Odesnik W.,0,447,394,410,300,0,0,0,0,0,0
Ofner S.,0,0,0,2,6,32,173,389,283,333,402
Ojeda Lara R.,3,6,10,48,105,88,184,260,145,64,78
Okun N.,119,6,6,0,0,10,0,0,0,0,0
Olaso G.,227,263,127,182,0,0,0,82,55,0,0
Oliel Y.,0,0,0,0,0,1,14,41,20,85,93
Olivetti A.,27,93,214,185,161,0,146,115,102,17,14
Olivo R.,33,56,167,266,182,296,670,387,68,168,281
Opelka R.,0,0,0,1,6,13,267,228,590,1243,1402
Ortega-Olmedo R.,16,46,32,130,173,132,128,160,169,195,170
Oswald P.,93,177,107,11,21,0,0,0,0,0,0
Otte O.,0,1,5,40,7,82,70,435,313,315,467
Ouahab L.,185,17,151,184,52,227,119,48,79,31,35
Ouanna J.,340,107,474,147,125,0,0,0,0,0,0
Ouyang B.,6,15,16,14,25,25,37,0,0,0,0
Paire B.,366,586,867,1345,474,1633,960,1155,935,1538,1738
Pasha N.,0,0,0,0,6,17,18,44,10,0,0
Patience O.,266,75,85,0,0,0,0,0,0,0,0
Patino L.,0,5,9,11,26,27,30,12,17,12,12
Paul T.,19,0,0,0,0,0,0,0,0,0,0
Pavic A.,51,83,53,189,303,90,109,165,114,28,28
Pavic M.,1,14,113,95,97,47,6,12,0,0,0
Pavlasek A.,0,10,74,101,203,353,704,256,252,94,98
Peliwo F.,0,12,59,172,104,112,71,279,199,144,116
Pella G.,91,122,564,478,333,693,685,774,860,1530,1310
Pellegrino A.,0,0,0,0,2,3,81,123,69,115,188
Petrovic D.,0,0,0,0,0,0,0,0,0,0,0
Petzschner P.,839,780,492,241,98,31,5,0,0,0,0
Peya A.,228,24,0,0,0,0,0,0,0,0,0
Phau B.,551,331,668,139,116,0,0,0,0,0,0
Piros Z.,0,0,0,0,0,1,2,41,105,79,86
Podlipnik H.,63,129,179,150,279,260,82,7,0,0,0
Poerschke L.,14,0,0,0,0,0,0,0,0,0,0
Polansky P.,240,161,288,398,270,36,452,404,482,279,270
Polmans M.,0,0,1,2,10,22,238,149,398,417,539
Popko D.,0,0,3,6,43,204,238,233,68,271,381
Popyrin A.,0,0,0,0,0,0,7,43,365,585,623
Pospisil J.,395,235,96,225,191,132,113,32,56,31,34
Pospisil V.,129,481,454,1219,830,1075,456,545,716,360,1006
Pouille L.,0,1,85,246,408,672,2156,2235,1245,1600,880
Prashanth V.,25,41,47,31,56,115,58,61,29,10,4
Prodon E.,379,581,157,21,36,0,0,0,0,0,0
Prpic F.,144,2,10,0,0,0,0,0,0,0,0
Przysiezny M.,590,145,231,730,298,256,96,72,6,3,0
Puetz T.,4,38,87,193,268,100,36,136,90,0,0
Purcell M.,0,0,0,0,0,0,0,0,0,0,0
Querrey S.,1860,589,1650,960,1090,785,1355,2535,955,1100,1065
Quigley E.,0,2,38,46,78,158,110,44,0,0,0
Quinzi G.,0,1,49,131,96,113,168,138,380,102,95
Quiroz R.,0,17,24,37,66,0,172,182,280,167,166
Rachidi Y.,3,6,11,17,6,0,0,0,0,0,0
Ram R.,285,355,427,439,381,623,461,128,0,0,0
Ramanathan R.,0,11,19,65,203,209,231,379,432,293,340
Ramirez C.,82,52,75,30,33,5,0,0,0,0,0
Ramirez-Hidalgo R.,0,0,0,0,0,0,0,0,0,0,0
Ramos A.,458,709,830,617,761,798,1435,1845,790,1130,1165
Ramos-Vinolas A.,0,0,0,0,0,0,0,0,0,0,0
Raonic M.,345,1255,2380,2860,4440,2170,5450,1795,1855,1350,2580
Recouderc L.,243,49,94,57,13,4,0,0,0,0,0
Reid M.,81,174,146,212,189,156,40,0,0,0,0
Reinberg E.,0,0,0,0,0,0,7,16,9,0,0
Reister J.,504,210,153,612,276,59,44,0,0,0,0
Reix C.,159,68,127,25,0,0,0,0,0,0,0
Renavand N.,69,117,174,61,0,0,0,0,0,0,0
Reyes-Varela M.A.,17,31,34,82,41,0,0,0,0,0,0
Reynolds B.,333,459,378,282,47,0,0,0,0,0,0
Riba P.,672,612,80,443,505,236,186,36,0,0,0
Riba-Madrid P.,0,0,0,0,0,0,0,0,0,0,0
Riedi L.,0,0,0,0,0,0,0,0,0,0,15
Rieschick S.,200,182,67,0,0,0,0,0,0,0,0
Riffice S.,0,0,0,0,0,0,2,24,31,46,39
Rinderknech A.,0,0,0,1,0,1,10,8,105,121,361
Rios F.,2,6,20,4,0,0,0,0,0,0,0
Robert S.,460,552,174,487,407,239,854,237,259,26,15
Robredo T.,915,905,495,1810,2015,1000,127,336,249,244,255
Roca Batalla O.,2,16,19,71,191,217,156,107,215,125,134
Rochus C.,189,1,8,0,0,0,0,0,0,0,0
Rochus O.,515,704,577,252,53,0,0,0,0,0,0
Roddick A.,3665,1940,1015,0,0,0,0,0,0,0,0
Rodionov J.,0,0,0,0,0,2,12,68,228,134,455
Rodrigues M.,90,227,82,61,85,0,1,0,0,0,0
Roger-Vasselin E.,456,548,545,908,600,475,167,0,0,0,0
Rola B.,90,21,146,276,632,408,204,248,271,370,417
Romboli F.,157,116,150,130,65,139,63,25,1,0,0
Rosenholm P.,1,85,108,42,122,12,64,3,0,0,0
Rosol L.,328,693,679,956,1210,797,525,254,407,285,327
Roumane R.,0,0,0,0,0,15,0,6,19,102,108
Rubin N.,0,0,7,24,48,138,274,256,434,236,219
Rublev A.,0,0,0,38,92,270,395,1229,760,1584,4119
Rufin G.,245,204,574,423,123,41,0,0,0,0,0
Rune H.,0,0,0,0,0,0,0,0,0,9,75
Russell M.,552,577,582,594,325,60,0,0,0,0,0
Ruud C.,0,0,0,0,0,0,0,0,0,0,0
Ruusuvuori E.,0,0,0,0,0,0,2,34,115,459,796
Ryderstedt M.,129,144,68,0,0,0,0,0,0,0,0
Saavedra Corvalan C.,91,140,99,103,104,47,53,17,0,0,0
Sabry S.,39,26,77,90,79,28,18,13,1,1,1
Sachko V.,0,0,0,0,2,9,7,12,4,46,99
Sadecky A.,108,59,48,2,6,0,0,0,0,0,0
Safiullin R.,0,0,0,0,137,19,141,70,214,182,350
Safranek V.,0,1,5,16,45,132,201,230,131,117,125
Safwat M.,49,86,78,257,168,182,278,244,272,291,418
Sakamoto P.,2,13,3,70,41,74,63,74,73,130,171
Sakharov G.,41,88,84,32,108,147,130,349,245,82,43
Salamanca C.,311,194,178,191,93,19,2,24,0,0,0
Samper-Montana J.,10,98,129,212,215,257,262,72,136,11,9
Sanchez M.,0,0,0,0,0,0,0,0,0,0,0
Sandgren T.,2,51,206,277,38,201,289,583,814,803,1081
Santillan A.,0,0,0,1,3,50,263,381,132,182,182
Santoro F.,0,0,0,0,0,0,0,0,0,0,0
Sarkissian A.,0,2,10,15,50,252,268,200,121,71,88
Sarmiento R.,0,2,1,3,18,32,125,135,0,45,98
Satral J.,1,27,47,38,101,231,371,129,59,83,116
Saville L.,2,4,124,100,313,266,196,62,76,124,110
Schnur B.,0,0,0,57,45,42,89,238,310,534,301
Scholtz N.,27,28,24,12,88,107,70,144,28,0,0
Schoolkate T.,0,0,0,0,0,0,0,0,0,14,18
Schoorel T.,319,428,210,228,45,9,0,0,0,0,0
Schuettler R.,597,428,14,0,0,0,0,0,0,0,0
Schukin Y.,438,255,74,0,0,0,0,0,0,0,0
Schwank E.,655,366,221,125,24,1,0,0,0,0,0
Schwartzman D.,92,111,292,480,775,624,864,1675,1880,2125,3455
Sekulic M.,16,11,21,26,21,19,13,3,0,0,0
Sela D.,643,640,512,681,560,578,616,755,204,373,249
Seppi A.,900,1015,1560,1360,870,1360,655,616,1106,776,689
Serdarusic N.,0,0,0,0,4,32,81,164,235,146,168
Sergeyev I.,256,23,364,74,0,0,0,1,4,1,3
Serra F.,715,297,488,216,130,15,0,0,0,0,0
Setkic A.,143,53,193,154,217,246,208,293,127,57,71
Seyboth Wild T.,0,0,0,0,0,0,0,44,61,235,586
Shane R.,0,0,0,1,10,33,60,85,69,40,35
Shapovalov D.,0,0,0,0,0,8,209,981,1440,2050,2830
Shi B.,0,0,0,0,0,0,0,0,5,0,0
Shyla Y.,2,0,26,27,98,99,70,104,40,2,11
Si Y.M.,0,0,0,0,0,0,0,0,0,0,0
Sidorenko A.,158,125,53,18,31,90,202,1,0,0,0
Sijsling I.,436,243,712,697,619,407,322,62,74,120,176
Silva F.,0,0,0,0,0,0,0,0,0,0,0
Silva F.F.,0,0,0,0,0,0,0,0,0,0,0
Silva J.,0,0,0,0,0,0,0,0,0,0,0
Simmonds P.,42,64,48,0,0,6,0,0,0,0,0
Simon G.,1005,2165,2165,1790,1730,2145,1585,610,1370,955,1005
Simonsson F.,0,0,2,7,0,42,27,33,19,1,0
Singh S.,0,11,154,102,99,185,41,5,0,0,0
Sinner J.,0,0,0,0,0,0,0,0,28,671,1444
Siriluethaiwattana P.,4,18,5,0,6,0,0,0,0,0,0
Sitak A.,128,84,49,56,14,6,0,0,0,0,0
Skatov T.,0,0,0,0,0,0,0,0,3,41,83
Skugor F.,289,141,17,59,46,276,246,168,57,26,0
Slabinsky A.,57,32,61,6,0,0,0,0,0,0,0
Smethurst D.,63,73,120,98,172,94,10,0,0,0,0
Smith A.,0,3,1,0,0,0,24,0,0,0,0
Smith J.P.,0,0,0,0,0,0,0,0,0,0,0
Smyczek T.,313,172,448,600,502,543,447,435,318,107,65
Sock J.,11,105,375,545,934,1465,1710,3165,540,0,217
Soderling R.,5580,2120,0,0,0,0,0,0,0,0,0
Soderlund C.,0,0,0,0,0,26,87,25,0,17,17
Soeda G.,469,481,758,543,559,447,480,365,230,461,490
Sonego L.,0,0,0,0,21,119,162,243,530,990,1568
Sorensen L.,127,69,14,96,224,0,0,0,0,0,0
Sousa J.,193,256,546,934,822,1191,1030,850,1017,891,776
Sousa P.,67,126,181,253,10,27,304,469,548,376,691
Souza J.,517,556,385,406,593,422,491,211,141,25,10
Spadea V.,1,0,0,0,0,0,0,0,0,0,0
Stadler S.,173,129,11,12,0,0,0,0,0,0,0
Stakhovsky S.,945,780,538,554,781,780,542,484,422,350,322
Starace P.,945,825,326,338,314,48,0,0,0,0,0
Statham J.,76,53,119,155,61,111,86,170,52,28,0
Stebe C.M.,108,652,295,312,0,4,84,651,10,307,529
Stepanek R.,795,1275,1135,970,715,252,558,127,0,0,0
Stricker D.,0,0,0,0,0,0,0,0,0,1,6
Strode B.,33,97,79,0,0,0,0,0,0,0,0
Struff J.L.,116,202,321,523,781,547,758,898,875,1245,1450
Struvay E.,65,187,17,67,175,209,183,36,26,89,91
Sugita Y.,295,207,491,310,420,472,527,1219,369,561,713
Svajda Z.,0,0,0,0,0,0,0,0,1,12,23
Sweeny D.,0,0,0,0,0,0,0,0,1,9,22
Sweeting R.,486,690,394,36,0,7,0,0,0,0,0
Taberner C.,0,0,0,0,6,29,155,275,132,264,457
Tabilo A.,0,0,0,1,3,8,50,19,64,233,382
Takahashi Y.,0,0,1,0,0,0,0,0,0,0,0
Takeuchi K.,9,54,86,54,90,106,54,92,36,29,29
Tavares L.,0,0,0,0,0,0,0,0,0,0,0
Tearney F.,0,0,3,7,2,123,77,52,0,18,9
Teixeira M.,136,308,208,260,72,172,42,0,0,0,0
Tepavac M.,0,0,2,30,81,163,278,86,39,78,81
Thiem D.,9,32,147,410,989,1600,3415,4015,4095,5825,9125
Thompson C.,0,0,0,1,3,84,39,1,0,0,0
Thompson J.,0,0,0,0,0,0,0,0,0,0,0
Tiafoe F.,0,0,0,0,7,286,550,662,1080,1050,1030
Tipsarevic J.,935,2595,2990,1130,0,106,423,556,0,225,208
Tirante T.A.,0,0,0,0,0,0,0,1,8,23,107
Tiurnev E.,0,0,0,1,65,33,113,80,131,73,92
Tomic B.,239,970,825,910,797,1675,1465,395,655,273,253
Topic J.,9,15,33,43,10,8,0,2,0,0,0
Topo M.,0,0,0,0,0,0,0,0,0,0,2
Torebko P.,57,204,170,86,203,100,124,58,108,116,120
Torpegaard M.,0,0,0,6,0,16,137,30,74,303,340
Travaglia S.,65,94,39,110,247,87,146,414,426,637,869
Trevisan M.,163,89,9,125,108,85,25,2,0,0,0
Trinker B.,6,25,32,98,108,216,65,16,0,2,2
Troicki V.,1430,1655,1055,660,558,1487,1385,880,247,330,323
Trongcharoenchaikul W.,0,1,11,14,17,4,24,73,72,35,36
Trungelliti M.,87,136,238,168,199,231,417,235,482,236,226
Trusendi W.,104,111,103,121,96,22,119,33,27,5,3
Tseng C.H.,0,0,0,0,0,0,1,2,85,131,185
Tsitsipas P.,0,0,0,0,0,0,0,1,1,3,12
Tsitsipas S.,0,0,0,1,5,57,260,606,2095,5300,5925
Tsonga J.W.,2345,4335,3490,3065,2740,2635,2550,2320,200,1410,1005
Tu L.,0,0,0,0,6,0,0,0,0,0,0
Tursunov D.,263,988,464,1244,520,0,105,72,0,0,0
Tiurnev E.,0,0,0,0,0,0,0,0,0,0,0
Uchiyama Y.,29,82,98,161,167,206,226,234,275,651,696
Udomchoke D.,74,234,378,92,166,6,0,0,0,0,0
Ungur A.,285,501,557,474,327,305,155,67,1,0,0
Vagnozzi S.,297,306,198,161,62,2,0,0,0,0,0
Vaisse M.,0,0,14,106,171,28,5,0,0,0,0
Valkusz M.,0,0,0,0,0,3,12,18,215,50,50
Van D. Merwe I.,308,501,225,0,1,0,0,0,0,0,0
Van De Zandschulp B.,0,0,0,0,0,0,0,0,0,0,0
Van Der Merwe I.,0,0,0,0,0,0,0,0,0,0,0
Van Rijthoven T.,0,0,0,0,0,0,0,0,0,0,0
Vanni L.,111,103,149,19,353,552,393,220,335,130,81
Vardhan V.,105,140,126,37,40,81,93,65,5,0,0
Varillas J.P.,0,0,0,2,36,45,44,72,135,372,411
Vasilevski A.,22,18,32,21,52,33,28,0,0,0,0
Vassallo-Arguello M.,156,27,0,0,0,0,0,0,0,0,0
Vatutin A.,2,13,75,106,53,160,167,304,310,233,222
Vega Hernandez D.,0,0,7,71,85,83,26,47,28,1,1
Veger F.,0,3,16,47,63,64,44,0,0,0,0
Veic A.,277,319,429,218,208,83,0,0,0,0,0
Velotti A.,44,133,299,199,181,92,312,80,22,96,105
Ventura S.,215,0,0,0,0,0,0,0,0,0,0
Venus M.,131,106,63,99,101,41,10,0,0,0,0
Verdasco F.,3240,1550,1490,1235,1135,900,1035,1295,1410,1025,975
Vesely J.,11,37,183,616,743,1057,848,815,629,544,913
Vilella Martinez M.,0,0,3,11,7,83,109,141,207,258,339
Vinciguerra A.,42,0,23,24,0,0,0,0,0,0,0
Viola M.,38,27,12,0,0,0,0,0,0,0,0
Viola Mat.,0,0,0,0,0,0,0,0,0,0,0
Vliegen K.,184,0,0,0,0,0,0,0,0,0,0
Volandri F.,574,696,582,694,230,256,190,0,0,0,0
Vrbensky M.,0,0,0,0,0,0,0,13,72,76,146
Vukic A.,0,0,0,0,4,35,26,77,73,155,331
Wachiramanowong K.,46,59,35,19,19,23,7,4,0,0,0
Walter L.,134,159,8,0,0,0,0,0,0,0,0
Wang C.,6,20,29,20,108,43,47,75,9,11,11
Wang J.,15,171,362,302,450,159,96,18,0,0,0
Ward A.,69,123,84,96,128,143,106,170,30,0,0
Ward J.,0,0,0,0,0,0,0,0,0,0,0
Watanuki Y.,0,4,8,21,67,59,23,21,0,0,0
Wawrinka S.,1755,1820,1900,3730,5370,6865,5315,3150,785,2000,2320
Weintraub A.,159,236,244,266,128,238,229,6,0,0,0
Wessels L.,0,0,0,0,0,0,64,40,132,76,80
Westerhof B.,34,137,179,198,205,59,42,86,21,0,0
Whittington A.,0,8,19,111,63,55,335,231,50,0,0
Williams R.,17,60,247,434,221,27,60,11,0,0,0
Willis M.,36,21,10,122,121,83,91,46,3,0,0
Witten J.,215,60,42,36,26,18,9,6,2,1,2
Wolf J.J.,0,0,0,0,0,0,0,0,0,0,0
Wolmarans F.,164,155,128,40,99,51,0,0,0,0,0
Wu D.,96,88,273,240,166,218,372,214,124,126,138
Wu T.L.,0,0,0,0,0,2,15,61,72,205,223
Wu Y.,0,0,0,0,0,0,0,0,0,0,0
Yang T.H.,147,289,185,164,192,245,25,194,160,141,113
Yani M.,156,271,218,24,0,0,0,0,0,0,0
Ymer E.,0,0,0,24,210,431,372,392,510,290,309
Ymer M.,0,0,0,0,5,54,75,92,178,763,763
Young D.,435,1004,255,569,796,907,651,816,182,210,135
Youzhny M.,2920,1105,1335,2145,850,465,826,633,0,0,0
Yuksel A.,2,7,9,8,21,38,73,32,14,0,0
Zampieri C.,218,189,9,57,102,148,195,24,0,0,0
Zapata Miralles B.,0,0,0,0,0,0,0,0,0,0,0
Zayed M.S.,0,0,1,1,0,1,1,0,0,0,0
Zayid M.,0,0,0,0,2,3,5,2,3,0,0
Zayid M.S.,0,0,0,0,0,0,0,0,0,0,0
Zeballos H.,517,516,615,835,455,475,722,768,300,0,0
Zekic M.,57,148,87,89,106,193,271,148,166,46,75
Zemlja G.,384,491,782,467,17,297,396,51,0,0,0
Zeppieri G.,0,0,0,0,0,0,0,0,10,96,135
Zhang Z.,141,158,351,182,271,264,272,266,245,107,92
Zhang Ze,0,0,0,0,0,0,0,0,0,0,0
Zhang Ze.,0,0,0,0,0,0,0,0,0,0,0
Zhang Zh.,0,0,0,0,0,0,0,0,0,0,0
Ziadi M.,6,36,21,4,7,0,0,0,0,0,0
Zopp J.,218,359,579,128,264,343,144,338,371,71,51
Zuk K.,0,0,0,0,0,1,12,3,11,70,209
Zverev A.,0,0,15,21,389,647,1655,4610,6385,3345,5525
Zverev M.,611,233,350,295,29,299,874,1302,750,144,208
