name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bautista Agut R.,314,275,648,810,2110,1480,2350,2015,1605,2540,2710
Bautista R.,0,0,0,0,0,0,0,0,0,0,0
Beck A.,347,580,80,273,493,112,125,0,0,0,0
Beck K.,549,567,395,118,101,0,2,0,0,0,0
Becker B.,0,0,0,0,0,0,0,0,0,0,0
Bedene A.,48,307,583,573,370,939,592,993,780,905,1045
Bega A.,9,39,74,78,66,148,156,134,150,85,121
Bellier A.,0,0,0,0,4,40,49,30,35,37,54
Bellotti R.,4,86,142,137,78,215,231,134,50,10,0
Bellucci T.,1355,1060,1112,450,753,1105,771,531,219,125,185
Belyaev I.,149,90,5,0,0,0,0,0,0,0,0
Bemelmans R.,300,313,509,363,295,543,350,503,496,172,253
Benchetrit E.,0,0,0,0,0,0,5,98,164,227,255
Benneteau J.,965,900,1075,1160,1365,65,459,855,0,0,0
Berankis R.,587,460,501,433,605,641,630,407,507,836,889
Berdych T.,3955,3700,4680,4180,4600,4620,3060,2095,715,0,0
Bergs Z.,0,0,0,0,0,0,1,11,105,46,86
Berlocq C.,725,801,720,1020,700,530,617,540,410,57,0
Berrer M.,835,567,401,397,427,511,318,0,0,0,0
Berrettini M.,0,0,0,0,0,66,92,410,932,2870,3075
Bester P.,162,100,48,99,73,164,157,26,0,0,0
Betov S.,108,50,72,81,18,45,56,8,117,3,0
Bhambri Y.,60,122,220,258,196,610,65,509,420,0,0
Biryukov M.,2,13,58,142,28,0,0,0,0,0,0
Blake J.,0,0,0,0,0,0,0,0,0,0,0
Blancaneaux G.,0,0,0,0,1,16,45,164,91,123,178
Blanch U.,0,0,0,0,0,1,3,66,125,94,224
Bloomfield R.,116,68,92,16,2,0,0,0,0,0,0
Bogaerts R.,0,0,2,5,4,0,0,0,0,0,0
Bogdanovic A.,154,139,136,57,0,0,0,0,0,0,0
Bogomolov A.,327,1135,447,605,160,0,0,0,0,0,0
Bohli S.,402,224,109,76,0,0,0,0,0,0,0
Bolelli S.,532,404,623,190,810,790,85,305,382,116,65
Bolt A.,3,11,107,77,242,194,53,269,351,328,380
Bonzi B.,0,0,0,0,9,73,127,270,160,107,388
Bopanna R.,32,36,0,3,0,0,0,0,0,0,0
Borges N.,0,0,0,0,1,5,4,58,80,29,99
Borvanov R.,86,194,119,56,0,0,0,0,0,0,0
Bossel A.,120,82,94,82,143,126,78,59,2,1,1
Bourchier H.,0,0,2,2,21,74,17,60,30,140,135
Bourgue M.,0,15,23,95,192,225,314,344,180,208,281
Bozoljac I.,371,213,70,198,240,21,0,0,0,0,0
Brancaccio R.,0,0,0,0,0,5,27,53,162,112,106
Brands D.,541,515,367,836,144,358,348,149,315,66,27
Britton D.,15,20,93,15,0,0,0,0,0,0,0
Broady L.,4,28,13,77,254,166,160,313,142,198,340
Brooksby J.,0,0,0,0,0,0,0,3,13,159,149
Brown D.,0,0,0,0,0,0,0,0,0,0,0
Brugues-Davi A.,115,391,241,90,0,0,0,0,0,0,0
Bryde T.,0,0,0,0,0,0,0,0,16,5,6
Brzezicki J.P.,307,181,18,0,0,0,0,0,0,0,0
Bubka S.,137,356,258,0,9,0,0,0,0,0,0
Bublik A.,0,0,0,0,16,14,265,505,322,919,1070
Buchanan C.,16,12,115,144,261,140,0,0,0,0,0
Burquier G.,206,194,232,206,178,12,1,0,0,0,0
Cabal J.S.,277,193,90,0,0,0,0,0,0,0,0
Cachin P.,0,1,3,59,202,222,77,193,222,104,111
Cacic N.,28,91,78,39,142,0,65,75,4,3,3
Capdeville P.,327,440,324,335,14,0,0,0,0,0,0
Carballes Baena R.,27,78,141,171,307,449,419,550,714,664,731
Carreno Busta P.,127,392,33,739,841,734,1370,2615,1705,1422,2535
Carreno-Busta P.,0,0,0,0,0,0,0,0,0,0,0
Caruana L.,0,0,0,0,0,2,5,87,51,49,85
Caruso S.,0,3,41,124,83,228,208,254,332,586,843
Catarina L.,0,0,0,0,0,26,15,118,68,58,90
Cazaux A.,0,0,0,0,0,0,0,0,0,7,26
Cecchinato M.,2,36,93,318,324,618,304,543,1819,780,828
Celikbilek A.,0,0,0,1,5,53,69,88,86,121,147
Cermak F.,24,0,6,0,0,0,0,0,0,0,0
Cerundolo F.,0,0,0,0,0,0,3,3,54,190,471
Cerundolo J.M.,0,0,0,0,0,0,0,0,2,92,126
Cervantes I.,116,222,378,0,195,703,560,141,10,31,63
Cervenak P.,186,244,209,75,0,1,0,0,0,0,0
Chardy J.,960,560,1131,1175,1240,1255,725,665,1050,990,860
Chela J.I.,1070,1270,295,0,0,0,0,0,0,0,0
Chiudinelli M.,485,275,380,303,231,181,497,92,0,0,0
Choinski J.,0,0,1,2,38,94,50,167,186,168,122
Chrysochos P.,0,0,0,0,55,57,3,0,86,60,101
