Winner,Loser,Odds
Schwartzman D.,Nishioka Y.,1.74:2.11
De Minaur A.,Thompson J.,1.29:3.6
Simon G.,Millman J.,1.8:2.02
Seppi A.,Schwartzman D.,2.63:1.5
De Minaur A.,Simon G.,1.42:2.91
De Minaur A.,Seppi A.,1.36:3.22
Anderson K.,Mannarino A.,1.06:9.96
Basilashvili N.,Eubanks C.,1.23:4.28
Albot R.,Mmoh M.,2.14:1.72
Travaglia S.,Andreozzi G.,1.44:2.82
Verdasco F.,Kecmanovic M.,1.47:2.72
Cuevas P.,Lajovic D.,3.11:1.38
Haase R.,Garcia-Lopez G.,2.08:1.76
Tsitsipas S.,Berrettini M.,1.4:3.0
Dimitrov G.,Tipsarevic J.,1.06:9.97
Tiafoe F.,Gunneswaran P.,1.3:3.61
Nadal R.,Duckworth J.,1.04:11.64
Fabbiano T.,Kubler J.,2.04:1.79
Opelka R.,Isner J.,2.75:1.46
Schwartzman D.,Molleker R.,1.13:6.2
Evans D.,Ito T.,1.33:3.38
Kudla D.,Polmans M.,1.27:3.84
Khachanov K.,Gojowczyk P.,1.1:7.07
De Minaur A.,Sousa P.,1.05:11.2
Troicki V.,Carballes Baena R.,1.34:3.32
Mcdonald M.,Rublev A.,3.46:1.32
Laaksonen H.,Basic M.,1.81:2.01
Berdych T.,Edmund K.,1.42:2.89
Thompson J.,Lopez F.,1.31:3.49
Ebden M.,Struff J.L.,2.37:1.6
Seppi A.,Johnson S.,1.84:1.98
Monfils G.,Dzumhur D.,1.54:2.52
Nishioka Y.,Sandgren T.,1.77:2.07
Millman J.,Delbonis F.,1.24:4.12
Fritz T.,Norrie C.,2.0:1.82
Bautista Agut R.,Murray A.,1.21:4.55
Cilic M.,Tomic B.,1.25:4.0
Federer R.,Istomin D.,1.02:14.98
Fognini F.,Munar J.,1.45:2.79
Ivashka I.,Jaziri M.,1.42:2.88
Mayer L.,Jarry N.,1.81:2.02
Nishikori K.,Majchrzak K.,1.02:15.25
Herbert P.H.,Querrey S.,2.69:1.48
Fucsovics M.,Ramos-Vinolas A.,1.2:4.66
Harrison R.,Vesely J.,1.59:2.38
Medvedev D.,Harris L.,1.17:5.11
Karlovic I.,Hurkacz H.,1.79:2.05
Coric B.,Darcis S.,1.16:5.37
Chung H.,Klahn B.,1.52:2.54
Bolt A.,Sock J.,3.17:1.36
Sousa J.,Pella G.,1.77:2.07
Carreno Busta P.,Vanni L.,1.28:3.74
Donskoy E.,Djere L.,2.0:1.83
Simon G.,Fratangelo B.,1.24:4.08
Zverev A.,Bedene A.,1.11:6.62
Goffin D.,Garin C.,1.17:5.19
Shapovalov D.,Andujar P.,1.11:6.89
Daniel T.,Kokkinakis T.,3.8:1.28
Pouille L.,Kukushkin M.,1.6:2.37
Copil M.,Granollers M.,1.62:2.33
Kohlschreiber P.,Li Z.,1.04:11.78
Tsonga J.W.,Klizan M.,1.3:3.64
Chardy J.,Humbert U.,1.59:2.39
Krajinovic F.,Cecchinato M.,1.64:2.29
Popyrin A.,Zverev M.,1.44:2.82
Wawrinka S.,Gulbis E.,1.25:4.1
Marterer M.,Sakharov G.,1.31:3.53
Djokovic N.,Krueger M.,1.01:21.57
Raonic M.,Kyrgios N.,1.77:2.07
Thiem D.,Paire B.,1.29:3.68
Schwartzman D.,Kudla D.,1.19:4.84
Basilashvili N.,Travaglia S.,1.29:3.69
Tsitsipas S.,Troicki V.,1.12:6.45
Seppi A.,Thompson J.,1.69:2.19
Berdych T.,Haase R.,1.11:6.68
Cilic M.,Mcdonald M.,1.1:7.45
Tiafoe F.,Anderson K.,4.98:1.18
Verdasco F.,Albot R.,1.22:4.41
Federer R.,Evans D.,1.02:15.48
Fritz T.,Monfils G.,2.37:1.6
