Winner,Loser,Odds
Bautista Agut R.,Fritz T.,1.56:2.42
Coric B.,Munar J.,1.2:4.58
Stakhovsky S.,Molleker R.,1.55:2.45
Seppi A.,Moraing M.,1.36:3.11
Tsonga J.W.,Paire B.,1.37:3.05
Berrettini M.,Basilashvili N.,1.29:3.61
Federer R.,Millman J.,1.06:9.09
Goffin D.,Albot R.,1.22:4.29
Khachanov K.,Struff J.L.,1.94:1.85
Herbert P.H.,Stakhovsky S.,1.34:3.26
Coric B.,Sousa J.,1.22:4.22
Berrettini M.,Seppi A.,1.25:3.89
Bautista Agut R.,Gasquet R.,1.55:2.44
Zverev A.,Johnson S.,1.49:2.62
Federer R.,Tsonga J.W.,1.17:4.97
Berrettini M.,Khachanov K.,1.65:2.24
Goffin D.,Zverev A.,2.38:1.58
Herbert P.H.,Coric B.,2.37:1.59
Federer R.,Bautista Agut R.,1.16:5.29
Goffin D.,Berrettini M.,2.26:1.64
Federer R.,Herbert P.H.,1.08:8.24
Federer R.,Goffin D.,1.15:5.54
Medvedev D.,Verdasco F.,1.39:2.98
Schwartzman D.,Bublik A.,2.25:1.64
Cilic M.,Garin C.,1.3:3.52
Mahut N.,Tiafoe F.,2.15:1.7
Anderson K.,Norrie C.,1.36:3.15
Simon G.,Ward J.,1.48:2.64
Chardy J.,Kukushkin M.,1.6:2.32
Del Potro J.M.,Shapovalov D.,1.39:2.96
Lopez F.,Fucsovics M.,1.66:2.21
Bedene A.,De Minaur A.,2.52:1.52
Wawrinka S.,Evans D.,1.7:2.15
Pouille L.,Clarke J.,1.15:5.5
Raonic M.,Cecchinato M.,1.16:5.17
Tsitsipas S.,Edmund K.,1.36:3.14
Kyrgios N.,Carballes Baena R.,1.19:4.62
Auger-Aliassime F.,Dimitrov G.,2.4:1.57
Lopez F.,Del Potro J.M.,3.33:1.32
Schwartzman D.,Cilic M.,4.79:1.18
Simon G.,Anderson K.,3.22:1.34
Mahut N.,Wawrinka S.,2.94:1.4
Medvedev D.,Pouille L.,1.48:2.65
Raonic M.,Bedene A.,1.18:4.76
Tsitsipas S.,Chardy J.,1.28:3.65
Auger-Aliassime F.,Kyrgios N.,1.86:1.94
Medvedev D.,Schwartzman D.,1.26:3.82
Simon G.,Mahut N.,1.66:2.22
Auger-Aliassime F.,Tsitsipas S.,2.3:1.62
Lopez F.,Raonic M.,3.24:1.34
Simon G.,Medvedev D.,4.52:1.2
Lopez F.,Auger-Aliassime F.,2.75:1.45
Lopez F.,Simon G.,1.56:2.43
Kecmanovic M.,Munar J.,1.65:2.22
Sonego L.,Sousa J.,2.53:1.51
Dzumhur D.,Ebden M.,2.41:1.56
Gunneswaran P.,Tipsarevic J.,2.38:1.57
Klahn B.,Darcis S.,2.63:1.48
Carballes Baena R.,Aragone JC,1.56:2.41
Humbert U.,Delbonis F.,1.38:3.02
Celikbilek A.,Gulbis E.,5.03:1.17
Troicki V.,Kovalik J.,1.3:3.52
Tomic B.,Seppi A.,2.43:1.55
Gojowczyk P.,Kirkin E.,1.17:5.09
Krawietz K.,Ilkel C.,1.83:1.97
Thompson J.,Klahn B.,1.29:3.57
Dzumhur D.,Celikbilek A.,1.12:6.22
Sonego L.,Gunneswaran P.,1.5:2.57
Mannarino A.,Carballes Baena R.,1.31:3.4
Troicki V.,Paire B.,2.3:1.61
Kecmanovic M.,Humbert U.,1.79:2.02
Tomic B.,Gojowczyk P.,1.6:2.33
Carreno Busta P.,Krawietz K.,1.5:2.57
Kecmanovic M.,Troicki V.,1.67:2.19
Thompson J.,Dzumhur D.,1.42:2.9
Sonego L.,Mannarino A.,2.71:1.46
Carreno Busta P.,Tomic B.,2.47:1.54
Kecmanovic M.,Thompson J.,2.28:1.63
Sonego L.,Carreno Busta P.,1.7:2.16
Sonego L.,Kecmanovic M.,1.8:2.01
Hurkacz H.,Cecchinato M.,1.45:2.73
Verdasco F.,Millman J.,1.97:1.83
Querrey S.,Kukushkin M.,1.73:2.09
Johnson S.,Opelka R.,1.55:2.45
Fritz T.,Jubb P.,1.34:3.27
Londero J.I.,Clarke J.,1.48:2.67
Evans D.,Albot R.,1.51:2.55
Jarry N.,Cuevas P.,1.51:2.55
Norrie C.,Chardy J.,2.85:1.42
Fabbiano T.,Ward J.,2.18:1.68
Herbert P.H.,Kudla D.,1.53:2.49
Simon G.,Sandgren T.,1.58:2.36
Fritz T.,Pella G.,1.34:3.24
Hurkacz H.,Johnson S.,2.35:1.59
Verdasco F.,Londero J.I.,1.27:3.73
Querrey S.,Lajovic D.,1.3:3.49
Fabbiano T.,Djere L.,1.67:2.19
Evans D.,Herbert P.H.,1.62:2.28
Simon G.,Jarry N.,1.72:2.1
Edmund K.,Norrie C.,1.54:2.45
Querrey S.,Verdasco F.,1.47:2.68
Fabbiano T.,Simon G.,4.25:1.22
Fritz T.,Hurkacz H.,1.68:2.19
Edmund K.,Evans D.,1.79:2.03
Querrey S.,Fabbiano T.,1.24:4.09
Fritz T.,Edmund K.,2.56:1.51
Fritz T.,Querrey S.,2.32:1.61
Tipsarevic J.,Nishioka Y.,2.13:1.73
Anderson K.,Herbert P.H.,1.35:3.22
Lopez F.,Giron M.,1.24:4.1
Bautista Agut R.,Gojowczyk P.,1.05:9.92
Opelka R.,Stebe C.M.,1.14:5.92
Wawrinka S.,Bemelmans R.,1.15:5.47
Mayer L.,Gulbis E.,1.89:1.92
Khachanov K.,Kwon S.W.,1.28:3.73
Darcis S.,Zverev M.,1.65:2.24
Kudla D.,Jaziri M.,1.14:5.74
Seppi A.,Jarry N.,1.97:1.84
Auger-Aliassime F.,Pospisil V.,1.05:10.14
Djokovic N.,Kohlschreiber P.,1.02:14.68
Haase R.,Kovalik J.,1.25:3.99
Fabbiano T.,Tsitsipas S.,6.98:1.1
Pella G.,Copil M.,1.98:1.83
Cuevas P.,Dzumhur D.,1.85:1.96
Karlovic I.,Arnaboldi A.,1.24:4.05
Popyrin A.,Carreno Busta P.,1.61:2.32
Vesely J.,Zverev A.,4.37:1.22
Hurkacz H.,Lajovic D.,1.32:3.36
Verdasco F.,Majchrzak K.,1.96:1.86
Medvedev D.,Lorenzi P.,1.01:19.37
Paire B.,Londero J.I.,1.28:3.73
Humbert U.,Monfils G.,3.44:1.32
Chardy J.,Klizan M.,1.27:3.77
Raonic M.,Gunneswaran P.,1.04:11.85
Moutet C.,Dimitrov G.,4.56:1.2
Edmund K.,Munar J.,1.12:6.51
Granollers M.,Sonego L.,2.18:1.69
Goffin D.,Klahn B.,1.03:12.34
Kecmanovic M.,Carballes Baena R.,1.44:2.79
De Minaur A.,Cecchinato M.,1.18:4.94
Evans D.,Delbonis F.,1.07:8.98
Nishikori K.,Monteiro T.,1.05:10.21
Basilashvili N.,Ward J.,1.61:2.34
Johnson S.,Ramos-Vinolas A.,1.17:5.15
Kyrgios N.,Thompson J.,1.38:3.05
Baghdatis M.,Schnur B.,1.7:2.16
Berrettini M.,Bedene A.,1.17:5.15
Querrey S.,Thiem D.,2.23:1.66
Simon G.,Caruso S.,1.26:3.85
Norrie C.,Istomin D.,1.5:2.59
Rublev A.,Garin C.,2.58:1.51
Koepfer D.,Krajinovic F.,2.13:1.72
Clarke J.,Rubin N.,2.58:1.5
Federer R.,Harris L.,1.01:20.67
Sandgren T.,Uchiyama Y.,1.72:2.14
Tsonga J.W.,Tomic B.,1.19:4.72
Struff J.L.,Albot R.,1.29:3.62
Fritz T.,Berdych T.,1.42:2.9
Schwartzman D.,Ebden M.,1.46:2.72
Berankis R.,Shapovalov D.,6.79:1.11
Nadal R.,Sugita Y.,1.03:13.52
Millman J.,Dellien H.,1.06:9.17
Fognini F.,Tiafoe F.,1.76:2.07
Kukushkin M.,Andujar P.,1.18:4.92
Barrere G.,Bublik A.,2.11:1.73
Djere L.,Andreozzi G.,1.32:3.44
Cilic M.,Mannarino A.,1.3:3.53
Fucsovics M.,Novak D.,1.78:2.04
Isner J.,Ruud C.,1.26:3.9
Sousa J.,Jubb P.,1.25:3.96
Pouille L.,Gasquet R.,1.64:2.26
Vesely J.,Cuevas P.,1.29:3.67
Paire B.,Kecmanovic M.,1.7:2.16
Opelka R.,Wawrinka S.,4.23:1.23
Fabbiano T.,Karlovic I.,1.9:1.91
Medvedev D.,Popyrin A.,1.22:4.36
Goffin D.,Chardy J.,1.3:3.54
Hurkacz H.,Mayer L.,1.42:2.87
Raonic M.,Haase R.,1.09:7.43
Bautista Agut R.,Darcis S.,1.04:10.98
Verdasco F.,Edmund K.,2.44:1.56
Khachanov K.,Lopez F.,1.78:2.04
Pella G.,Seppi A.,2.61:1.5
Humbert U.,Granollers M.,2.2:1.67
Auger-Aliassime F.,Moutet C.,1.16:5.4
Anderson K.,Tipsarevic J.,1.06:9.15
Djokovic N.,Kudla D.,1.01:22.28
Johnson S.,De Minaur A.,2.41:1.58
Millman J.,Djere L.,1.3:3.55
Querrey S.,Rublev A.,1.18:4.89
Struff J.L.,Fritz T.,2.18:1.69
Evans D.,Basilashvili N.,1.27:3.86
Kukushkin M.,Isner J.,4.17:1.23
Nishikori K.,Norrie C.,1.15:5.6
Sousa J.,Cilic M.,6.58:1.11
Tsonga J.W.,Berankis R.,1.09:7.58
Federer R.,Clarke J.,1.01:23.36
Pouille L.,Barrere G.,1.16:5.37
Sandgren T.,Simon G.,4.56:1.21
Fognini F.,Fucsovics M.,1.72:2.13
Nadal R.,Kyrgios N.,1.25:3.98
Berrettini M.,Baghdatis M.,1.12:6.48
Schwartzman D.,Koepfer D.,1.39:3.0
Raonic M.,Opelka R.,1.33:3.34
Paire B.,Vesely J.,1.81:2.01
Bautista Agut R.,Khachanov K.,1.5:2.61
Pella G.,Anderson K.,6.2:1.13
Goffin D.,Medvedev D.,1.89:1.92
Djokovic N.,Hurkacz H.,1.01:20.14
Verdasco F.,Fabbiano T.,1.57:2.42
Humbert U.,Auger-Aliassime F.,4.11:1.24
Nishikori K.,Johnson S.,1.21:4.41
Querrey S.,Millman J.,1.26:3.91
Sandgren T.,Fognini F.,3.51:1.31
Kukushkin M.,Struff J.L.,4.18:1.23
Berrettini M.,Schwartzman D.,1.32:3.4
Nadal R.,Tsonga J.W.,1.17:5.12
Federer R.,Pouille L.,1.07:8.59
Sousa J.,Evans D.,3.04:1.39
Goffin D.,Verdasco F.,1.31:3.52
Nadal R.,Sousa J.,1.02:16.23
Bautista Agut R.,Paire B.,1.21:4.43
Querrey S.,Sandgren T.,1.16:5.36
Djokovic N.,Humbert U.,1.02:17.58
Pella G.,Raonic M.,5.17:1.17
Nishikori K.,Kukushkin M.,1.11:6.91
Federer R.,Berrettini M.,1.1:7.27
Djokovic N.,Goffin D.,1.07:9.4
Bautista Agut R.,Pella G.,1.18:4.96
Federer R.,Nishikori K.,1.12:6.5
Nadal R.,Querrey S.,1.14:5.91
Djokovic N.,Bautista Agut R.,1.08:8.57
Federer R.,Nadal R.,2.18:1.71
Djokovic N.,Federer R.,1.54:2.56
Carballes Baena R.,Munar J.,1.81:1.99
Ymer M.,Davidovich Fokina A.,1.62:2.27
Ramos-Vinolas A.,Lestienne C.,1.33:3.3
Jarry N.,Laaksonen H.,1.54:2.45
Novak D.,Darcis S.,1.62:2.27
Chardy J.,Carreno Busta P.,2.27:1.62
Londero J.I.,Arguello F.,1.39:2.94
Dzumhur D.,Ruud C.,3.13:1.36
Ymer E.,Monteiro T.,2.11:1.72
Dellien H.,Gulbis E.,1.42:2.84
Delbonis F.,Zapata Miralles B.,1.26:3.82
Sousa J.,Kovalik J.,1.59:2.33
Chardy J.,Garin C.,2.38:1.57
Jarry N.,Ymer M.,1.66:2.21
Ramos-Vinolas A.,Verdasco F.,2.52:1.52
Carballes Baena R.,Dzumhur D.,1.64:2.24
Delbonis F.,Cuevas P.,2.21:1.65
Sousa J.,Ymer E.,1.64:2.24
Gasquet R.,Novak D.,1.52:2.5
Londero J.I.,Dellien H.,1.63:2.26
Jarry N.,Chardy J.,1.99:1.81
Delbonis F.,Sousa J.,1.59:2.36
Londero J.I.,Gasquet R.,1.72:2.12
Ramos-Vinolas A.,Carballes Baena R.,1.99:1.81
Jarry N.,Delbonis F.,2.12:1.72
Londero J.I.,Ramos-Vinolas A.,2.12:1.71
Jarry N.,Londero J.I.,1.64:2.23
Ivashka I.,Tomic B.,2.88:1.41
Granollers M.,Gunneswaran P.,1.33:3.28
Andreozzi G.,Karlovic I.,4.03:1.24
Majchrzak K.,Gray A.,1.06:9.15
Sandgren T.,Istomin D.,1.41:2.86
Bublik A.,Bolt A.,1.97:1.82
Ebden M.,Schnur B.,1.67:2.19
Kudla D.,Klahn B.,1.52:2.53
Ramanathan R.,Stakhovsky S.,1.9:1.89
Troicki V.,Jung J.,1.43:2.79
Eubanks C.,Johnson S.,4.43:1.21
Zverev M.,Smyczek T.,2.41:1.56
Bublik A.,Troicki V.,2.25:1.64
Ebden M.,Kudla D.,2.33:1.6
Granollers M.,Thompson J.,2.05:1.76
Ivashka I.,Eubanks C.,2.12:1.72
Sandgren T.,Mannarino A.,2.22:1.66
Zverev M.,Andreozzi G.,1.78:2.03
Isner J.,Majchrzak K.,1.39:2.98
Humbert U.,Ramanathan R.,1.52:2.5
Granollers M.,Zverev M.,1.36:2.99
Humbert U.,Ivashka I.,1.37:3.06
Bublik A.,Sandgren T.,2.45:1.54
Isner J.,Ebden M.,1.34:3.27
Bublik A.,Granollers M.,2.6:1.5
Isner J.,Humbert U.,1.48:2.63
Isner J.,Bublik A.,1.3:3.5
Vesely J.,Stebe C.M.,1.26:3.8
Bedene A.,Cecchinato M.,1.84:1.96
Sinner J.,Sousa P.,2.03:1.77
Bagnis F.,Klizan M.,2.44:1.55
Lorenzi P.,Torebko P.,1.42:2.83
Travaglia S.,Fabbiano T.,1.55:2.42
Serdarusic N.,Trungelliti M.,2.49:1.52
Balazs A.,Galovic V.,1.3:3.51
Rublev A.,Haase R.,1.67:2.17
Mayer L.,Andujar P.,1.84:1.95
Krajinovic F.,Daniel T.,1.15:5.31
Caruso S.,Moutet C.,2.22:1.64
Balazs A.,Krajinovic F.,3.13:1.35
Mayer L.,Vesely J.,1.45:2.71
Travaglia S.,Fognini F.,2.97:1.39
Djere L.,Lorenzi P.,1.23:4.07
Bagnis F.,Serdarusic N.,1.42:2.82
Lajovic D.,Rublev A.,1.97:1.83
Caruso S.,Coric B.,3.22:1.34
Bedene A.,Sinner J.,1.32:3.33
Djere L.,Mayer L.,1.85:1.95
Balazs A.,Travaglia S.,2.05:1.77
Lajovic D.,Bedene A.,1.71:2.13
Caruso S.,Bagnis F.,1.62:2.28
Balazs A.,Djere L.,2.61:1.49
Lajovic D.,Caruso S.,1.5:2.58
Lajovic D.,Balazs A.,1.5:2.57
Popyrin A.,Kudla D.,1.68:2.18
Norrie C.,Thompson J.,2.03:1.78
Klahn B.,Copil M.,1.52:2.52
Ebden M.,Majchrzak K.,2.81:1.43
Kwon S.W.,Gunneswaran P.,1.33:3.33
Opelka R.,Bublik A.,1.35:3.16
Evans D.,Jung J.,1.37:3.09
Tomic B.,Tiafoe F.,3.52:1.3
Albot R.,Sandgren T.,1.78:2.03
Humbert U.,Gromley C.,1.04:10.94
Kecmanovic M.,Sock J.,1.36:3.13
King K.,Dimitrov G.,5.84:1.13
Popyrin A.,Herbert P.H.,1.9:1.9
Norrie C.,Kwon S.W.,1.8:2.01
Evans D.,Albot R.,1.55:2.46
Opelka R.,Isner J.,2.33:1.6
Tomic B.,Ebden M.,1.88:1.91
De Minaur A.,Klahn B.,1.45:2.73
Fritz T.,King K.,1.1:6.78
Kecmanovic M.,Humbert U.,1.87:1.93
De Minaur A.,Tomic B.,1.36:3.14
Opelka R.,Evans D.,1.75:2.07
Norrie C.,Popyrin A.,1.73:2.1
Fritz T.,Kecmanovic M.,1.59:2.36
De Minaur A.,Opelka R.,1.9:1.91
Fritz T.,Norrie C.,1.39:2.98
De Minaur A.,Fritz T.,1.79:2.02
Stebe C.M.,Moutet C.,2.89:1.41
Vesely J.,Gulbis E.,1.49:2.61
Carballes Baena R.,Lorenzi P.,1.32:3.34
Andujar P.,Novak D.,1.83:1.97
Fabbiano T.,Ehrat S.,1.71:2.13
Travaglia S.,Galan D.E.,1.51:2.52
Munar J.,Jaziri M.,1.29:3.53
Moroni G.,Robredo T.,2.04:1.76
Sousa J.,Darcis S.,1.38:2.99
Daniel T.,Baldi F.,1.88:1.91
Ramos-Vinolas A.,Laaksonen H.,1.67:2.19
Istomin D.,Huesler M.A.,1.77:2.04
Carballes Baena R.,Travaglia S.,1.66:2.22
Stebe C.M.,Vesely J.,2.76:1.44
Fabbiano T.,Sonego L.,2.78:1.44
Ramos-Vinolas A.,Verdasco F.,2.06:1.76
Andujar P.,Daniel T.,1.44:2.79
Lajovic D.,Istomin D.,1.23:4.08
Sousa J.,Moroni G.,1.44:2.78
Bautista Agut R.,Munar J.,1.33:3.32
Ramos-Vinolas A.,Carballes Baena R.,1.67:2.21
Andujar P.,Lajovic D.,2.01:1.82
Sousa J.,Bautista Agut R.,3.83:1.26
Stebe C.M.,Fabbiano T.,1.91:1.9
Ramos-Vinolas A.,Andujar P.,1.64:2.25
Stebe C.M.,Sousa J.,3.51:1.3
Ramos-Vinolas A.,Stebe C.M.,1.25:3.99
Klizan M.,Altmaier D.,1.41:2.86
Fucsovics M.,Kohlschreiber P.,2.25:1.64
Chardy J.,Paire B.,2.04:1.78
Rublev A.,Garin C.,2.15:1.7
Molleker R.,Mayer L.,3.42:1.31
Basilashvili N.,Dellien H.,1.78:2.04
Struff J.L.,Monteiro T.,1.65:2.23
Ruud C.,Haase R.,1.45:2.74
Gasquet R.,Nagal S.,1.43:2.83
Thiem D.,Cuevas P.,1.25:3.95
Londero J.I.,Davidovich Fokina A.,1.44:2.78
Carreno Busta P.,Hanfmann Y.,1.76:2.05
Zverev A.,Jarry N.,1.41:2.89
Krajinovic F.,Djere L.,1.61:2.32
Delbonis F.,Cecchinato M.,1.48:2.64
Fognini F.,Lenz J.,1.25:4.0
Rublev A.,Ruud C.,2.04:1.77
Chardy J.,Gasquet R.,1.81:1.99
Thiem D.,Fucsovics M.,1.16:5.16
Basilashvili N.,Londero J.I.,2.2:1.67
Krajinovic F.,Klizan M.,1.45:2.74
Carreno Busta P.,Struff J.L.,2.47:1.54
Zverev A.,Delbonis F.,1.3:3.54
Fognini F.,Molleker R.,1.33:3.32
Basilashvili N.,Chardy J.,1.91:1.89
Rublev A.,Thiem D.,6.29:1.12
Zverev A.,Krajinovic F.,1.38:3.05
Carreno Busta P.,Fognini F.,1.83:1.98
Basilashvili N.,Zverev A.,2.91:1.41
Rublev A.,Carreno Busta P.,1.8:2.02
Basilashvili N.,Rublev A.,2.08:1.75
Sonego L.,Delbonis F.,2.05:1.76
Carballes Baena R.,Dellien H.,1.67:2.19
Bachinger M.,Klizan M.,2.7:1.46
Novak D.,Rodionov J.,1.21:4.33
Chardy J.,Cecchinato M.,1.78:2.03
Munar J.,Fabbiano T.,1.34:3.22
Andujar P.,Mayer L.,2.18:1.68
Kovalik J.,Garcia-Lopez G.,2.07:1.75
Kohlschreiber P.,Gasquet R.,1.96:1.84
Ruud C.,Carreno Busta P.,2.1:1.73
Ofner S.,Miedler L.,2.07:1.75
Ramos-Vinolas A.,Fucsovics M.,2.05:1.77
Chardy J.,Lajovic D.,2.09:1.73
Ruud C.,Bachinger M.,1.28:3.69
Ramos-Vinolas A.,Munar J.,1.77:2.04
Cuevas P.,Novak D.,1.5:2.56
Sonego L.,Carballes Baena R.,2.11:1.72
Verdasco F.,Kovalik J.,1.43:2.8
Andujar P.,Kohlschreiber P.,1.92:1.86
Thiem D.,Ofner S.,1.06:9.33
Ramos-Vinolas A.,Chardy J.,1.59:2.35
Ruud C.,Cuevas P.,2.1:1.73
Sonego L.,Verdasco F.,2.14:1.71
Thiem D.,Andujar P.,1.16:5.35
Ramos-Vinolas A.,Ruud C.,1.59:2.37
Thiem D.,Sonego L.,1.17:5.23
Thiem D.,Ramos-Vinolas A.,1.23:4.19
Gunneswaran P.,Millman J.,3.35:1.32
Kokkinakis T.,Janvier M.,1.43:2.82
Kukushkin M.,Dzumhur D.,1.73:2.09
Gulbis E.,Jung J.,2.35:1.59
Granollers M.,Gomez L.,1.09:7.55
Daniel T.,Sandgren T.,3.22:1.34
Londero J.I.,Garin C.,2.47:1.54
Albot R.,Tipsarevic J.,1.39:2.96
Kwon S.W.,Stebe C.M.,1.25:3.96
Dimitrov G.,Johnson S.,1.68:2.17
Norrie C.,Barrere G.,1.29:3.58
Fritz T.,Koepfer D.,1.31:3.41
Albot R.,Daniel T.,1.42:2.86
Schwartzman D.,Gulbis E.,1.23:4.11
Kukushkin M.,Norrie C.,2.33:1.6
Kwon S.W.,Londero J.I.,1.39:2.95
Pella G.,Dimitrov G.,2.26:1.62
Fritz T.,Gunneswaran P.,1.17:4.94
Kokkinakis T.,Pouille L.,2.17:1.68
Fognini F.,Granollers M.,1.83:1.98
Schwartzman D.,Kukushkin M.,1.52:2.53
Pella G.,Kwon S.W.,1.67:2.2
Albot R.,Kokkinakis T.,1.84:1.97
Fritz T.,Fognini F.,1.62:2.29
Schwartzman D.,Pella G.,1.59:2.37
Fritz T.,Albot R.,1.53:2.51
Schwartzman D.,Fritz T.,2.11:1.72
Fratangelo B.,Karlovic I.,1.85:1.95
Paul T.,Kudla D.,1.76:2.06
Harris L.,Berankis R.,1.97:1.83
Copil M.,Torpegaard M.,1.68:2.18
Tsonga J.W.,Schnur B.,1.23:4.18
Mannarino A.,Ivashka I.,1.55:2.45
Bublik A.,Klahn B.,1.97:1.83
Smyczek T.,Ebden M.,2.11:1.72
Hurkacz H.,Young D.,1.31:3.47
Polmans M.,Jaziri M.,1.74:2.09
Nishioka Y.,Evans D.,2.59:1.49
Kecmanovic M.,Popyrin A.,1.62:2.3
Opelka R.,Eubanks C.,1.28:3.63
Thompson J.,Sock J.,1.55:2.46
Gojowczyk P.,Rublev A.,2.94:1.4
Kyrgios N.,Kwiatkowski T.S.,1.22:4.21
Tiafoe F.,Bublik A.,1.54:2.48
Edmund K.,Harris L.,1.42:2.86
Medvedev D.,Fratangelo B.,1.17:5.05
Tsonga J.W.,Khachanov K.,1.85:1.96
Cilic M.,Copil M.,1.37:3.08
Gombos N.,Mannarino A.,3.81:1.27
Kecmanovic M.,Herbert P.H.,1.53:2.5
Isner J.,Hurkacz H.,1.64:2.25
Auger-Aliassime F.,Opelka R.,1.95:1.85
Paire B.,Polmans M.,1.36:3.13
Raonic M.,Smyczek T.,1.15:5.52
Gojowczyk P.,De Minaur A.,5.22:1.16
Kyrgios N.,Simon G.,1.44:2.77
Tsitsipas S.,Paul T.,1.31:3.43
Nishioka Y.,Goffin D.,2.87:1.41
Thompson J.,Struff J.L.,2.16:1.69
Edmund K.,Tsonga J.W.,2.32:1.6
Cilic M.,Auger-Aliassime F.,2.11:1.72
Gojowczyk P.,Raonic M.,4.65:1.19
Gombos N.,Kecmanovic M.,3.29:1.33
Medvedev D.,Tiafoe F.,1.38:3.07
Tsitsipas S.,Thompson J.,1.31:3.48
Paire B.,Isner J.,3.7:1.28
Kyrgios N.,Nishioka Y.,1.42:2.88
Gojowczyk P.,Edmund K.,3.64:1.29
Medvedev D.,Cilic M.,1.57:2.4
Tsitsipas S.,Paire B.,1.31:3.49
Kyrgios N.,Gombos N.,1.2:4.58
Kyrgios N.,Tsitsipas S.,2.02:1.8
Medvedev D.,Gojowczyk P.,1.16:5.17
Kyrgios N.,Medvedev D.,2.13:1.71
Garin C.,Djere L.,1.74:2.1
Norrie C.,Fucsovics M.,1.92:1.88
Raonic M.,Pouille L.,1.36:3.1
Struff J.L.,Tsonga J.W.,2.32:1.6
Paul T.,Schnur B.,1.55:2.47
Basilashvili N.,Lajovic D.,1.54:2.47
Wawrinka S.,Dimitrov G.,1.39:2.96
Mannarino A.,Kukushkin M.,1.87:1.93
Bautista Agut R.,Tomic B.,1.14:5.63
Ivashka I.,Kwon S.W.,2.67:1.47
Gasquet R.,Paire B.,2.21:1.66
Shapovalov D.,Herbert P.H.,1.49:2.62
Monfils G.,Polansky P.,1.16:5.27
Cilic M.,Klahn B.,1.29:3.59
Evans D.,De Minaur A.,2.42:1.56
Isner J.,Thompson J.,1.45:2.75
Albot R.,Simon G.,2.05:1.77
Schwartzman D.,Cecchinato M.,1.18:4.8
Auger-Aliassime F.,Pospisil V.,1.14:5.58
Millman J.,Lopez F.,1.61:2.33
Pella G.,Goffin D.,2.83:1.43
Coric B.,Gojowczyk P.,1.36:3.15
Hurkacz H.,Fritz T.,1.94:1.86
Edmund K.,Kyrgios N.,1.98:1.83
Basilashvili N.,Struff J.L.,2.57:1.51
Zverev A.,Norrie C.,1.31:3.47
Pella G.,Albot R.,1.8:2.01
Cilic M.,Millman J.,1.33:3.3
Gasquet R.,Nishikori K.,3.03:1.38
Nadal R.,Evans D.,1.08:7.93
Bautista Agut R.,Schwartzman D.,1.39:3.05
Thiem D.,Shapovalov D.,1.71:2.13
Garin C.,Isner J.,3.53:1.3
Medvedev D.,Edmund K.,1.56:2.42
Hurkacz H.,Tsitsipas S.,2.83:1.43
Monfils G.,Ivashka I.,1.33:3.36
Khachanov K.,Wawrinka S.,2.28:1.63
Auger-Aliassime F.,Raonic M.,2.49:1.54
Mannarino A.,Coric B.,2.55:1.51
Fognini F.,Paul T.,1.72:2.13
Thiem D.,Cilic M.,1.88:1.93
Medvedev D.,Garin C.,1.16:5.34
Zverev A.,Basilashvili N.,1.44:2.81
Khachanov K.,Auger-Aliassime F.,1.69:2.18
Fognini F.,Mannarino A.,1.81:2.0
Nadal R.,Pella G.,1.06:9.41
Bautista Agut R.,Gasquet R.,1.26:3.91
Monfils G.,Hurkacz H.,2.25:1.65
Medvedev D.,Thiem D.,1.67:2.23
Khachanov K.,Zverev A.,2.07:1.77
Nadal R.,Fognini F.,1.13:6.22
Monfils G.,Bautista Agut R.,2.48:1.56
Medvedev D.,Khachanov K.,1.5:2.62
Nadal R.,Monfils G.,1.05:11.17
Nadal R.,Medvedev D.,1.4:2.99
De Minaur A.,Cecchinato M.,1.2:4.6
Isner J.,Lajovic D.,1.27:3.76
Albot R.,Cilic M.,3.45:1.31
Mannarino A.,Garin C.,1.69:2.17
Pouille L.,Kudla D.,1.56:2.42
Nishioka Y.,Thompson J.,1.68:2.18
Kecmanovic M.,Auger-Aliassime F.,2.35:1.6
Querrey S.,Herbert P.H.,1.59:2.36
Pella G.,Ruud C.,1.54:2.48
Londero J.I.,Berrettini M.,2.96:1.39
Gasquet R.,Murray A.,1.58:2.39
Struff J.L.,Karlovic I.,1.36:3.12
Carreno Busta P.,Simon G.,1.62:2.3
Kyrgios N.,Sonego L.,1.32:3.38
Wawrinka S.,Dimitrov G.,1.38:3.05
Goffin D.,Fritz T.,1.7:2.15
Rublev A.,Basilashvili N.,1.95:1.85
Paire B.,Verdasco F.,1.76:2.05
Tiafoe F.,Monfils G.,1.98:1.82
Schwartzman D.,Djere L.,1.25:3.93
Shapovalov D.,Sousa J.,1.49:2.61
Medvedev D.,Edmund K.,1.49:2.63
Bautista Agut R.,Hurkacz H.,1.42:2.86
Opelka R.,Coric B.,1.81:2.0
Djokovic N.,Querrey S.,1.08:7.94
Federer R.,Londero J.I.,1.03:12.14
Carreno Busta P.,Isner J.,2.62:1.49
De Minaur A.,Opelka R.,1.69:2.18
Gasquet R.,Delbonis F.,1.32:3.39
Nishioka Y.,Nishikori K.,3.34:1.33
Medvedev D.,Paire B.,1.29:3.6
Struff J.L.,Tsitsipas S.,2.43:1.56
Schwartzman D.,Albot R.,1.67:2.2
Rublev A.,Wawrinka S.,2.35:1.59
Goffin D.,Pella G.,1.56:2.42
Kecmanovic M.,Zverev A.,2.41:1.57
Mannarino A.,Kukushkin M.,1.58:2.38
