name,followers_2019,followers_2021
Del Potro J.M.,1000.0,1000.0
Delbonis F.,1000.0,1000.0
Delgado R.,1000.0,1000.0
Delic A.,1000.0,1000.0
Delic M.,1000.0,1000.0
Dellien H.,1000.0,1000.0
Demoliner M.,1000.0,1000.0
Dent T.,1000.0,1000.0
Desein N.,1000.0,1000.0
Devilder N.,1000.0,1000.0
Devvarman S.,1000.0,1000.0
Di Mauro A.,1000.0,1000.0
Diaz Acosta F.,1000.0,1000.0
Diez S.,1000.0,1000.0
Dimitrov G.,1000.0,1000.0
Djere L.,1000.0,1000.0
Djokovic M.,1000.0,1000.0
Djokovic N.,1000.0,1000.0
Dodig I.,1000.0,1000.0
Dolgopolov A.,1000.0,1000.0
Dolgopolov O.,1000.0,1000.0
Domingues J.,1000.0,1000.0
Donaldson J.,1000.0,1000.0
Donati M.,1000.0,1000.0
Donski A.,1000.0,1000.0
Donskoy E.,1000.0,1000.0
Draper J.,1000.0,1000.0
Dubrivnyy A.,1000.0,1000.0
Duckworth J.,1000.0,1000.0
Duclos P.L.,1000.0,1000.0
Dustov F.,1000.0,1000.0
Dutra Da Silva R.,1000.0,1000.0
Dutra Silva R.,1000.0,1000.0
Dzumhur D.,1000.0,1000.0
Ebden M.,1000.0,1000.0
Edmund K.,1000.0,1000.0
Ehrat S.,1000.0,1000.0
El Amrani R.,1000.0,1000.0
El Aynaoui Y.,1000.0,1000.0
Eleskovic E.,1000.0,1000.0
Elgin M.,1000.0,1000.0
Elias G.,1000.0,1000.0
Emmrich M.,1000.0,1000.0
Eriksson M.,1000.0,1000.0
Erler A.,1000.0,1000.0
Escobar G.,1000.0,1000.0
Escobedo E.,1000.0,1000.0
Estrella Burgos V.,1000.0,1000.0
Etcheverry T.,1000.0,1000.0
Eubanks C.,1000.0,1000.0
Evans B.,1000.0,1000.0
Evans D.,1000.0,1000.0
Eysseric J.,1000.0,1000.0
Fabbiano T.,1000.0,1000.0
Falla A.,1000.0,1000.0
Fancutt T.,1000.0,1000.0
Farah R.,1000.0,1000.0
Federer R.,1000.0,1000.0
Ferreira Silva F.,1000.0,1000.0
Ferrer D.,1000.0,1000.0
Ferrero J.C.,1000.0,1000.0
Ficovich J.P.,1000.0,1000.0
Fidirko N.,1000.0,1000.0
Fischer M.,1000.0,1000.0
Fish M.,1000.0,1000.0
Fleming C.,1000.0,1000.0
Fognini F.,1000.0,1000.0
Forejtek J.,1000.0,1000.0
Fraile G.,1000.0,1000.0
Fratangelo B.,1000.0,1000.0
Fritz T.,1000.0,1000.0
Fucsovics M.,1000.0,1000.0
Gabashvili T.,1000.0,1000.0
Gaio F.,1000.0,1000.0
Galan D.,1000.0,1000.0
Galan D.E.,1000.0,1000.0
Galdon P.,1000.0,1000.0
Galovic V.,1000.0,1000.0
Galvani S.,1000.0,1000.0
Gao X.,1000.0,1000.0
Garanganga T.,1000.0,1000.0
Garcia-Lopez G.,1000.0,1000.0
Garin C.,1000.0,1000.0
Garza D.,1000.0,1000.0
Gasquet R.,1000.0,1000.0
Gaston H.,1000.0,1000.0
Gaudio G.,1000.0,1000.0
Gensse A.,1000.0,1000.0
Gerasimov E.,1000.0,1000.0
Ghedin R.,1000.0,1000.0
Ghem A.,1000.0,1000.0
Giannessi A.,1000.0,1000.0
Gicquel M.,1000.0,1000.0
Gigounon G.,1000.0,1000.0
Gil F.,1000.0,1000.0
Gimeno-Traver D.,1000.0,1000.0
Ginepri R.,1000.0,1000.0
Giraldo S.,1000.0,1000.0
Giron M.,1000.0,1000.0
Giustino L.,1000.0,1000.0
Goffin D.,1000.0,1000.0
Gojo B.,1000.0,1000.0
Gojowczyk P.,1000.0,1000.0
Golding O.,1000.0,1000.0
Golubev A.,1000.0,1000.0
Gombos N.,1000.0,1000.0
Gomez A.,1000.0,1000.0
Gomez E.,1000.0,1000.0
Gomez L.,1000.0,1000.0
Gomez-Herrera C.,1000.0,1000.0
Gong M.X.,1000.0,1000.0
Gonzalez A.,1000.0,1000.0
Gonzalez F.,1000.0,1000.0
Gonzalez M.,1000.0,1000.0
Gonzalez S.,1000.0,1000.0
Goodall J.,1000.0,1000.0
Granollers G.,1000.0,1000.0
Granollers M.,1000.0,1000.0
Granollers Pujol G.,1000.0,1000.0
Granollers-Pujol G.,1000.0,1000.0
Gray A.,1000.0,1000.0
Gremelmayr D.,1000.0,1000.0
Grenier H.,1000.0,1000.0
Greul S.,1000.0,1000.0
Griekspoor T.,1000.0,1000.0
Grigelis L.,1000.0,1000.0
Grosjean S.,1000.0,1000.0
Groth S.,1000.0,1000.0
Guccione C.,1000.0,1000.0
Guez D.,1000.0,1000.0
Gulbis E.,1000.0,1000.0
Gunneswaran P.,1000.0,1000.0
Gutierrez-Ferrol S.,1000.0,1000.0
Haas T.,1000.0,1000.0
Haase R.,1000.0,1000.0
Haider-Maurer A.,1000.0,1000.0
Hajek J.,1000.0,1000.0
Hajji A.,1000.0,1000.0
Halebian A.,1000.0,1000.0
Halys Q.,1000.0,1000.0
Hamou M.,1000.0,1000.0
Hanescu V.,1000.0,1000.0
Hanfmann Y.,1000.0,1000.0
Hank T.,1000.0,1000.0
Harris A.,1000.0,1000.0
Harris L.,1000.0,1000.0
Harrison C.,1000.0,1000.0
Harrison R.,1000.0,1000.0
Hemery C.,1000.0,1000.0
Herbert P.H.,1000.0,1000.0
Hernandez O.,1000.0,1000.0
Hernandez-Fernandez J.,1000.0,1000.0
Hernych J.,1000.0,1000.0
Hewitt L.,1000.0,1000.0
Hoang A.,1000.0,1000.0
Hocevar R.,1000.0,1000.0
Holmgren A.,1000.0,1000.0
