name,followers_2019,followers_2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kendrick R.,1000,1001,486,215,79,0,0,0,0,0,0,0,0
Kern R.,1000,1001,4,8,104,84,67,35,57,86,27,0,0
Khachanov K.,130822,255535,0,0,0,83,116,379,863,1030,2835,1840,2245
Khaddari H.,1000,1001,8,2,10,66,2,2,1,0,0,0,0
Kicker N.,1000,1001,2,1,34,58,144,281,537,590,285,0,0
Kiefer N.,1000,1001,20,0,0,0,0,0,0,0,0,0,0
Kim K.,1000,1001,193,87,41,0,0,0,0,0,0,0,0
Kindlmann D.,1000,1001,208,44,41,0,0,0,0,0,0,0,0
King D.,1000,1001,130,0,107,1,0,0,0,0,0,0,0
King E.,1000,1001,3,15,4,48,54,104,132,242,131,115,89
King K.,1000,1001,0,0,2,68,113,170,17,240,159,134,151
King-Turner D.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Kirillov E.,1000,1001,147,130,145,0,0,0,0,0,0,0,0
Kirkin E.,1000,1001,0,0,0,0,0,0,0,3,43,60,83
Klaasen R.,1000,1001,148,196,0,0,0,0,0,0,0,0,0
Klahn B.,1513,2242,15,27,189,568,365,70,18,242,699,415,436
Klec I.,1000,1001,191,114,91,99,146,57,0,0,0,0,0
Klein B.,1000,1001,229,77,219,104,193,272,148,180,46,98,103
Klein L.,1000,1001,0,0,0,0,0,0,8,60,51,131,164
Klizan M.,2159,3500,346,486,1175,518,1094,980,1230,393,1048,373,432
Knittel B.,1000,1001,221,264,238,169,10,0,0,0,0,0,0
Knowle J.,1000,1001,0,0,12,0,0,0,0,0,0,0,0
Koellerer D.,1000,1001,166,0,0,0,0,0,0,0,0,0,0
Koepfer D.,1000,1001,0,0,0,0,0,1,70,162,360,592,921
Kohlschreiber P.,1000,1001,1215,960,1770,1525,1415,1185,1325,1440,1125,665,729
Kokkinakis T.,1000,1001,0,1,22,41,353,656,0,245,367,256,209
Kolar Z.,1000,1001,0,0,0,0,3,46,215,234,235,209,250
Kontinen H.,1000,1001,166,65,1,1,0,0,0,0,0,0,0
Kopriva V.,1000,1001,0,0,0,0,0,10,76,52,85,110,167
Korda S.,1000,1001,0,0,0,0,0,0,1,18,51,189,563
Korolev E.,1000,1001,390,157,227,130,62,1,1,0,0,0,0
Kosakowski D.,1000,1001,23,92,188,48,175,0,0,0,0,0,0
Kotov P.,1000,1001,0,0,0,0,0,4,13,79,100,186,202
Koubek S.,1000,1001,425,30,0,0,0,0,0,0,0,0,0
Kovalik J.,1324,2005,1,92,131,126,243,203,501,335,637,379,498
Kozlov S.,1000,1001,0,0,2,8,80,130,508,328,93,80,110
Krajicek A.,1000,1001,23,18,128,195,350,559,208,195,22,0,0
Krajinovic F.,21831,43200,230,2,89,210,558,574,223,1298,620,1148,1628
Kravchuk K.,1000,1001,373,269,181,285,235,429,660,186,114,114,120
Krawietz K.,1000,1001,15,131,108,95,56,100,164,50,249,35,35
Krstin P.,1000,1001,0,4,6,109,198,212,237,240,302,193,204
Krueger M.,1000,1001,0,1,20,76,124,217,244,266,214,304,337
Kubler J.,1000,1001,49,54,132,100,381,62,9,134,515,172,210
Kubot L.,1000,1001,695,828,675,686,302,83,15,0,0,0,0
Kudla D.,13881,16254,63,171,402,491,458,719,457,301,810,491,600
Kudryavtsev A.,1000,1001,336,322,173,170,464,321,286,41,0,0,0
Kuhn N.,1000,1001,0,0,0,0,0,1,23,215,186,232,219
Kukushkin M.,3186,5780,819,598,526,721,705,762,634,693,935,816,776
Kumantsov A.,1000,1001,113,95,154,8,0,0,0,0,0,0,0
Kunitsyn I.,1000,1001,551,692,339,58,0,0,0,0,0,0,0
Kutrovsky D.,1000,1001,42,58,26,74,125,152,0,0,0,0,0
Kuzmanov D.,1000,1001,4,11,53,80,99,171,94,108,210,80,166
Kuznetsov A.,1000,1001,188,301,213,397,279,130,109,0,0,0,0
Kuznetsov Al.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Kuznetsov An.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Kwiatkowski T.S.,1000,1001,1,0,0,0,10,2,38,62,174,196,283
Kwon S.W.,1000,1001,0,0,0,0,1,46,140,323,211,622,752
Kypson P.,1000,1001,0,0,0,0,0,1,7,29,22,14,32
Kyrgios N.,1037846,1749490,0,0,15,277,830,1260,2460,2010,1125,1395,1170
Laaksonen H.,1000,1001,3,40,155,191,151,279,452,488,309,548,485
Lacko L.,1000,1001,578,505,827,625,576,534,492,605,514,280,324
Lajola D.,1000,1001,0,29,36,0,0,0,0,0,0,0,0
Lajovic D.,14362,37413,83,261,333,483,711,678,627,687,985,1296,1785
Lama G.,1000,1001,0,14,23,149,217,201,216,96,34,16,26
Lamasine T.,1000,1001,1,15,14,47,208,253,250,151,110,221,204
Lammer M.,1000,1001,187,192,119,83,61,10,0,0,0,0,0
Langer N.,1000,1001,9,35,148,115,192,236,127,79,0,0,0
Lapentti G.,1000,1001,232,167,0,62,154,239,43,20,0,0,0
Lapentti N.,1000,1001,77,0,0,0,0,0,0,0,0,0,0
Lazarov A.,1000,1001,0,0,0,0,0,0,51,25,50,53,56
Lazov A.,1000,1001,2,3,66,47,120,95,97,98,78,1,1
Ledovskikh M.,1000,1001,110,131,74,15,100,29,12,0,0,0,0
Lee D.H.,1000,1001,7,1,0,0,2,1,4,0,0,0,0
Lemke J.,1000,1001,138,158,50,39,1,0,0,0,0,0,0
Lenz J.,1000,1001,3,0,2,11,28,15,26,68,51,208,222
Leshem E.,1000,1001,0,0,0,0,6,57,106,206,71,94,110
Lestienne C.,1000,1001,0,0,3,82,83,174,352,153,356,246,255
Levine J.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Levy H.,1000,1001,127,6,0,0,0,0,0,0,0,0,0
Li Z.,1000,1001,76,108,105,19,114,208,175,189,206,261,248
Lin J.M.,1000,1001,0,0,0,0,0,0,1,0,1,3,3
Lindahl N.,1000,1001,197,37,29,8,0,0,0,0,0,0,0
Lindell C.,1000,1001,106,88,58,68,175,237,103,163,52,110,139
Linzer M.,1000,1001,48,127,145,130,99,194,159,151,0,0,0
Lisnard J.R.,1000,1001,3,119,0,0,0,0,0,0,0,0,0
Ljubicic I.,1000,1001,1965,1270,0,0,0,0,0,0,0,0,0
Llodra M.,1000,1001,1575,915,823,541,186,0,0,0,0,0,0
Lojda D.,1000,1001,212,243,210,67,112,112,3,0,0,0,0
Lokoli L.,1000,1001,0,2,6,82,191,55,162,70,40,111,108
Londero J.I.,1000,1001,16,27,74,164,207,175,137,119,490,1017,832
Lopez F.,201889,237901,1300,1755,1005,1310,2130,1690,1410,1295,795,888,998
Lopez M.,1000,1001,20,4,0,10,10,0,0,0,0,0,0
Lopez Villasenor G.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Lopez-Perez E.,1000,1001,12,49,117,170,235,82,363,191,273,282,0
Lorenzi P.,1000,1001,384,521,744,515,759,725,1090,1095,523,480,450
Lu Y.,1000,1001,1141,651,759,730,993,674,754,704,8,0,10
Lu Y.H.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Luczak P.,1000,1001,400,173,8,0,0,0,0,0,0,0,0
Luz O.,1000,1001,0,0,0,9,6,89,63,27,109,133,149
Maamoun K.,1000,1001,28,10,0,0,0,0,0,0,0,0,0
Machac T.,1000,1001,0,0,0,0,0,0,0,0,60,107,331
Machado R.,1000,1001,573,698,147,178,165,150,16,0,0,0,0
Maden Y.,1000,1001,0,0,0,31,88,45,189,380,460,429,378
Mager G.,1000,1001,0,0,0,13,84,146,141,84,177,473,725
Mahut N.,1000,1001,424,653,515,918,490,710,1102,561,269,260,239
Majchrzak K.,1000,1001,0,0,0,4,92,188,181,260,292,575,680
Malisse X.,1000,1001,816,910,746,425,0,0,0,0,0,0,0
Mannarino A.,9421,14528,600,623,247,784,898,930,791,1635,1045,1111,1516
Marcan D.,1000,1001,20,118,106,75,58,9,5,0,0,0,0
Marchenko I.,1000,1001,613,212,397,315,375,605,705,260,36,180,278
Marcora R.,1000,1001,5,23,81,119,206,210,49,40,177,283,352
Marrero D.,1000,1001,105,0,0,0,0,0,0,0,0,0,0
Marterer M.,8206,7150,0,0,4,15,81,198,323,608,706,198,300
Marti J.,1000,1001,130,267,272,141,23,192,21,199,29,10,20
Marti Y.,1000,1001,38,38,12,136,186,124,143,35,17,2,4
Martin A.,1000,1001,194,0,0,0,0,0,0,0,0,0,0
Martin F.,1000,1001,91,183,143,61,152,23,12,0,0,0,0
Martinez P.,1000,1001,5,0,0,0,0,0,0,0,0,0,0
Massu N.,1000,1001,284,79,38,16,0,0,0,0,0,0,0
Masur D.,1000,1001,0,0,0,8,78,107,228,131,188,183,223
Mathieu P.H.,1000,1001,562,0,763,434,565,604,710,206,0,0,0
Matosevic M.,1000,1001,398,240,845,774,682,169,238,111,28,0,0
Mayer F.,1000,1001,1128,1630,1215,1065,365,236,903,718,168,0,0
Mayer L.,1000,1001,572,659,702,579,1299,1150,448,909,895,603,482
Mayot H.,1000,1001,0,0,0,0,0,0,0,0,0,28,88
Mcclune M.,1000,1001,59,83,117,0,0,0,0,0,0,0,0
Mcdonald M.,13489,30141,0,0,0,35,41,118,148,299,688,425,335
Mcgee J.,1000,1001,29,112,125,192,244,246,286,116,0,0,0
Mecir M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Medjedovic H.,1000,1001,0,0,0,0,0,0,0,0,0,1,3
Medvedev D.,39729,712339,0,1,0,0,39,144,611,772,1977,5705,8470
Meffert D.,1000,1001,137,299,297,124,23,0,0,0,0,0,0
Meister N.,1000,1001,0,6,50,109,106,165,116,0,7,0,0
Mejia N.,1000,1001,0,0,0,0,0,0,1,1,28,84,80
Mektic N.,1000,1001,159,134,186,157,177,131,144,12,0,0,0
Meligeni Rodrigues F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Mello R.,1000,1001,642,630,162,10,0,0,0,0,0,0,0
Melzer G.,1000,1001,81,121,165,252,316,318,728,572,192,7,7
Melzer J.,1000,1001,2785,1170,1177,1315,505,367,158,271,133,3,3
Menendez-Maceiras A.,1000,1001,158,232,257,240,397,415,218,465,440,216,204
Menezes J.,1000,1001,0,0,1,0,27,63,27,58,122,266,335
Mertens Y.,1000,1001,191,194,242,152,192,249,209,161,106,81,73
Mertl J.,1000,1001,95,228,271,250,229,226,122,75,49,1,1
Mesaros K.,1000,1001,140,153,33,257,39,0,215,35,0,0,0
Michon A.,1000,1001,95,181,129,187,228,181,201,135,10,0,0
Miedler L.,1000,1001,0,0,1,0,3,117,108,104,250,158,150
Millman J.,27252,47733,243,51,239,266,328,611,665,436,1083,1026,1421
Millot V.,1000,1001,242,278,229,170,335,282,428,269,87,32,12
Milojevic N.,1000,1001,0,0,0,31,109,216,217,347,321,334,472
Mina G.,1000,1001,55,78,17,43,203,57,149,54,20,11,13
Minar I.,1000,1001,325,268,256,102,3,1,1,0,0,0,0
Mitchell B.,1000,1001,35,214,137,173,203,225,75,26,32,0,0
Mmoh M.,1000,1001,0,0,0,0,38,88,278,299,563,227,368
Mochizuki S.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Moeller M.,1000,1001,0,0,0,0,0,0,3,42,27,0,42
Molcan A.,1000,1001,0,0,0,0,0,20,40,70,114,141,145
Molleker R.,1000,1001,0,0,0,0,0,0,9,52,267,308,273
Molteni A.,1000,1001,173,236,124,179,175,57,32,5,0,0,0
Monaco J.,1000,1001,1480,1335,2430,1015,770,810,740,0,0,0,0
Monfils G.,449125,826242,2560,1910,660,1230,1900,1485,3625,1015,1400,2530,2860
Montanes A.,1000,1001,1495,895,565,766,536,508,359,0,0,0,0
Monteiro J.,1000,1001,0,0,0,0,2,0,53,206,137,1,17
Monteiro T.,1000,1001,4,24,83,168,79,85,674,475,473,616,804
Moraing M.,1000,1001,0,0,1,11,77,82,87,187,359,270,222
Moraru G.,1000,1001,0,78,11,0,0,0,0,0,0,0,0
Moriya H.,1000,1001,111,134,306,244,366,251,331,131,301,228,233
Moroni G.,1000,1001,0,0,0,1,4,1,21,29,246,176,250
Mott B.,1000,1001,0,3,2,38,53,42,173,181,0,54,74
Moutet C.,1000,1001,0,0,0,0,5,19,66,352,370,638,838
Moya C.,1000,1001,55,0,0,0,0,0,0,0,0,0,0
Mukund S.,1000,1001,0,0,0,1,19,61,71,88,129,161,157
Muller A.,1000,1001,0,0,0,4,6,37,144,124,127,205,302
Muller G.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Munar J.,16233,28340,0,0,0,0,0,0,0,0,0,0,0
Munoz De La Nava D.,1000,1001,372,381,299,258,236,681,131,170,75,9,9
Munoz-De La Nava D.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Murray A.,1700000,1802054,5760,7380,8000,5790,4675,8945,12410,2290,200,442,547
Musetti L.,1000,1001,0,0,0,0,0,0,0,0,0,106,509
Muster T.,1000,1001,7,6,0,0,0,0,0,0,0,0,0
Myneni S.,1000,1001,0,22,104,139,190,301,287,43,196,93,81
Nadal R.,6434996,12349083,12450,9595,6690,13030,6835,5230,3300,10645,7480,9985,9850
Nagal S.,1000,1001,0,0,0,1,2,101,128,233,75,423,475
Nakashima B.,1000,1001,0,0,0,0,0,0,0,0,26,101,387
Nalbandian D.,1000,1001,1480,760,635,205,0,0,0,0,0,0,0
Nam J.S.,1000,1001,5,1,72,51,82,59,57,4,122,192,203
Napolitano S.,1000,1001,0,0,13,17,80,107,331,243,254,214,191
Nardi L.,1000,1001,0,0,0,0,0,0,0,0,2,2,22
Naso G.,1000,1001,150,215,240,161,113,235,57,0,0,0,0
Nava E.,1000,1001,0,0,0,1,7,12,0,0,0,1,1
Navarro-Pastor I.,1000,1001,277,258,209,2,0,0,0,0,0,0,0
Nedelko I.,1000,1001,49,98,61,95,68,160,126,172,175,123,124
Nedovyesov A.,1000,1001,46,1,233,586,421,345,329,197,291,131,131
Nedunchezhiyan J.,1000,1001,0,47,89,141,108,99,8,0,0,0,0
Neumayer L.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Nielsen F.,1000,1001,177,205,101,42,130,116,114,45,25,0,0
Nieminen J.,1000,1001,1062,666,927,1090,693,375,0,0,0,0,0
Niki T.,1000,1001,19,49,38,41,148,129,118,76,67,43,44
Nikles J.,1000,1001,0,0,0,0,6,12,35,15,61,66,71
Niland C.,1000,1001,433,159,0,0,0,0,0,0,0,0,0
Nishikori K.,476388,540863,554,1430,1830,1915,5025,4235,4905,1885,3590,2180,1345
Nishioka Y.,9976,33312,0,11,19,87,310,495,604,330,701,764,1062
Norrie C.,13438,40133,0,0,0,11,37,35,183,521,627,975,877
Novak D.,1000,1001,10,1,0,0,0,0,0,0,0,0,0
Novikov D.,1000,1001,1,8,50,40,168,387,343,224,168,46,24
O Connell C.,1000,1001,0,1,1,0,74,58,217,105,6,470,558
Odesnik W.,1000,1001,0,447,394,410,300,0,0,0,0,0,0
Ofner S.,1000,1001,0,0,0,2,6,32,173,389,283,333,402
Ojeda Lara R.,1000,1001,3,6,10,48,105,88,184,260,145,64,78
Okun N.,1000,1001,119,6,6,0,0,10,0,0,0,0,0
Olaso G.,1000,1001,227,263,127,182,0,0,0,82,55,0,0
Oliel Y.,1000,1001,0,0,0,0,0,1,14,41,20,85,93
Olivetti A.,1000,1001,27,93,214,185,161,0,146,115,102,17,14
Olivo R.,1000,1001,33,56,167,266,182,296,670,387,68,168,281
Opelka R.,1079,68777,0,0,0,1,6,13,267,228,590,1243,1402
Ortega-Olmedo R.,1000,1001,16,46,32,130,173,132,128,160,169,195,170
Oswald P.,1000,1001,93,177,107,11,21,0,0,0,0,0,0
Otte O.,1000,1001,0,1,5,40,7,82,70,435,313,315,467
Ouahab L.,1000,1001,185,17,151,184,52,227,119,48,79,31,35
Ouanna J.,1000,1001,340,107,474,147,125,0,0,0,0,0,0
Ouyang B.,1000,1001,6,15,16,14,25,25,37,0,0,0,0
Paire B.,13825,396219,366,586,867,1345,474,1633,960,1155,935,1538,1738
Pasha N.,1000,1001,0,0,0,0,6,17,18,44,10,0,0
Patience O.,1000,1001,266,75,85,0,0,0,0,0,0,0,0
Patino L.,1000,1001,0,5,9,11,26,27,30,12,17,12,12
Paul T.,1000,1001,19,0,0,0,0,0,0,0,0,0,0
Pavic A.,1000,1001,51,83,53,189,303,90,109,165,114,28,28
Pavic M.,1000,1001,1,14,113,95,97,47,6,12,0,0,0
Pavlasek A.,1000,1001,0,10,74,101,203,353,704,256,252,94,98
Peliwo F.,1000,1001,0,12,59,172,104,112,71,279,199,144,116
Pella G.,74338,170676,91,122,564,478,333,693,685,774,860,1530,1310
Pellegrino A.,1000,1001,0,0,0,0,2,3,81,123,69,115,188
Petrovic D.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Petzschner P.,1000,1001,839,780,492,241,98,31,5,0,0,0,0
Peya A.,1000,1001,228,24,0,0,0,0,0,0,0,0,0
Phau B.,1000,1001,551,331,668,139,116,0,0,0,0,0,0
Piros Z.,1000,1001,0,0,0,0,0,1,2,41,105,79,86
Podlipnik H.,1000,1001,63,129,179,150,279,260,82,7,0,0,0
Poerschke L.,1000,1001,14,0,0,0,0,0,0,0,0,0,0
Polansky P.,1000,1001,240,161,288,398,270,36,452,404,482,279,270
Polmans M.,1000,1001,0,0,1,2,10,22,238,149,398,417,539
Popko D.,1000,1001,0,0,3,6,43,204,238,233,68,271,381
Popyrin A.,1000,1001,0,0,0,0,0,0,7,43,365,585,623
Pospisil J.,1000,1001,395,235,96,225,191,132,113,32,56,31,34
Pospisil V.,72383,92536,129,481,454,1219,830,1075,456,545,716,360,1006
Pouille L.,167432,172165,0,1,85,246,408,672,2156,2235,1245,1600,880
Prashanth V.,1000,1001,25,41,47,31,56,115,58,61,29,10,4
Prodon E.,1000,1001,379,581,157,21,36,0,0,0,0,0,0
Prpic F.,1000,1001,144,2,10,0,0,0,0,0,0,0,0
Przysiezny M.,1000,1001,590,145,231,730,298,256,96,72,6,3,0
Puetz T.,1000,1001,4,38,87,193,268,100,36,136,90,0,0
Purcell M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Querrey S.,30487,30008,1860,589,1650,960,1090,785,1355,2535,955,1100,1065
Quigley E.,1000,1001,0,2,38,46,78,158,110,44,0,0,0
Quinzi G.,1000,1001,0,1,49,131,96,113,168,138,380,102,95
Quiroz R.,1000,1001,0,17,24,37,66,0,172,182,280,167,166
Rachidi Y.,1000,1001,3,6,11,17,6,0,0,0,0,0,0
Ram R.,1000,1001,285,355,427,439,381,623,461,128,0,0,0
Ramanathan R.,1000,1001,0,11,19,65,203,209,231,379,432,293,340
Ramirez C.,1000,1001,82,52,75,30,33,5,0,0,0,0,0
Ramirez-Hidalgo R.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Ramos A.,15872,19384,458,709,830,617,761,798,1435,1845,790,1130,1165
Ramos-Vinolas A.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Raonic M.,377705,350576,345,1255,2380,2860,4440,2170,5450,1795,1855,1350,2580
Recouderc L.,1000,1001,243,49,94,57,13,4,0,0,0,0,0
Reid M.,1000,1001,81,174,146,212,189,156,40,0,0,0,0
Reinberg E.,1000,1001,0,0,0,0,0,0,7,16,9,0,0
Reister J.,1000,1001,504,210,153,612,276,59,44,0,0,0,0
Reix C.,1000,1001,159,68,127,25,0,0,0,0,0,0,0
Renavand N.,1000,1001,69,117,174,61,0,0,0,0,0,0,0
Reyes-Varela M.A.,1000,1001,17,31,34,82,41,0,0,0,0,0,0
Reynolds B.,1000,1001,333,459,378,282,47,0,0,0,0,0,0
Riba P.,1000,1001,672,612,80,443,505,236,186,36,0,0,0
Riba-Madrid P.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Riedi L.,1000,1001,0,0,0,0,0,0,0,0,0,0,15
Rieschick S.,1000,1001,200,182,67,0,0,0,0,0,0,0,0
Riffice S.,1000,1001,0,0,0,0,0,0,2,24,31,46,39
Rinderknech A.,1000,1001,0,0,0,1,0,1,10,8,105,121,361
Rios F.,1000,1001,2,6,20,4,0,0,0,0,0,0,0
Robert S.,1000,1001,460,552,174,487,407,239,854,237,259,26,15
Robredo T.,1000,1001,915,905,495,1810,2015,1000,127,336,249,244,255
Roca Batalla O.,1000,1001,2,16,19,71,191,217,156,107,215,125,134
Rochus C.,1000,1001,189,1,8,0,0,0,0,0,0,0,0
Rochus O.,1000,1001,515,704,577,252,53,0,0,0,0,0,0
Roddick A.,1000,1001,3665,1940,1015,0,0,0,0,0,0,0,0
Rodionov J.,1000,1001,0,0,0,0,0,2,12,68,228,134,455
Rodrigues M.,1000,1001,90,227,82,61,85,0,1,0,0,0,0
Roger-Vasselin E.,1000,1001,456,548,545,908,600,475,167,0,0,0,0
Rola B.,1000,1001,90,21,146,276,632,408,204,248,271,370,417
Romboli F.,1000,1001,157,116,150,130,65,139,63,25,1,0,0
Rosenholm P.,1000,1001,1,85,108,42,122,12,64,3,0,0,0
Rosol L.,1000,1001,328,693,679,956,1210,797,525,254,407,285,327
Roumane R.,1000,1001,0,0,0,0,0,15,0,6,19,102,108
Rubin N.,1000,1001,0,0,7,24,48,138,274,256,434,236,219
Rublev A.,1000,1001,0,0,0,38,92,270,395,1229,760,1584,4119
Rufin G.,1000,1001,245,204,574,423,123,41,0,0,0,0,0
Rune H.,1000,1001,0,0,0,0,0,0,0,0,0,9,75
Russell M.,1000,1001,552,577,582,594,325,60,0,0,0,0,0
Ruud C.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Ruusuvuori E.,1000,1001,0,0,0,0,0,0,2,34,115,459,796
Ryderstedt M.,1000,1001,129,144,68,0,0,0,0,0,0,0,0
Saavedra Corvalan C.,1000,1001,91,140,99,103,104,47,53,17,0,0,0
Sabry S.,1000,1001,39,26,77,90,79,28,18,13,1,1,1
Sachko V.,1000,1001,0,0,0,0,2,9,7,12,4,46,99
Sadecky A.,1000,1001,108,59,48,2,6,0,0,0,0,0,0
Safiullin R.,1000,1001,0,0,0,0,137,19,141,70,214,182,350
Safranek V.,1000,1001,0,1,5,16,45,132,201,230,131,117,125
Safwat M.,1000,1001,49,86,78,257,168,182,278,244,272,291,418
Sakamoto P.,1000,1001,2,13,3,70,41,74,63,74,73,130,171
Sakharov G.,1000,1001,41,88,84,32,108,147,130,349,245,82,43
Salamanca C.,1000,1001,311,194,178,191,93,19,2,24,0,0,0
Samper-Montana J.,1000,1001,10,98,129,212,215,257,262,72,136,11,9
Sanchez M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Sandgren T.,679,19500,2,51,206,277,38,201,289,583,814,803,1081
Santillan A.,1000,1001,0,0,0,1,3,50,263,381,132,182,182
Santoro F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Sarkissian A.,1000,1001,0,2,10,15,50,252,268,200,121,71,88
Sarmiento R.,1000,1001,0,2,1,3,18,32,125,135,0,45,98
Satral J.,1000,1001,1,27,47,38,101,231,371,129,59,83,116
Saville L.,1000,1001,2,4,124,100,313,266,196,62,76,124,110
Schnur B.,1000,1001,0,0,0,57,45,42,89,238,310,534,301
Scholtz N.,1000,1001,27,28,24,12,88,107,70,144,28,0,0
Schoolkate T.,1000,1001,0,0,0,0,0,0,0,0,0,14,18
Schoorel T.,1000,1001,319,428,210,228,45,9,0,0,0,0,0
Schuettler R.,1000,1001,597,428,14,0,0,0,0,0,0,0,0
Schukin Y.,1000,1001,438,255,74,0,0,0,0,0,0,0,0
Schwank E.,1000,1001,655,366,221,125,24,1,0,0,0,0,0
Schwartzman D.,291137,679943,92,111,292,480,775,624,864,1675,1880,2125,3455
Sekulic M.,1000,1001,16,11,21,26,21,19,13,3,0,0,0
Sela D.,1000,1001,643,640,512,681,560,578,616,755,204,373,249
Seppi A.,5275,67808,900,1015,1560,1360,870,1360,655,616,1106,776,689
Serdarusic N.,1000,1001,0,0,0,0,4,32,81,164,235,146,168
Sergeyev I.,1000,1001,256,23,364,74,0,0,0,1,4,1,3
Serra F.,1000,1001,715,297,488,216,130,15,0,0,0,0,0
Setkic A.,1000,1001,143,53,193,154,217,246,208,293,127,57,71
Seyboth Wild T.,1000,1001,0,0,0,0,0,0,0,44,61,235,586
Shane R.,1000,1001,0,0,0,1,10,33,60,85,69,40,35
Shapovalov D.,270249,529807,0,0,0,0,0,8,209,981,1440,2050,2830
Shi B.,1000,1001,0,0,0,0,0,0,0,0,5,0,0
Shyla Y.,1000,1001,2,0,26,27,98,99,70,104,40,2,11
Si Y.M.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Sidorenko A.,1000,1001,158,125,53,18,31,90,202,1,0,0,0
Sijsling I.,1000,1001,436,243,712,697,619,407,322,62,74,120,176
Silva F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Silva F.F.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Silva J.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Simmonds P.,1000,1001,42,64,48,0,0,6,0,0,0,0,0
Simon G.,1000,1001,1005,2165,2165,1790,1730,2145,1585,610,1370,955,1005
Simonsson F.,1000,1001,0,0,2,7,0,42,27,33,19,1,0
Singh S.,1000,1001,0,11,154,102,99,185,41,5,0,0,0
Sinner J.,1000,1001,0,0,0,0,0,0,0,0,28,671,1444
Siriluethaiwattana P.,1000,1001,4,18,5,0,6,0,0,0,0,0,0
Sitak A.,1000,1001,128,84,49,56,14,6,0,0,0,0,0
Skatov T.,1000,1001,0,0,0,0,0,0,0,0,3,41,83
Skugor F.,1000,1001,289,141,17,59,46,276,246,168,57,26,0
Slabinsky A.,1000,1001,57,32,61,6,0,0,0,0,0,0,0
Smethurst D.,1000,1001,63,73,120,98,172,94,10,0,0,0,0
Smith A.,1000,1001,0,3,1,0,0,0,24,0,0,0,0
Smith J.P.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Smyczek T.,1000,1001,313,172,448,600,502,543,447,435,318,107,65
Sock J.,1000,1001,11,105,375,545,934,1465,1710,3165,540,0,217
Soderling R.,1000,1001,5580,2120,0,0,0,0,0,0,0,0,0
Soderlund C.,1000,1001,0,0,0,0,0,26,87,25,0,17,17
Soeda G.,1000,1001,469,481,758,543,559,447,480,365,230,461,490
Sonego L.,1000,1001,0,0,0,0,21,119,162,243,530,990,1568
Sorensen L.,1000,1001,127,69,14,96,224,0,0,0,0,0,0
Sousa J.,53648,62169,193,256,546,934,822,1191,1030,850,1017,891,776
Sousa P.,1000,1001,67,126,181,253,10,27,304,469,548,376,691
Souza J.,1000,1001,517,556,385,406,593,422,491,211,141,25,10
Spadea V.,1000,1001,1,0,0,0,0,0,0,0,0,0,0
Stadler S.,1000,1001,173,129,11,12,0,0,0,0,0,0,0
Stakhovsky S.,1000,1001,945,780,538,554,781,780,542,484,422,350,322
Starace P.,1000,1001,945,825,326,338,314,48,0,0,0,0,0
Statham J.,1000,1001,76,53,119,155,61,111,86,170,52,28,0
Stebe C.M.,1000,1001,108,652,295,312,0,4,84,651,10,307,529
Stepanek R.,1000,1001,795,1275,1135,970,715,252,558,127,0,0,0
Stricker D.,1000,1001,0,0,0,0,0,0,0,0,0,1,6
Strode B.,1000,1001,33,97,79,0,0,0,0,0,0,0,0
Struff J.L.,1000,1001,116,202,321,523,781,547,758,898,875,1245,1450
Struvay E.,1000,1001,65,187,17,67,175,209,183,36,26,89,91
Sugita Y.,1000,1001,295,207,491,310,420,472,527,1219,369,561,713
Svajda Z.,1000,1001,0,0,0,0,0,0,0,0,1,12,23
Sweeny D.,1000,1001,0,0,0,0,0,0,0,0,1,9,22
Sweeting R.,1000,1001,486,690,394,36,0,7,0,0,0,0,0
Taberner C.,1000,1001,0,0,0,0,6,29,155,275,132,264,457
Tabilo A.,1000,1001,0,0,0,1,3,8,50,19,64,233,382
