name,followers_2019,followers_2021,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bogaerts R.,1000,1001,0,0,2,5,4,0,0,0,0,0,0
Bogdanovic A.,1000,1001,154,139,136,57,0,0,0,0,0,0,0
Bogomolov A.,1000,1001,327,1135,447,605,160,0,0,0,0,0,0
Bohli S.,1000,1001,402,224,109,76,0,0,0,0,0,0,0
Bolelli S.,1000,1001,532,404,623,190,810,790,85,305,382,116,65
Bolt A.,1000,1001,3,11,107,77,242,194,53,269,351,328,380
Bonzi B.,1000,1001,0,0,0,0,9,73,127,270,160,107,388
Bopanna R.,1000,1001,32,36,0,3,0,0,0,0,0,0,0
Borges N.,1000,1001,0,0,0,0,1,5,4,58,80,29,99
Borvanov R.,1000,1001,86,194,119,56,0,0,0,0,0,0,0
Bossel A.,1000,1001,120,82,94,82,143,126,78,59,2,1,1
Bourchier H.,1000,1001,0,0,2,2,21,74,17,60,30,140,135
Bourgue M.,1000,1001,0,15,23,95,192,225,314,344,180,208,281
Bozoljac I.,1000,1001,371,213,70,198,240,21,0,0,0,0,0
Brancaccio R.,1000,1001,0,0,0,0,0,5,27,53,162,112,106
Brands D.,1000,1001,541,515,367,836,144,358,348,149,315,66,27
Britton D.,1000,1001,15,20,93,15,0,0,0,0,0,0,0
Broady L.,1000,1001,4,28,13,77,254,166,160,313,142,198,340
Brooksby J.,1000,1001,0,0,0,0,0,0,0,3,13,159,149
Brown D.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Brugues-Davi A.,1000,1001,115,391,241,90,0,0,0,0,0,0,0
Bryde T.,1000,1001,0,0,0,0,0,0,0,0,16,5,6
Brzezicki J.P.,1000,1001,307,181,18,0,0,0,0,0,0,0,0
Bubka S.,1000,1001,137,356,258,0,9,0,0,0,0,0,0
Bublik A.,1000,1001,0,0,0,0,16,14,265,505,322,919,1070
Buchanan C.,1000,1001,16,12,115,144,261,140,0,0,0,0,0
Burquier G.,1000,1001,206,194,232,206,178,12,1,0,0,0,0
Cabal J.S.,1000,1001,277,193,90,0,0,0,0,0,0,0,0
Cachin P.,1000,1001,0,1,3,59,202,222,77,193,222,104,111
Cacic N.,1000,1001,28,91,78,39,142,0,65,75,4,3,3
Capdeville P.,1000,1001,327,440,324,335,14,0,0,0,0,0,0
Carballes Baena R.,3635,7700,27,78,141,171,307,449,419,550,714,664,731
Carreno Busta P.,60953,130340,127,392,33,739,841,734,1370,2615,1705,1422,2535
Carreno-Busta P.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Caruana L.,1000,1001,0,0,0,0,0,2,5,87,51,49,85
Caruso S.,1000,1001,0,3,41,124,83,228,208,254,332,586,843
Catarina L.,1000,1001,0,0,0,0,0,26,15,118,68,58,90
Cazaux A.,1000,1001,0,0,0,0,0,0,0,0,0,7,26
Cecchinato M.,100922,86622,2,36,93,318,324,618,304,543,1819,780,828
Celikbilek A.,1000,1001,0,0,0,1,5,53,69,88,86,121,147
Cermak F.,1000,1001,24,0,6,0,0,0,0,0,0,0,0
Cerundolo F.,1000,1001,0,0,0,0,0,0,3,3,54,190,471
Cerundolo J.M.,1000,1001,0,0,0,0,0,0,0,0,2,92,126
Cervantes I.,1000,1001,116,222,378,0,195,703,560,141,10,31,63
Cervenak P.,1000,1001,186,244,209,75,0,1,0,0,0,0,0
Chardy J.,63412,74914,960,560,1131,1175,1240,1255,725,665,1050,990,860
Chela J.I.,1000,1001,1070,1270,295,0,0,0,0,0,0,0,0
Chiudinelli M.,1000,1001,485,275,380,303,231,181,497,92,0,0,0
Choinski J.,1000,1001,0,0,1,2,38,94,50,167,186,168,122
Chrysochos P.,1000,1001,0,0,0,0,55,57,3,0,86,60,101
Chung H.,135265,102,0,0,0,0,0,0,0,0,0,0,0
Chvojka E.,1000,1001,94,176,197,69,8,0,0,0,0,0,0
Cilic M.,181546,205841,2300,1665,2210,1130,4150,2405,3650,3805,4250,1165,1325
Ciorcila P.,1000,1001,0,0,9,54,18,0,0,0,0,0,0
Cipolla F.,1000,1001,232,669,568,269,138,147,34,0,37,0,0
Clarke J.,1000,1001,0,0,0,0,0,0,0,0,0,0,0
Clement A.,1000,1001,627,342,153,0,0,0,0,0,0,0,0
Clezar G.,1000,1001,18,159,202,332,193,290,239,249,213,119,203
Cobolli F.,1000,1001,0,0,0,0,0,0,0,0,0,12,16
Collarini A.,1000,1001,40,67,148,179,144,83,127,212,136,260,310
Copil M.,16386,20365,155,225,347,369,299,318,457,601,823,344,277
Coppejans K.,1000,1001,0,1,22,180,283,452,322,192,244,328,361
Coria F.,1000,1001,6,18,56,97,128,112,210,161,161,464,775
