Location,Surface,Year,Tournament
Stuttgart,Grass,2019,Mercedes Cup
Halle,Grass,2019,Halle Open
Queens Club,Grass,2019,Queen's Club Championships
Antalya,Grass,2019,Antalya Open
Eastbourne,Grass,2019,Eastbourne International
London,Grass,2019,Wimbledon
Bastad,Clay,2019,SkiStar Swedish Open
Newport,Grass,2019,Hall of Fame Championships
Umag,Clay,2019,Croatia Open
Atlanta,Hard,2019,BB&T Atlanta Open
Gstaad,Clay,2019,Suisse Open Gstaad
Hamburg,Clay,2019,German Tennis Championships
Kitzbuhel,Clay,2019,Generali Open
Los Cabos,Hard,2019,Abierto Mexicano Mifel
Washington,Hard,2019,Citi Open
Montreal,Hard,2019,Rogers Masters
Cincinnati,Hard,2019,Western & Southern Financial Group Masters
Winston-Salem,Hard,2019,Winston-Salem Open at Wake Forest University
New York,Hard,2019,US Open
Metz,Hard,2019,Open de Moselle
St. Petersburg,Hard,2019,St. Petersburg Open
Chengdu,Hard,2019,Chengdu Open
Zhuhai,Hard,2019,Zhuhai Open
Beijing,Hard,2019,China Open
Tokyo,Hard,2019,Rakuten Japan Open Tennis Championships
Shanghai,Hard,2019,Shanghai Masters
Antwerp,Hard,2019,European Open
Moscow,Hard,2019,Kremlin Cup
Stockholm,Hard,2019,Stockholm Open
Basel,Hard,2019,Swiss Indoors
Vienna,Hard,2019,Erste Bank Open
Paris,Hard,2019,BNP Paribas Masters
London,Hard,2019,Masters Cup
Doha,Hard,2020,Qatar Exxon Mobil Open
Auckland,Hard,2020,ASB Classic
Adelaide,Hard,2020,Adelaide International
Melbourne,Hard,2020,Australian Open
Cordoba,Clay,2020,Cordoba Open
Montpellier,Hard,2020,Open Sud de France
Pune,Hard,2020,Maharashtra Open
Buenos Aires,Clay,2020,Argentina Open
New York,Hard,2020,New York Open
Rotterdam,Hard,2020,ABN AMRO World Tennis Tournament
Delray Beach,Hard,2020,Delray Beach Open
Marseille,Hard,2020,Open 13
Rio de Janeiro,Clay,2020,Rio Open
Acapulco,Hard,2020,Abierto Mexicano
Dubai ,Hard,2020,Dubai Tennis Championships
Santiago,Clay,2020,Chile Open
New York,Hard,2020,Western & Southern Financial Group Masters
Kitzbuhel,Clay,2020,Generali Open
New York,Hard,2020,US Open
Rome,Clay,2020,Internazionali BNL d'Italia
Hamburg,Clay,2020,German Tennis Championships
Paris,Clay,2020,French Open
Cologne,Hard,2020,bett1HULKS Indoors
Sardinia,Clay,2020,Forte Village Sardegna Open
St. Petersburg,Hard,2020,St. Petersburg Open
Antwerp,Hard,2020,European Open
Cologne,Hard,2020,bett1HULKS Championship
Nur-Sultan,Hard,2020,Astana Open
Vienna,Hard,2020,Erste Bank Open
Paris,Hard,2020,BNP Paribas Masters
Sofia,Hard,2020,Sofia Open
London,Hard,2020,Masters Cup
Antalya,Hard,2021,Antalya Open
Delray Beach,Hard,2021,Delray Beach Open
Melbourne,Hard,2021,Great Ocean Road Open
Melbourne,Hard,2021,Murray River Open
Melbourne,Hard,2021,Australian Open
Cordoba,Clay,2021,Cordoba Open
Montpellier,Hard,2021,Open Sud de France
Singapore,Hard,2021,Singapore Open
Buenos Aires,Clay,2021,Argentina Open
Rotterdam,Hard,2021,ABN AMRO World Tennis Tournament
Doha,Hard,2021,Qatar Exxon Mobil Open
Marseille,Hard,2021,Open 13
Santiago,Clay,2021,Chile Open
Acapulco,Hard,2021,Abierto Mexicano
Dubai ,Hard,2021,Dubai Tennis Championships
Miami,Hard,2021,Miami Open
Cagliari,Hard,2021,Sardegna Open
Marbella,Hard,2021,AnyTech365 Andalucia Open
Monte Carlo,Clay,2021,Monte Carlo Masters
Barcelona,Clay,2021,Barcelona Open
Belgrade,Clay,2021,Serbia Open
Estoril,Clay,2021,Millennium Estoril Open
Munich,Clay,2021,BMW Open
Madrid,Clay,2021,Mutua Madrid Open
Rome,Clay,2021,Internazionali BNL d'Italia
Geneva,Clay,2021,Geneva Open
Lyon,Clay,2021,Lyon Open
Belgrade,Clay,2021,Belgrade Open
Parma,Clay,2021,Emilia-Romagna Open
Paris,Clay,2021,French Open
Stuttgart,Grass,2021,Mercedes Cup
Halle,Grass,2021,Halle Open
Queens Club,Grass,2021,Queen's Club Championships
Eastbourne,Grass,2021,Viking International
Mallorca,Grass,2021,Mallorca Championships
London,Grass,2021,Wimbledon
Bastad,Clay,2021,Nordea Open
Hamburg,Clay,2021,European Open
Newport,Grass,2021,Hall of Fame Championships
Gstaad,Clay,2021,Suisse Open Gstaad
Los Cabos,Hard,2021,Mifel Open
Umag,Clay,2021,Croatia Open
Atlanta,Hard,2021,BB&T Atlanta Open
Kitzbuhel,Clay,2021,Generali Open
Washington,Hard,2021,Citi Open
Toronto,Hard,2021,Canadian Open
Cincinnati,Hard,2021,Western & Southern Financial Group Masters
Winston-Salem,Hard,2021,Winston-Salem Open at Wake Forest University
New York,Hard,2021,US Open
Metz,Hard,2021,Open de Moselle
Nur-Sultan,Hard,2021,Astana Open
San Diego,Hard,2021,San Diego Open
Sofia,Hard,2021,Sofia Open
Indian Wells,Hard,2021,BNP Paribas Open
Moscow,Hard,2021,Kremlin Cup
St. Petersburg,Hard,2021,St. Petersburg Open
Vienna,Hard,2021,Vienna Open
