Tournament,Data,Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets,Year
Qatar Exxon Mobil Open,1/3/2019,Berdych T.,Herbert P.H.,1.49,2.67,Quarterfinals,2.0,0.0,2019
Qatar Exxon Mobil Open,1/3/2019,Cecchinato M.,Lajovic D.,2.53,1.53,Quarterfinals,2.0,0.0,2019
Qatar Exxon Mobil Open,1/4/2019,Bautista Agut R.,Djokovic N.,4.95,1.18,Semifinals,2.0,1.0,2019
Qatar Exxon Mobil Open,1/4/2019,Berdych T.,Cecchinato M.,1.45,2.78,Semifinals,2.0,0.0,2019
Qatar Exxon Mobil Open,1/5/2019,Bautista Agut R.,Berdych T.,1.6,2.37,The Final,2.0,1.0,2019
Maharashtra Open,12/31/2018,Darcis S.,Carballes Baena R.,2.35,1.59,1st Round,2.0,0.0,2018
Maharashtra Open,12/31/2018,Munar J.,Albot R.,1.94,1.86,1st Round,2.0,0.0,2018
Maharashtra Open,12/31/2018,Donskoy E.,Andujar P.,1.51,2.53,1st Round,2.0,1.0,2018
Maharashtra Open,12/31/2018,Mmoh M.,Gunneswaran P.,1.74,2.09,1st Round,2.0,0.0,2018
Maharashtra Open,12/31/2018,Gulbis E.,Sousa P.,1.35,3.19,1st Round,2.0,1.0,2018
Maharashtra Open,1/1/2019,Karlovic I.,Auger-Aliassime F.,2.16,1.7,1st Round,2.0,0.0,2019
Maharashtra Open,1/1/2019,Bolelli S.,Istomin D.,2.11,1.72,1st Round,2.0,0.0,2019
Maharashtra Open,1/1/2019,Ivashka I.,Hurkacz H.,2.24,1.65,1st Round,2.0,1.0,2019
Maharashtra Open,1/1/2019,Vesely J.,Hoang A.,1.88,1.92,1st Round,2.0,1.0,2019
Maharashtra Open,1/1/2019,Paire B.,Monteiro T.,1.34,3.07,1st Round,2.0,0.0,2019
Maharashtra Open,1/1/2019,Ramanathan R.,Granollers M.,2.3,1.61,1st Round,2.0,1.0,2019
Maharashtra Open,1/1/2019,Djere L.,Kadhe A.,1.25,3.96,1st Round,2.0,0.0,2019
Maharashtra Open,1/2/2019,Karlovic I.,Donskoy E.,1.66,2.22,2nd Round,2.0,0.0,2019
Maharashtra Open,1/2/2019,Gulbis E.,Chung H.,3.25,1.34,2nd Round,2.0,0.0,2019
Maharashtra Open,1/2/2019,Paire B.,Vesely J.,1.54,2.48,2nd Round,2.0,0.0,2019
Maharashtra Open,1/2/2019,Anderson K.,Djere L.,1.32,3.31,2nd Round,2.0,0.0,2019
Maharashtra Open,1/2/2019,Munar J.,Bolelli S.,2.08,1.75,2nd Round,2.0,0.0,2019
Maharashtra Open,1/2/2019,Darcis S.,Mmoh M.,2.42,1.56,2nd Round,2.0,1.0,2019
Maharashtra Open,1/2/2019,Simon G.,Ivashka I.,1.45,2.74,2nd Round,2.0,1.0,2019
Maharashtra Open,1/2/2019,Jaziri M.,Ramanathan R.,1.94,1.86,2nd Round,2.0,1.0,2019
Maharashtra Open,1/3/2019,Karlovic I.,Gulbis E.,2.12,1.73,Quarterfinals,2.0,0.0,2019
Maharashtra Open,1/3/2019,Darcis S.,Jaziri M.,1.82,2.0,Quarterfinals,2.0,0.0,2019
Maharashtra Open,1/3/2019,Anderson K.,Munar J.,1.3,3.57,Quarterfinals,2.0,0.0,2019
Maharashtra Open,1/3/2019,Simon G.,Paire B.,1.56,2.44,Quarterfinals,2.0,1.0,2019
Maharashtra Open,1/4/2019,Karlovic I.,Darcis S.,1.53,2.53,Semifinals,2.0,1.0,2019
Maharashtra Open,1/4/2019,Anderson K.,Simon G.,1.39,3.03,Semifinals,2.0,0.0,2019
Maharashtra Open,1/5/2019,Anderson K.,Karlovic I.,1.27,3.83,The Final,2.0,1.0,2019
ASB Classic,1/6/2019,Fritz T.,Copil M.,1.59,2.34,1st Round,2.0,1.0,2019
ASB Classic,1/7/2019,Kohlschreiber P.,Klahn B.,1.48,2.64,1st Round,2.0,0.0,2019
ASB Classic,1/7/2019,Struff J.L.,Djere L.,1.46,2.72,1st Round,1.0,0.0,2019
ASB Classic,1/7/2019,Norrie C.,Paire B.,1.66,2.23,1st Round,2.0,0.0,2019
ASB Classic,1/7/2019,Sandgren T.,Marterer M.,2.48,1.54,1st Round,2.0,0.0,2019
ASB Classic,1/7/2019,Berrettini M.,Mcdonald M.,1.8,2.01,1st Round,2.0,0.0,2019
ASB Classic,1/7/2019,Sousa J.,Shapovalov D.,2.71,1.47,1st Round,2.0,1.0,2019
ASB Classic,1/7/2019,Mayer L.,Johnson S.,2.56,1.51,1st Round,2.0,0.0,2019
ASB Classic,1/8/2019,Ferrer D.,Haase R.,1.72,2.12,1st Round,2.0,0.0,2019
ASB Classic,1/8/2019,Gojowczyk P.,Pella G.,1.76,2.06,1st Round,2.0,1.0,2019
ASB Classic,1/8/2019,Statham J.,Chung H.,7.07,1.1,1st Round,2.0,0.0,2019
ASB Classic,1/8/2019,Humbert U.,Cuevas P.,1.61,2.32,1st Round,2.0,0.0,2019
ASB Classic,1/8/2019,Fritz T.,Isner J.,2.4,1.58,2nd Round,2.0,0.0,2019
ASB Classic,1/8/2019,Sandgren T.,Cecchinato M.,1.63,2.28,2nd Round,2.0,0.0,2019
ASB Classic,1/9/2019,Mayer L.,Berrettini M.,2.4,1.58,2nd Round,2.0,1.0,2019
ASB Classic,1/9/2019,Fognini F.,Gojowczyk P.,1.61,2.32,2nd Round,2.0,1.0,2019
ASB Classic,1/9/2019,Kohlschreiber P.,Humbert U.,1.59,2.36,2nd Round,2.0,0.0,2019
ASB Classic,1/9/2019,Norrie C.,Sousa J.,1.57,2.4,2nd Round,2.0,0.0,2019
ASB Classic,1/9/2019,Carreno Busta P.,Ferrer D.,2.53,1.52,2nd Round,0.0,0.0,2019
ASB Classic,1/9/2019,Struff J.L.,Statham J.,1.21,4.48,2nd Round,2.0,0.0,2019
ASB Classic,1/9/2019,Sandgren T.,Mayer L.,1.67,2.23,Quarterfinals,2.0,0.0,2019
ASB Classic,1/10/2019,Kohlschreiber P.,Fognini F.,1.53,2.54,Quarterfinals,2.0,0.0,2019
ASB Classic,1/10/2019,Norrie C.,Fritz T.,1.82,2.01,Quarterfinals,2.0,0.0,2019
ASB Classic,1/10/2019,Struff J.L.,Carreno Busta P.,1.8,2.02,Quarterfinals,2.0,1.0,2019
ASB Classic,1/11/2019,Sandgren T.,Kohlschreiber P.,2.9,1.42,Semifinals,2.0,0.0,2019
ASB Classic,1/11/2019,Norrie C.,Struff J.L.,1.64,2.27,Semifinals,2.0,1.0,2019
ASB Classic,1/12/2019,Sandgren T.,Norrie C.,2.18,1.7,The Final,2.0,0.0,2019
