Tournament,Data,Winner,Loser,AvgW,AvgL,Round,Wsets,Lsets,Year
Mercedes Cup,6/11/2019,Berrettini M.,Kyrgios N.,2.75,1.44,1st Round,2.0,0.0,2019
Mercedes Cup,6/11/2019,Simon G.,Gojowczyk P.,1.69,2.15,1st Round,2.0,1.0,2019
Mercedes Cup,6/11/2019,Monfils G.,Johnson S.,1.42,2.85,1st Round,2.0,1.0,2019
Mercedes Cup,6/12/2019,Fucsovics M.,Basilashvili N.,1.53,2.51,2nd Round,2.0,1.0,2019
Mercedes Cup,6/12/2019,Raonic M.,Tsonga J.W.,2.17,1.68,2nd Round,2.0,1.0,2019
Mercedes Cup,6/12/2019,Struff J.L.,Kecmanovic M.,1.28,3.65,2nd Round,2.0,0.0,2019
Mercedes Cup,6/12/2019,Pouille L.,Medvedev D.,2.63,1.48,2nd Round,2.0,1.0,2019
Mercedes Cup,6/13/2019,Kudla D.,Monfils G.,2.81,1.43,2nd Round,2.0,1.0,2019
Mercedes Cup,6/13/2019,Berrettini M.,Khachanov K.,1.95,1.85,2nd Round,2.0,0.0,2019
Mercedes Cup,6/13/2019,Brown D.,Zverev A.,3.88,1.25,2nd Round,2.0,1.0,2019
Mercedes Cup,6/13/2019,Auger-Aliassime F.,Simon G.,1.51,2.54,2nd Round,2.0,0.0,2019
Mercedes Cup,6/14/2019,Berrettini M.,Kudla D.,1.49,2.61,Quarterfinals,2.0,0.0,2019
Mercedes Cup,6/14/2019,Struff J.L.,Pouille L.,1.8,2.01,Quarterfinals,2.0,0.0,2019
Mercedes Cup,6/14/2019,Auger-Aliassime F.,Brown D.,1.57,2.41,Quarterfinals,2.0,1.0,2019
Mercedes Cup,6/14/2019,Raonic M.,Fucsovics M.,1.37,3.08,Quarterfinals,2.0,0.0,2019
Mercedes Cup,6/15/2019,Berrettini M.,Struff J.L.,1.77,2.06,Semifinals,2.0,0.0,2019
Mercedes Cup,6/15/2019,Auger-Aliassime F.,Raonic M.,2.84,1.43,Semifinals,,,2019
Mercedes Cup,6/16/2019,Berrettini M.,Auger-Aliassime F.,1.45,2.75,The Final,2.0,0.0,2019
Halle Open,6/17/2019,Albot R.,Ebden M.,2.15,1.69,1st Round,2.0,1.0,2019
Halle Open,6/17/2019,Johnson S.,Kohlschreiber P.,2.27,1.62,1st Round,2.0,0.0,2019
Halle Open,6/17/2019,Herbert P.H.,Monfils G.,2.58,1.5,1st Round,2.0,0.0,2019
Halle Open,6/17/2019,Sousa J.,Hurkacz H.,2.1,1.73,1st Round,2.0,0.0,2019
Halle Open,6/17/2019,Khachanov K.,Kecmanovic M.,1.26,3.9,1st Round,2.0,0.0,2019
Halle Open,6/17/2019,Zverev A.,Haase R.,1.16,5.2,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Gasquet R.,Gojowczyk P.,1.38,3.01,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Goffin D.,Pella G.,1.26,3.88,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Struff J.L.,Djere L.,1.16,5.15,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Bautista Agut R.,Fritz T.,1.56,2.42,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Coric B.,Munar J.,1.2,4.58,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Stakhovsky S.,Molleker R.,1.55,2.45,1st Round,2.0,1.0,2019
Halle Open,6/18/2019,Seppi A.,Moraing M.,1.36,3.11,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Tsonga J.W.,Paire B.,1.37,3.05,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Berrettini M.,Basilashvili N.,1.29,3.61,1st Round,2.0,0.0,2019
Halle Open,6/18/2019,Federer R.,Millman J.,1.06,9.09,1st Round,2.0,0.0,2019
Halle Open,6/19/2019,Goffin D.,Albot R.,1.22,4.29,2nd Round,2.0,1.0,2019
Halle Open,6/19/2019,Khachanov K.,Struff J.L.,1.94,1.85,2nd Round,2.0,1.0,2019
Halle Open,6/19/2019,Herbert P.H.,Stakhovsky S.,1.34,3.26,2nd Round,2.0,1.0,2019
Halle Open,6/19/2019,Coric B.,Sousa J.,1.22,4.22,2nd Round,2.0,1.0,2019
Halle Open,6/20/2019,Berrettini M.,Seppi A.,1.25,3.89,2nd Round,2.0,1.0,2019
Halle Open,6/20/2019,Bautista Agut R.,Gasquet R.,1.55,2.44,2nd Round,2.0,0.0,2019
Halle Open,6/20/2019,Zverev A.,Johnson S.,1.49,2.62,2nd Round,2.0,0.0,2019
Halle Open,6/20/2019,Federer R.,Tsonga J.W.,1.17,4.97,2nd Round,2.0,1.0,2019
Halle Open,6/21/2019,Berrettini M.,Khachanov K.,1.65,2.24,Quarterfinals,2.0,0.0,2019
Halle Open,6/21/2019,Goffin D.,Zverev A.,2.38,1.58,Quarterfinals,2.0,1.0,2019
Halle Open,6/21/2019,Herbert P.H.,Coric B.,2.37,1.59,Quarterfinals,1.0,0.0,2019
Halle Open,6/21/2019,Federer R.,Bautista Agut R.,1.16,5.29,Quarterfinals,2.0,1.0,2019
Halle Open,6/22/2019,Goffin D.,Berrettini M.,2.26,1.64,Semifinals,2.0,0.0,2019
Halle Open,6/22/2019,Federer R.,Herbert P.H.,1.08,8.24,Semifinals,2.0,0.0,2019
Halle Open,6/23/2019,Federer R.,Goffin D.,1.15,5.54,The Final,2.0,0.0,2019
Queen's Club Championships,6/17/2019,Medvedev D.,Verdasco F.,1.39,2.98,1st Round,2.0,0.0,2019
Queen's Club Championships,6/17/2019,Schwartzman D.,Bublik A.,2.25,1.64,1st Round,2.0,0.0,2019
Queen's Club Championships,6/17/2019,Cilic M.,Garin C.,1.3,3.52,1st Round,2.0,0.0,2019
Queen's Club Championships,6/17/2019,Mahut N.,Tiafoe F.,2.15,1.7,1st Round,2.0,0.0,2019
Queen's Club Championships,6/17/2019,Anderson K.,Norrie C.,1.36,3.15,1st Round,2.0,1.0,2019
Queen's Club Championships,6/17/2019,Simon G.,Ward J.,1.48,2.64,1st Round,2.0,1.0,2019
Queen's Club Championships,6/19/2019,Chardy J.,Kukushkin M.,1.6,2.32,1st Round,2.0,0.0,2019
Queen's Club Championships,6/19/2019,Del Potro J.M.,Shapovalov D.,1.39,2.96,1st Round,2.0,0.0,2019
Queen's Club Championships,6/19/2019,Lopez F.,Fucsovics M.,1.66,2.21,1st Round,2.0,1.0,2019
Queen's Club Championships,6/19/2019,Bedene A.,De Minaur A.,2.52,1.52,1st Round,2.0,1.0,2019
Queen's Club Championships,6/19/2019,Wawrinka S.,Evans D.,1.7,2.15,1st Round,2.0,0.0,2019
Queen's Club Championships,6/19/2019,Pouille L.,Clarke J.,1.15,5.5,1st Round,2.0,0.0,2019
Queen's Club Championships,6/19/2019,Raonic M.,Cecchinato M.,1.16,5.17,1st Round,2.0,0.0,2019
Queen's Club Championships,6/20/2019,Tsitsipas S.,Edmund K.,1.36,3.14,1st Round,2.0,0.0,2019
Queen's Club Championships,6/20/2019,Kyrgios N.,Carballes Baena R.,1.19,4.62,1st Round,2.0,0.0,2019
Queen's Club Championships,6/20/2019,Auger-Aliassime F.,Dimitrov G.,2.4,1.57,1st Round,2.0,0.0,2019
Queen's Club Championships,6/20/2019,Lopez F.,Del Potro J.M.,3.33,1.32,2nd Round,,,2019
Queen's Club Championships,6/20/2019,Schwartzman D.,Cilic M.,4.79,1.18,2nd Round,2.0,0.0,2019
Queen's Club Championships,6/20/2019,Simon G.,Anderson K.,3.22,1.34,2nd Round,2.0,1.0,2019
Queen's Club Championships,6/20/2019,Mahut N.,Wawrinka S.,2.94,1.4,2nd Round,2.0,1.0,2019
Queen's Club Championships,6/20/2019,Medvedev D.,Pouille L.,1.48,2.65,2nd Round,2.0,1.0,2019
Queen's Club Championships,6/20/2019,Raonic M.,Bedene A.,1.18,4.76,2nd Round,2.0,0.0,2019
Queen's Club Championships,6/20/2019,Tsitsipas S.,Chardy J.,1.28,3.65,2nd Round,2.0,1.0,2019
Queen's Club Championships,6/20/2019,Auger-Aliassime F.,Kyrgios N.,1.86,1.94,2nd Round,2.0,1.0,2019
Queen's Club Championships,6/21/2019,Medvedev D.,Schwartzman D.,1.26,3.82,Quarterfinals,2.0,0.0,2019
Queen's Club Championships,6/21/2019,Simon G.,Mahut N.,1.66,2.22,Quarterfinals,2.0,1.0,2019
Queen's Club Championships,6/21/2019,Auger-Aliassime F.,Tsitsipas S.,2.3,1.62,Quarterfinals,2.0,0.0,2019
Queen's Club Championships,6/21/2019,Lopez F.,Raonic M.,3.24,1.34,Quarterfinals,2.0,1.0,2019
Queen's Club Championships,6/22/2019,Simon G.,Medvedev D.,4.52,1.2,Semifinals,2.0,1.0,2019
Queen's Club Championships,6/22/2019,Lopez F.,Auger-Aliassime F.,2.75,1.45,Semifinals,2.0,1.0,2019
Queen's Club Championships,6/23/2019,Lopez F.,Simon G.,1.56,2.43,The Final,2.0,1.0,2019
Antalya Open,6/23/2019,Kecmanovic M.,Munar J.,1.65,2.22,1st Round,2.0,0.0,2019
Antalya Open,6/23/2019,Sonego L.,Sousa J.,2.53,1.51,1st Round,2.0,0.0,2019
Antalya Open,6/24/2019,Dzumhur D.,Ebden M.,2.41,1.56,1st Round,2.0,0.0,2019
Antalya Open,6/24/2019,Gunneswaran P.,Tipsarevic J.,2.38,1.57,1st Round,2.0,0.0,2019
Antalya Open,6/24/2019,Klahn B.,Darcis S.,2.63,1.48,1st Round,2.0,0.0,2019
Antalya Open,6/24/2019,Carballes Baena R.,Aragone J.C.,1.56,2.41,1st Round,2.0,0.0,2019
Antalya Open,6/24/2019,Humbert U.,Delbonis F.,1.38,3.02,1st Round,2.0,0.0,2019
Antalya Open,6/24/2019,Celikbilek A.,Gulbis E.,5.03,1.17,1st Round,2.0,1.0,2019
Antalya Open,6/24/2019,Troicki V.,Kovalik J.,1.3,3.52,1st Round,2.0,0.0,2019
Antalya Open,6/24/2019,Tomic B.,Seppi A.,2.43,1.55,1st Round,2.0,1.0,2019
Antalya Open,6/24/2019,Gojowczyk P.,Kirkin E.,1.17,5.09,1st Round,2.0,1.0,2019
Antalya Open,6/25/2019,Krawietz K.,Ilkel C.,1.83,1.97,1st Round,2.0,0.0,2019
Antalya Open,6/25/2019,Thompson J.,Klahn B.,1.29,3.57,2nd Round,2.0,0.0,2019
Antalya Open,6/25/2019,Dzumhur D.,Celikbilek A.,1.12,6.22,2nd Round,2.0,1.0,2019
Antalya Open,6/25/2019,Sonego L.,Gunneswaran P.,1.5,2.57,2nd Round,2.0,1.0,2019
Antalya Open,6/25/2019,Mannarino A.,Carballes Baena R.,1.31,3.4,2nd Round,2.0,1.0,2019
Antalya Open,6/26/2019,Troicki V.,Paire B.,2.3,1.61,2nd Round,2.0,0.0,2019
Antalya Open,6/26/2019,Kecmanovic M.,Humbert U.,1.79,2.02,2nd Round,2.0,0.0,2019
Antalya Open,6/26/2019,Tomic B.,Gojowczyk P.,1.6,2.33,2nd Round,2.0,0.0,2019
Antalya Open,6/26/2019,Carreno Busta P.,Krawietz K.,1.5,2.57,2nd Round,2.0,0.0,2019
Antalya Open,6/27/2019,Kecmanovic M.,Troicki V.,1.67,2.19,Quarterfinals,2.0,0.0,2019
Antalya Open,6/27/2019,Thompson J.,Dzumhur D.,1.42,2.9,Quarterfinals,1.0,0.0,2019
Antalya Open,6/27/2019,Sonego L.,Mannarino A.,2.71,1.46,Quarterfinals,2.0,1.0,2019
Antalya Open,6/27/2019,Carreno Busta P.,Tomic B.,2.47,1.54,Quarterfinals,2.0,1.0,2019
Antalya Open,6/28/2019,Kecmanovic M.,Thompson J.,2.28,1.63,Semifinals,2.0,1.0,2019
Antalya Open,6/29/2019,Sonego L.,Carreno Busta P.,1.7,2.16,Semifinals,2.0,0.0,2019
Antalya Open,6/29/2019,Sonego L.,Kecmanovic M.,1.8,2.01,The Final,2.0,1.0,2019
Eastbourne International,6/24/2019,Hurkacz H.,Cecchinato M.,1.45,2.73,1st Round,2.0,0.0,2019
Eastbourne International,6/24/2019,Verdasco F.,Millman J.,1.97,1.83,1st Round,2.0,1.0,2019
Eastbourne International,6/24/2019,Querrey S.,Kukushkin M.,1.73,2.09,1st Round,2.0,0.0,2019
Eastbourne International,6/24/2019,Johnson S.,Opelka R.,1.55,2.45,1st Round,2.0,0.0,2019
Eastbourne International,6/24/2019,Fritz T.,Jubb P.,1.34,3.27,1st Round,2.0,0.0,2019
Eastbourne International,6/25/2019,Londero J.I.,Clarke J.,1.48,2.67,1st Round,2.0,1.0,2019
Eastbourne International,6/25/2019,Evans D.,Albot R.,1.51,2.55,1st Round,2.0,0.0,2019
Eastbourne International,6/25/2019,Jarry N.,Cuevas P.,1.51,2.55,1st Round,2.0,0.0,2019
Eastbourne International,6/25/2019,Norrie C.,Chardy J.,2.85,1.42,1st Round,2.0,0.0,2019
Eastbourne International,6/25/2019,Fabbiano T.,Ward J.,2.18,1.68,1st Round,2.0,1.0,2019
Eastbourne International,6/25/2019,Herbert P.H.,Kudla D.,1.53,2.49,1st Round,2.0,1.0,2019
Eastbourne International,6/25/2019,Simon G.,Sandgren T.,1.58,2.36,1st Round,2.0,0.0,2019
Eastbourne International,6/26/2019,Fritz T.,Pella G.,1.34,3.24,2nd Round,2.0,1.0,2019
Eastbourne International,6/26/2019,Hurkacz H.,Johnson S.,2.35,1.59,2nd Round,2.0,0.0,2019
Eastbourne International,6/26/2019,Verdasco F.,Londero J.I.,1.27,3.73,2nd Round,2.0,1.0,2019
Eastbourne International,6/26/2019,Querrey S.,Lajovic D.,1.3,3.49,2nd Round,2.0,0.0,2019
Eastbourne International,6/26/2019,Fabbiano T.,Djere L.,1.67,2.19,2nd Round,2.0,0.0,2019
Eastbourne International,6/26/2019,Evans D.,Herbert P.H.,1.62,2.28,2nd Round,2.0,0.0,2019
Eastbourne International,6/26/2019,Simon G.,Jarry N.,1.72,2.1,2nd Round,2.0,0.0,2019
Eastbourne International,6/26/2019,Edmund K.,Norrie C.,1.54,2.45,2nd Round,2.0,0.0,2019
Eastbourne International,6/27/2019,Querrey S.,Verdasco F.,1.47,2.68,Quarterfinals,2.0,0.0,2019
Eastbourne International,6/27/2019,Fabbiano T.,Simon G.,4.25,1.22,Quarterfinals,2.0,0.0,2019
Eastbourne International,6/27/2019,Fritz T.,Hurkacz H.,1.68,2.19,Quarterfinals,2.0,0.0,2019
Eastbourne International,6/27/2019,Edmund K.,Evans D.,1.79,2.03,Quarterfinals,2.0,1.0,2019
Eastbourne International,6/28/2019,Querrey S.,Fabbiano T.,1.24,4.09,Semifinals,2.0,1.0,2019
Eastbourne International,6/28/2019,Fritz T.,Edmund K.,2.56,1.51,Semifinals,2.0,0.0,2019
Eastbourne International,6/29/2019,Fritz T.,Querrey S.,2.32,1.61,The Final,2.0,0.0,2019
Wimbledon,7/1/2019,Tipsarevic J.,Nishioka Y.,2.13,1.73,1st Round,3.0,2.0,2019
Wimbledon,7/1/2019,Anderson K.,Herbert P.H.,1.35,3.22,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Lopez F.,Giron M.,1.24,4.1,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Bautista Agut R.,Gojowczyk P.,1.05,9.92,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Opelka R.,Stebe C.M.,1.14,5.92,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Wawrinka S.,Bemelmans R.,1.15,5.47,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Mayer L.,Gulbis E.,1.89,1.92,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Khachanov K.,Kwon S.W.,1.28,3.73,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Darcis S.,Zverev M.,1.65,2.24,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Kudla D.,Jaziri M.,1.14,5.74,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Seppi A.,Jarry N.,1.97,1.84,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Auger-Aliassime F.,Pospisil V.,1.05,10.14,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Djokovic N.,Kohlschreiber P.,1.02,14.68,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Haase R.,Kovalik J.,1.25,3.99,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Fabbiano T.,Tsitsipas S.,6.98,1.1,1st Round,3.0,2.0,2019
Wimbledon,7/1/2019,Pella G.,Copil M.,1.98,1.83,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Cuevas P.,Dzumhur D.,1.85,1.96,1st Round,3.0,2.0,2019
Wimbledon,7/1/2019,Karlovic I.,Arnaboldi A.,1.24,4.05,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Popyrin A.,Carreno Busta P.,1.61,2.32,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Vesely J.,Zverev A.,4.37,1.22,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Hurkacz H.,Lajovic D.,1.32,3.36,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Verdasco F.,Majchrzak K.,1.96,1.86,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Medvedev D.,Lorenzi P.,1.01,19.37,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Paire B.,Londero J.I.,1.28,3.73,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Humbert U.,Monfils G.,3.44,1.32,1st Round,2.0,2.0,2019
Wimbledon,7/1/2019,Chardy J.,Klizan M.,1.27,3.77,1st Round,3.0,1.0,2019
Wimbledon,7/1/2019,Raonic M.,Gunneswaran P.,1.04,11.85,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Moutet C.,Dimitrov G.,4.56,1.2,1st Round,3.0,2.0,2019
Wimbledon,7/1/2019,Edmund K.,Munar J.,1.12,6.51,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Granollers M.,Sonego L.,2.18,1.69,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Goffin D.,Klahn B.,1.03,12.34,1st Round,3.0,0.0,2019
Wimbledon,7/1/2019,Kecmanovic M.,Carballes Baena R.,1.44,2.79,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,De Minaur A.,Cecchinato M.,1.18,4.94,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Evans D.,Delbonis F.,1.07,8.98,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Nishikori K.,Monteiro T.,1.05,10.21,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Basilashvili N.,Ward J.,1.61,2.34,1st Round,3.0,2.0,2019
Wimbledon,7/2/2019,Johnson S.,Ramos-Vinolas A.,1.17,5.15,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Kyrgios N.,Thompson J.,1.38,3.05,1st Round,3.0,2.0,2019
Wimbledon,7/2/2019,Baghdatis M.,Schnur B.,1.7,2.16,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Berrettini M.,Bedene A.,1.17,5.15,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Querrey S.,Thiem D.,2.23,1.66,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Simon G.,Caruso S.,1.26,3.85,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Norrie C.,Istomin D.,1.5,2.59,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Rublev A.,Garin C.,2.58,1.51,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Koepfer D.,Krajinovic F.,2.13,1.72,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Clarke J.,Rubin N.,2.58,1.5,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Federer R.,Harris L.,1.01,20.67,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Sandgren T.,Uchiyama Y.,1.72,2.14,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Tsonga J.W.,Tomic B.,1.19,4.72,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Struff J.L.,Albot R.,1.29,3.62,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Fritz T.,Berdych T.,1.42,2.9,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Schwartzman D.,Ebden M.,1.46,2.72,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Berankis R.,Shapovalov D.,6.79,1.11,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Nadal R.,Sugita Y.,1.03,13.52,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Millman J.,Dellien H.,1.06,9.17,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Fognini F.,Tiafoe F.,1.76,2.07,1st Round,3.0,2.0,2019
Wimbledon,7/2/2019,Kukushkin M.,Andujar P.,1.18,4.92,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Barrere G.,Bublik A.,2.11,1.73,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Djere L.,Andreozzi G.,1.32,3.44,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Cilic M.,Mannarino A.,1.3,3.53,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Fucsovics M.,Novak D.,1.78,2.04,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Isner J.,Ruud C.,1.26,3.9,1st Round,3.0,0.0,2019
Wimbledon,7/2/2019,Sousa J.,Jubb P.,1.25,3.96,1st Round,3.0,1.0,2019
Wimbledon,7/2/2019,Pouille L.,Gasquet R.,1.64,2.26,1st Round,3.0,0.0,2019
Wimbledon,7/3/2019,Vesely J.,Cuevas P.,1.29,3.67,2nd Round,3.0,1.0,2019
Wimbledon,7/3/2019,Paire B.,Kecmanovic M.,1.7,2.16,2nd Round,2.0,0.0,2019
Wimbledon,7/3/2019,Opelka R.,Wawrinka S.,4.23,1.23,2nd Round,3.0,2.0,2019
Wimbledon,7/3/2019,Fabbiano T.,Karlovic I.,1.9,1.91,2nd Round,3.0,2.0,2019
Wimbledon,7/3/2019,Medvedev D.,Popyrin A.,1.22,4.36,2nd Round,3.0,1.0,2019
Wimbledon,7/3/2019,Goffin D.,Chardy J.,1.3,3.54,2nd Round,3.0,0.0,2019
Wimbledon,7/3/2019,Hurkacz H.,Mayer L.,1.42,2.87,2nd Round,3.0,1.0,2019
Wimbledon,7/3/2019,Raonic M.,Haase R.,1.09,7.43,2nd Round,3.0,0.0,2019
Wimbledon,7/3/2019,Bautista Agut R.,Darcis S.,1.04,10.98,2nd Round,2.0,0.0,2019
Wimbledon,7/3/2019,Verdasco F.,Edmund K.,2.44,1.56,2nd Round,3.0,2.0,2019
Wimbledon,7/3/2019,Khachanov K.,Lopez F.,1.78,2.04,2nd Round,3.0,1.0,2019
Wimbledon,7/3/2019,Pella G.,Seppi A.,2.61,1.5,2nd Round,3.0,2.0,2019
Wimbledon,7/3/2019,Humbert U.,Granollers M.,2.2,1.67,2nd Round,3.0,0.0,2019
Wimbledon,7/3/2019,Auger-Aliassime F.,Moutet C.,1.16,5.4,2nd Round,3.0,1.0,2019
Wimbledon,7/3/2019,Anderson K.,Tipsarevic J.,1.06,9.15,2nd Round,3.0,1.0,2019
Wimbledon,7/3/2019,Djokovic N.,Kudla D.,1.01,22.28,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Johnson S.,De Minaur A.,2.41,1.58,2nd Round,3.0,2.0,2019
Wimbledon,7/4/2019,Millman J.,Djere L.,1.3,3.55,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Querrey S.,Rublev A.,1.18,4.89,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Struff J.L.,Fritz T.,2.18,1.69,2nd Round,3.0,1.0,2019
Wimbledon,7/4/2019,Evans D.,Basilashvili N.,1.27,3.86,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Kukushkin M.,Isner J.,4.17,1.23,2nd Round,3.0,2.0,2019
Wimbledon,7/4/2019,Nishikori K.,Norrie C.,1.15,5.6,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Sousa J.,Cilic M.,6.58,1.11,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Tsonga J.W.,Berankis R.,1.09,7.58,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Federer R.,Clarke J.,1.01,23.36,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Pouille L.,Barrere G.,1.16,5.37,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Sandgren T.,Simon G.,4.56,1.21,2nd Round,3.0,2.0,2019
Wimbledon,7/4/2019,Fognini F.,Fucsovics M.,1.72,2.13,2nd Round,3.0,2.0,2019
Wimbledon,7/4/2019,Nadal R.,Kyrgios N.,1.25,3.98,2nd Round,3.0,1.0,2019
Wimbledon,7/4/2019,Berrettini M.,Baghdatis M.,1.12,6.48,2nd Round,3.0,0.0,2019
Wimbledon,7/4/2019,Schwartzman D.,Koepfer D.,1.39,3.0,2nd Round,3.0,0.0,2019
Wimbledon,7/5/2019,Raonic M.,Opelka R.,1.33,3.34,3rd Round,3.0,0.0,2019
Wimbledon,7/5/2019,Paire B.,Vesely J.,1.81,2.01,3rd Round,3.0,1.0,2019
Wimbledon,7/5/2019,Bautista Agut R.,Khachanov K.,1.5,2.61,3rd Round,3.0,0.0,2019
Wimbledon,7/5/2019,Pella G.,Anderson K.,6.2,1.13,3rd Round,3.0,0.0,2019
Wimbledon,7/5/2019,Goffin D.,Medvedev D.,1.89,1.92,3rd Round,3.0,2.0,2019
Wimbledon,7/5/2019,Djokovic N.,Hurkacz H.,1.01,20.14,3rd Round,3.0,1.0,2019
Wimbledon,7/5/2019,Verdasco F.,Fabbiano T.,1.57,2.42,3rd Round,3.0,0.0,2019
Wimbledon,7/5/2019,Humbert U.,Auger-Aliassime F.,4.11,1.24,3rd Round,3.0,0.0,2019
Wimbledon,7/6/2019,Nishikori K.,Johnson S.,1.21,4.41,3rd Round,3.0,0.0,2019
Wimbledon,7/6/2019,Querrey S.,Millman J.,1.26,3.91,3rd Round,3.0,0.0,2019
Wimbledon,7/6/2019,Sandgren T.,Fognini F.,3.51,1.31,3rd Round,3.0,0.0,2019
Wimbledon,7/6/2019,Kukushkin M.,Struff J.L.,4.18,1.23,3rd Round,3.0,1.0,2019
Wimbledon,7/6/2019,Berrettini M.,Schwartzman D.,1.32,3.4,3rd Round,3.0,2.0,2019
Wimbledon,7/6/2019,Nadal R.,Tsonga J.W.,1.17,5.12,3rd Round,3.0,0.0,2019
Wimbledon,7/6/2019,Federer R.,Pouille L.,1.07,8.59,3rd Round,3.0,0.0,2019
Wimbledon,7/6/2019,Sousa J.,Evans D.,3.04,1.39,3rd Round,3.0,2.0,2019
Wimbledon,7/8/2019,Goffin D.,Verdasco F.,1.31,3.52,4th Round,3.0,1.0,2019
Wimbledon,7/8/2019,Nadal R.,Sousa J.,1.02,16.23,4th Round,3.0,0.0,2019
Wimbledon,7/8/2019,Bautista Agut R.,Paire B.,1.21,4.43,4th Round,3.0,0.0,2019
Wimbledon,7/8/2019,Querrey S.,Sandgren T.,1.16,5.36,4th Round,3.0,1.0,2019
Wimbledon,7/8/2019,Djokovic N.,Humbert U.,1.02,17.58,4th Round,3.0,0.0,2019
Wimbledon,7/8/2019,Pella G.,Raonic M.,5.17,1.17,4th Round,3.0,2.0,2019
Wimbledon,7/8/2019,Nishikori K.,Kukushkin M.,1.11,6.91,4th Round,3.0,1.0,2019
Wimbledon,7/8/2019,Federer R.,Berrettini M.,1.1,7.27,4th Round,3.0,0.0,2019
Wimbledon,7/10/2019,Djokovic N.,Goffin D.,1.07,9.4,Quarterfinals,3.0,0.0,2019
