name,hand,date_of_birth,country,height
Shapovalov D.,L,19990415,CAN,185
Shi B.,R,20000224,USA,177
Shyla Y.,R,19930305,BLR,177
Si Y.M.,U,19790824,MAS,177
Sidorenko A.,R,19880218,FRA,177
Sijsling I.,R,19870818,NED,190
Silva F.,L,19950318,POR,177
Silva F.F.,L,19950318,POR,177
Silva J.,R,19671127,POR,173
Simmonds P.,R,19860518,USA,177
Simon G.,R,19841227,FRA,183
Simonsson F.,R,19941127,SWE,177
Singh S.,R,19880111,IND,173
Sinner J.,R,20010816,ITA,188
Siriluethaiwattana P.,L,19890816,THA,177
Sitak A.,R,19860208,NZL,185
Skatov T.,R,20010121,RUS,177
Skugor F.,R,19870920,CRO,193
Slabinsky A.,R,19860306,GBR,185
Smethurst D.,U,19901013,GBR,177
Smith A.,U,19931125,USA,177
Smith J.P.,R,19550129,GBR,188
Smyczek T.,R,19871230,USA,175
Sock J.,R,19920924,USA,185
Soderling R.,R,19840814,SWE,193
Soderlund C.,R,19970603,SWE,177
Soeda G.,R,19840905,JPN,178
Sonego L.,R,19950511,ITA,191
Sorensen L.,R,19850107,IRL,175
Sousa J.,R,19890330,POR,185
Sousa P.,R,19880527,POR,180
Souza J.,R,19880527,BRA,193
Spadea V.,R,19740719,USA,183
Stadler S.,L,19830720,GER,183
Stakhovsky S.,R,19860106,UKR,193
Starace P.,R,19810714,ITA,188
Statham J.,R,19870425,NZL,183
Stebe C.M.,L,19901009,GER,183
Stepanek R.,R,19781127,CZE,185
Stricker D.,U,20020816,SUI,177
Strode B.,R,19870709,USA,188
Struff J.L.,R,19900425,GER,193
Struvay E.,R,19901217,COL,177
Sugita Y.,R,19880918,JPN,173
Svajda Z.,R,20021129,USA,177
Sweeny D.,R,20010212,AUS,177
Sweeting R.,R,19870714,USA,196
Taberner C.,R,19970808,ESP,177
Tabilo A.,L,19970602,CHI,177
Takahashi Y.,U,19700429,JPN,177
Takeuchi K.,L,19871219,JPN,177
Tavares L.,R,19490926,BRA,177
Tearney F.,R,19900927,NZL,183
Teixeira M.,R,19890118,FRA,177
Tepavac M.,R,19940405,SRB,177
Thiem D.,R,19930903,AUT,185
Thompson C.,R,19920504,USA,177
Thompson J.,R,nan,USA,177
Tiafoe F.,R,19980120,USA,188
Tipsarevic J.,R,19840622,SRB,180
Tirante T.A.,R,20010410,ARG,177
Tiurnev E.,R,19970408,RUS,177
Tomic B.,R,19921021,AUS,193
Topic J.,U,19831208,CRO,177
Topo M.,U,20030913,SRB,177
Torebko P.,R,19880210,GER,177
Torpegaard M.,R,19940508,DEN,177
Travaglia S.,R,19911218,ITA,185
Trevisan M.,R,19890813,ITA,177
Trinker B.,R,19900511,AUT,177
Troicki V.,R,19860210,SRB,193
Trongcharoenchaikul W.,R,19950408,THA,177
Trungelliti M.,R,19900131,ARG,177
Trusendi W.,U,19850103,ITA,177
Tseng C.H.,R,20010808,TPE,177
Tsitsipas P.,U,20000727,GRE,177
Tsitsipas S.,R,19980812,GRE,193
Tsonga J.W.,R,19850417,FRA,188
Tu L.,R,19960527,AUS,177
Tursunov D.,R,19821212,RUS,185
Tiurnev E.,R,19970408,RUS,177
Uchiyama Y.,R,19920805,JPN,183
Udomchoke D.,R,19810811,THA,173
Ungur A.,R,19850125,ROU,178
Vagnozzi S.,R,19830530,ITA,173
Vaisse M.,U,19870811,FRA,177
Valkusz M.,R,19980813,HUN,177
Van D. Merwe I.,R,19840126,RSA,196
Van De Zandschulp B.,U,19830225,NED,177
Van Der Merwe I.,R,19840126,RSA,196
Van Rijthoven T.,R,19750927,BEL,177
Vanni L.,R,19850604,ITA,177
Vardhan V.,R,19870727,IND,188
Varillas J.P.,R,19951006,PER,177
Vasilevski A.,R,19910528,BLR,185
Vassallo-Arguello M.,R,19800210,ARG,183
Vatutin A.,R,19921027,RUS,177
Vega Hernandez D.,R,19940623,ESP,177
Veger F.,R,19941221,CRO,177
Veic A.,R,19880218,CRO,180
Velotti A.,R,19920524,ARG,177
Ventura S.,R,19800105,ESP,183
Venus M.,R,19871016,NZL,191
Verdasco F.,L,19831115,ESP,188
Vesely J.,L,19930710,CZE,198
Vilella Martinez M.,R,19950703,ESP,177
Vinciguerra A.,L,19810219,SWE,180
Viola M.,R,19831028,ITA,177
Viola Mat.,R,19831028,ITA,177
Vliegen K.,R,19820622,BEL,193
Volandri F.,R,19810905,ITA,183
Vrbensky M.,R,19991226,CZE,177
Vukic A.,R,19960406,AUS,177
Wachiramanowong K.,R,19900625,THA,183
Walter L.,U,19830104,FRA,177
Wang C.,R,19920224,CHN,188
Wang J.,R,19850208,TPE,178
Ward A.,U,19900430,GBR,177
Ward J.,R,19490728,USA,177
Watanuki Y.,R,19900520,JPN,177
Wawrinka S.,R,19850328,SUI,183
Weintraub A.,R,19860916,ISR,188
Wessels L.,R,19980827,GER,177
Westerhof B.,R,19851024,NED,177
Whittington A.,R,19930811,AUS,177
Williams R.,R,19910322,USA,177
Willis M.,L,19901009,GBR,177
Witten J.,R,19821015,USA,178
Wolf J.J.,R,nan,USA,177
Wolmarans F.,R,19860307,RSA,177
Wu D.,R,19910914,CHN,175
Wu T.L.,R,19980512,TPE,177
Wu Y.,U,19940508,CHN,177
Yang T.H.,R,19910329,TPE,178
Yani M.,R,19801231,USA,185
Ymer E.,R,19960410,SWE,183
Ymer M.,R,19980909,SWE,183
Young D.,L,19890723,USA,183
Youzhny M.,R,19820625,RUS,183
Yuksel A.,L,19900519,TUR,177
Zampieri C.,R,19860527,BRA,183
Zapata Miralles B.,U,19690630,COL,177
Zayed M.S.,U,19940309,QAT,177
Zayid M.,U,19950414,QAT,177
Zayid M.S.,U,19950414,QAT,177
Zeballos H.,L,19850427,ARG,188
Zekic M.,R,19880712,SRB,177
Zemlja G.,R,19860929,SLO,183
Zeppieri G.,L,20011207,ITA,177
Zhang Z.,R,19900704,CHN,188
Zhang Ze,R,19900704,CHN,188
Zhang Ze.,R,19900704,CHN,188
Zhang Zh.,R,19900704,CHN,188
Ziadi M.,R,19860920,MAR,177
Zopp J.,R,19880329,EST,190
Zuk K.,R,19990121,POL,177
Zverev A.,R,19970420,GER,198
Zverev M.,L,19870822,GER,190
