Player1,Player2
Cecchinato M.,Pella G.
Schwartzman D.,Thiem D.
Cecchinato M.,Schwartzman D.
Tomic B.,Lacko L.
Lorenzi P.,Sandgren T.
Thompson J.,Rubin N.
Eubanks C.,Menendez-Maceiras A.
Opelka R.,Mannarino A.
Jung J.,Ramanathan R.
Garcia-Lopez G.,Popyrin A.
Harrison R.,Polansky P.
Schnur B.,Lin J.M.
Querrey S.,Harris L.
Istomin D.,Mcdonald M.
Albot R.,Karlovic I.
Lorenzi P.,Harrison R.
Thompson J.,Eubanks C.
Isner J.,Tomic B.
Schnur B.,Johnson S.
Garcia-Lopez G.,Millman J.
Opelka R.,Istomin D.
Querrey S.,Albot R.
Jung J.,Tiafoe F.
Schnur B.,Lorenzi P.
Querrey S.,Jung J.
Opelka R.,Garcia-Lopez G.
Isner J.,Thompson J.
Schnur B.,Querrey S.
Opelka R.,Isner J.
Opelka R.,Schnur B.
Seppi A.,Gojowczyk P.
Kukushkin M.,Haase R.
Wawrinka S.,Paire B.
Basilashvili N.,Chung H.
Gulbis E.,Copil M.
Raonic M.,Kohlschreiber P.
Verdasco F.,Ebden M.
Shapovalov D.,Skugor F.
Berdych T.,Simon G.
Monfils G.,Goffin D.
Nishikori K.,Herbert P.H.
Griekspoor T.,Khachanov K.
Fucsovics M.,Klizan M.
Medvedev D.,Chardy J.
Tsonga J.W.,Fabbiano T.
Dzumhur D.,Tsitsipas S.
Monfils G.,Seppi A.
Wawrinka S.,Raonic M.
Shapovalov D.,Berdych T.
Dzumhur D.,Kukushkin M.
Medvedev D.,Verdasco F.
Tsonga J.W.,Griekspoor T.
Nishikori K.,Gulbis E.
Fucsovics M.,Basilashvili N.
Monfils G.,Dzumhur D.
Medvedev D.,Tsonga J.W.
Wawrinka S.,Shapovalov D.
Nishikori K.,Fucsovics M.
Monfils G.,Medvedev D.
Wawrinka S.,Nishikori K.
Monfils G.,Wawrinka S.
Lacko L.,Watanuki Y.
Istomin D.,Lopez F.
Harris L.,King D.
Kyrgios N.,Millman J.
Albot R.,Karlovic I.
Garcia-Lopez G.,Donaldson J.
Mcdonald M.,Fritz T.
Johnson S.,Jung J.
Thompson J.,Granollers M.
Lorenzi P.,Smyczek T.
Seppi A.,Tomic B.
Isner J.,Polansky P.
Mannarino A.,Schnur B.
Opelka R.,Sandgren T.
Evans D.,Tiafoe F.
Del Potro J.M.,Nishioka Y.
Seppi A.,Thompson J.
Mannarino A.,Istomin D.
Evans D.,Harris L.
Isner J.,Lacko L.
Johnson S.,Lorenzi P.
Albot R.,Kyrgios N.
Mcdonald M.,Garcia-Lopez G.
Del Potro J.M.,Opelka R.
Evans D.,Seppi A.
Isner J.,Mannarino A.
Albot R.,Johnson S.
Mcdonald M.,Del Potro J.M.
Evans D.,Isner J.
Albot R.,Mcdonald M.
Albot R.,Evans D.
Hurkacz H.,Krajinovic F.
Simon G.,Hoang A.
Kukushkin M.,Kudla D.
Gojowczyk P.,Dzumhur D.
Stakhovsky S.,Lestienne C.
Paire B.,Bolelli S.
Verdasco F.,Gerasimov E.
Rublev A.,Tsonga J.W.
Berrettini M.,Chardy J.
Bachinger M.,Darcis S.
Barrere G.,Vesely J.
Humbert U.,Gulbis E.
Kukushkin M.,Shapovalov D.
Tsitsipas S.,Hurkacz H.
Simon G.,Gojowczyk P.
Rublev A.,Berrettini M.
Bachinger M.,Verdasco F.
Humbert U.,Coric B.
Goffin D.,Paire B.
Stakhovsky S.,Barrere G.
Kukushkin M.,Rublev A.
Humbert U.,Bachinger M.
Tsitsipas S.,Stakhovsky S.
Goffin D.,Simon G.
Kukushkin M.,Humbert U.
Tsitsipas S.,Goffin D.
Tsitsipas S.,Kukushkin M.
Norrie C.,Lajovic D.
Munar J.,Mayer L.
Sousa J.,Pella G.
Ruud C.,Berlocq C.
Dellien H.,Andreozzi G.
Delbonis F.,Jaziri M.
Ramos-Vinolas A.,Sonego L.
Carballes Baena R.,Jarry N.
Bedene A.,Cecchinato M.
Garin C.,Marterer M.
Monteiro T.,Sousa P.
Auger-Aliassime F.,Fognini F.
Londero J.I.,Ymer E.
Djere L.,Thiem D.
Cuevas P.,Schwartzman D.
Daniel T.,Seyboth Wild T.
Munar J.,Norrie C.
Dellien H.,Carballes Baena R.
Bedene A.,Monteiro T.
Auger-Aliassime F.,Garin C.
Ramos-Vinolas A.,Delbonis F.
Djere L.,Daniel T.
Ruud C.,Sousa J.
Cuevas P.,Londero J.I.
Bedene A.,Dellien H.
Djere L.,Ruud C.
Auger-Aliassime F.,Munar J.
Cuevas P.,Ramos-Vinolas A.
Djere L.,Bedene A.
Auger-Aliassime F.,Cuevas P.
Djere L.,Auger-Aliassime F.
Johnson S.,Lopez Villasenor G.
Gojowczyk P.,Gaio F.
Millman J.,Granollers M.
Wawrinka S.,Harrison R.
Tiafoe F.,Thompson J.
Isner J.,Mannarino A.
Schwartzman D.,Copil M.
Norrie C.,Nishioka Y.
Kyrgios N.,Seppi A.
Zverev A.,Popyrin A.
Querrey S.,Garcia-Lopez G.
Nadal R.,Zverev M.
De Minaur A.,Jarry N.
Mcdonald M.,Nava E.
Lopez F.,Lajovic D.
Ferrer D.,Sandgren T.
Millman J.,Gojowczyk P.
Isner J.,Querrey S.
Mcdonald M.,Tiafoe F.
Wawrinka S.,Johnson S.
Norrie C.,Schwartzman D.
Kyrgios N.,Nadal R.
De Minaur A.,Lopez F.
Zverev A.,Ferrer D.
Norrie C.,Mcdonald M.
Zverev A.,De Minaur A.
Kyrgios N.,Wawrinka S.
Isner J.,Millman J.
Zverev A.,Norrie C.
Kyrgios N.,Isner J.
Kyrgios N.,Zverev A.
Fucsovics M.,Dzumhur D.
Verdasco F.,Fabbiano T.
Struff J.L.,Raonic M.
Basilashvili N.,Khachanov K.
Federer R.,Kohlschreiber P.
Bautista Agut R.,Ramanathan R.
Berankis R.,Medvedev D.
Kudla D.,Berrettini M.
Gerasimov E.,Haase R.
Nishikori K.,Paire B.
Hurkacz H.,Moutet C.
Baghdatis M.,Safwat M.
Berdych T.,Ivashka I.
Monfils G.,Cilic M.
Coric B.,Vesely J.
Tsitsipas S.,Ebden M.
Hurkacz H.,Nishikori K.
Berankis R.,Kudla D.
Basilashvili N.,Bautista Agut R.
Fucsovics M.,Struff J.L.
Monfils G.,Baghdatis M.
Tsitsipas S.,Gerasimov E.
Federer R.,Verdasco F.
Coric B.,Berdych T.
Monfils G.,Berankis R.
Tsitsipas S.,Hurkacz H.
Federer R.,Fucsovics M.
Coric B.,Basilashvili N.
Tsitsipas S.,Monfils G.
Federer R.,Coric B.
Federer R.,Tsitsipas S.
Garin C.,Sousa P.
Carballes Baena R.,Marterer M.
Trungelliti M.,Daniel T.
Sonego L.,Delbonis F.
Munar J.,Sakamoto P.
Londero J.I.,Lorenzi P.
Dellien H.,Martinez P.
Ramos-Vinolas A.,Bagnis F.
Seyboth Wild T.,Ymer E.
Ruud C.,Monteiro T.
Djere L.,Giannessi A.
Auger-Aliassime F.,Cuevas P.
Garin C.,Munar J.
Mayer L.,Sonego L.
Pella G.,Carballes Baena R.
Trungelliti M.,Seyboth Wild T.
Dellien H.,Londero J.I.
Ruud C.,Sousa J.
Auger-Aliassime F.,Ramos-Vinolas A.
Djere L.,Jaziri M.
Garin C.,Mayer L.
Ruud C.,Dellien H.
Pella G.,Trungelliti M.
Djere L.,Auger-Aliassime F.
Garin C.,Ruud C.
Pella G.,Djere L.
Pella G.,Garin C.
Auger-Aliassime F.,Norrie C.
Andreozzi G.,Ivashka I.
Klizan M.,Zverev M.
Ramos-Vinolas A.,Dzumhur D.
Karlovic I.,Ebden M.
Kohlschreiber P.,Herbert P.H.
Thompson J.,Delbonis F.
Querrey S.,Berrettini M.
Giron M.,Chardy J.
Nishioka Y.,Kudla D.
Fratangelo B.,Ymer E.
Marterer M.,Humbert U.
Gunneswaran P.,Paire B.
Jaziri M.,Klahn B.
Struff J.L.,Millman J.
Mayer L.,Opelka R.
Lopez F.,Berdych T.
Albot R.,Copil M.
Gojowczyk P.,Seppi A.
Hurkacz H.,Young D.
Bolt A.,Gulbis E.
Lajovic D.,Daniel T.
Popyrin A.,Munar J.
Wawrinka S.,Evans D.
Haase R.,Istomin D.
Johnson S.,Fritz T.
Krajinovic F.,Kukushkin M.
Donaldson J.,Ito T.
Mannarino A.,Sandgren T.
Mcdonald M.,Sousa J.
Carballes Baena R.,Harrison R.
Jarry N.,Tiafoe F.
Giron M.,De Minaur A.
Djere L.,Andreozzi G.
Kecmanovic M.,Marterer M.
Auger-Aliassime F.,Tsitsipas S.
Simon G.,Jaziri M.
Monfils G.,Mayer L.
Karlovic I.,Coric B.
Raonic M.,Querrey S.
Ramos-Vinolas A.,Cecchinato M.
Struff J.L.,Berankis R.
Kohlschreiber P.,Kyrgios N.
Gunneswaran P.,Basilashvili N.
Zverev A.,Klizan M.
Djokovic N.,Fratangelo B.
Nishioka Y.,Bautista Agut R.
Thiem D.,Thompson J.
Edmund K.,Jarry N.
Krajinovic F.,Goffin D.
Nishikori K.,Mannarino A.
Rublev A.,Haase R.
Medvedev D.,Mcdonald M.
Schwartzman D.,Carballes Baena R.
Federer R.,Gojowczyk P.
Cilic M.,Lajovic D.
Pella G.,Bolt A.
Albot R.,Fognini F.
Shapovalov D.,Johnson S.
Isner J.,Popyrin A.
Khachanov K.,Lopez F.
Wawrinka S.,Fucsovics M.
Nadal R.,Donaldson J.
Hurkacz H.,Pouille L.
Raonic M.,Giron M.
Karlovic I.,Gunneswaran P.
Struff J.L.,Zverev A.
Kecmanovic M.,Djere L.
Monfils G.,Ramos-Vinolas A.
Thiem D.,Simon G.
Nishioka Y.,Auger-Aliassime F.
Krajinovic F.,Medvedev D.
Hurkacz H.,Nishikori K.
Shapovalov D.,Cilic M.
Nadal R.,Schwartzman D.
Isner J.,Pella G.
Kohlschreiber P.,Djokovic N.
Khachanov K.,Rublev A.
Edmund K.,Albot R.
Federer R.,Wawrinka S.
Nadal R.,Krajinovic F.
Kecmanovic M.,Nishioka Y.
Hurkacz H.,Shapovalov D.
Raonic M.,Struff J.L.
Federer R.,Edmund K.
Khachanov K.,Isner J.
Thiem D.,Karlovic I.
Monfils G.,Kohlschreiber P.
Raonic M.,Kecmanovic M.
Thiem D.,Monfils G.
Federer R.,Hurkacz H.
Nadal R.,Khachanov K.
Thiem D.,Raonic M.
Federer R.,Nadal R.
Thiem D.,Federer R.
Delbonis F.,Gojowczyk P.
Carballes Baena R.,Kudla D.
Andreozzi G.,Kukushkin M.
Tipsarevic J.,Klahn B.
Zverev M.,Kuhn N.
Hurkacz H.,Berrettini M.
Haase R.,Lacko L.
Mayer L.,Ymer M.
Thompson J.,Norrie C.
Bublik A.,Sandgren T.
Lajovic D.,Cuevas P.
Sonego L.,Klizan M.
Chardy J.,Jarry N.
Dzumhur D.,Eubanks C.
Ivashka I.,Fabbiano T.
Ramos-Vinolas A.,Copil M.
Auger-Aliassime F.,Ruud C.
Marterer M.,Fritz T.
Albot R.,Ebden M.
Tomic B.,Monteiro T.
Rublev A.,Daniel T.
Lopez F.,Paire B.
Munar J.,Gunneswaran P.
Sousa J.,Tseng C.H.
Krajinovic F.,Herbert P.H.
Evans D.,Jaziri M.
Opelka R.,Struff J.L.
Andujar P.,Karlovic I.
Mannarino A.,Bedene A.
Kecmanovic M.,Gulbis E.
Mcdonald M.,Humbert U.
Ferrer D.,Querrey S.
Edmund K.,Ivashka I.
Chardy J.,Simon G.
Lajovic D.,Nishikori K.
Coric B.,Carballes Baena R.
Basilashvili N.,Zverev M.
Raonic M.,Marterer M.
Delbonis F.,Millman J.
Isner J.,Sonego L.
Auger-Aliassime F.,Fucsovics M.
Kyrgios N.,Bublik A.
Ramos-Vinolas A.,Pouille L.
Haase R.,Harris L.
Bautista Agut R.,Tipsarevic J.
Hurkacz H.,Thiem D.
Fognini F.,Andreozzi G.
Djokovic N.,Tomic B.
Mayer L.,Pella G.
Shapovalov D.,Evans D.
Sousa J.,Johnson S.
Krajinovic F.,Wawrinka S.
Thompson J.,Khachanov K.
Cecchinato M.,Dzumhur D.
Goffin D.,Andujar P.
Medvedev D.,Mannarino A.
Anderson K.,Munar J.
Dimitrov G.,Lopez F.
Rublev A.,Cilic M.
Opelka R.,Schwartzman D.
Federer R.,Albot R.
Tsitsipas S.,Mcdonald M.
Tiafoe F.,Kecmanovic M.
Ferrer D.,Zverev A.
Isner J.,Ramos-Vinolas A.
Bautista Agut R.,Fognini F.
Edmund K.,Raonic M.
Basilashvili N.,Haase R.
Auger-Aliassime F.,Hurkacz H.
Djokovic N.,Delbonis F.
Coric B.,Chardy J.
Kyrgios N.,Lajovic D.
Thompson J.,Dimitrov G.
Anderson K.,Sousa J.
Federer R.,Krajinovic F.
Medvedev D.,Opelka R.
Shapovalov D.,Rublev A.
Goffin D.,Cecchinato M.
Tiafoe F.,Ferrer D.
Tsitsipas S.,Mayer L.
Auger-Aliassime F.,Basilashvili N.
Isner J.,Edmund K.
Coric B.,Kyrgios N.
Bautista Agut R.,Djokovic N.
Anderson K.,Thompson J.
Tiafoe F.,Goffin D.
Shapovalov D.,Tsitsipas S.
Federer R.,Medvedev D.
Isner J.,Bautista Agut R.
Auger-Aliassime F.,Coric B.
Shapovalov D.,Tiafoe F.
Federer R.,Anderson K.
Isner J.,Auger-Aliassime F.
Federer R.,Shapovalov D.
Federer R.,Isner J.
Harrison R.,Karlovic I.
Ruud C.,Dellien H.
Garin C.,Cuevas P.
Granollers M.,Fritz T.
Tomic B.,Kudla D.
Galan D.E.,Lorenzi P.
Laaksonen H.,Mcdonald M.
Garcia-Lopez G.,Rubin N.
Giraldo S.,Klahn B.
Thompson J.,Krstin P.
Querrey S.,Fratangelo B.
Tipsarevic J.,Sandgren T.
Granollers M.,Tomic B.
Laaksonen H.,Harrison R.
Garin C.,Chardy J.
Ruud C.,Opelka R.
Tipsarevic J.,Norrie C.
Querrey S.,Garcia-Lopez G.
Galan D.E.,Johnson S.
Thompson J.,Giraldo S.
Garin C.,Laaksonen H.
Querrey S.,Tipsarevic J.
Ruud C.,Granollers M.
Galan D.E.,Thompson J.
Garin C.,Querrey S.
Ruud C.,Galan D.E.
Garin C.,Ruud C.
Andreozzi G.,Ramos-Vinolas A.
Simon G.,Kovalik J.
Edmund K.,Humbert U.
Daniel T.,Zverev M.
Tsonga J.W.,Stebe C.M.
Paire B.,Bedene A.
Herbert P.H.,Fabbiano T.
Menendez-Maceiras A.,Verdasco F.
Londero J.I.,Berlocq C.
Munar J.,Bagnis F.
Kohlschreiber P.,Davidovich Fokina A.
Sonego L.,Djere L.
Haase R.,Jaziri M.
Vesely J.,Fognini F.
Andujar P.,Delbonis F.
Zverev A.,Istomin D.
Sonego L.,Haase R.
Daniel T.,Menendez-Maceiras A.
Simon G.,Andreozzi G.
Tsonga J.W.,Edmund K.
Vesely J.,Londero J.I.
Andujar P.,Kohlschreiber P.
Paire B.,Herbert P.H.
Munar J.,Zverev A.
Simon G.,Daniel T.
Andujar P.,Vesely J.
Paire B.,Munar J.
Tsonga J.W.,Sonego L.
Andujar P.,Simon G.
Paire B.,Tsonga J.W.
Paire B.,Andujar P.
Coric B.,Hurkacz H.
Dimitrov G.,Berrettini M.
Pella G.,Djere L.
Wawrinka S.,Pouille L.
Fucsovics M.,Basilashvili N.
Bautista Agut R.,Millman J.
Lajovic D.,Jaziri M.
Medvedev D.,Sousa J.
Struff J.L.,Shapovalov D.
Kohlschreiber P.,Daniel T.
Kukushkin M.,Chardy J.
Cecchinato M.,Dzumhur D.
Goffin D.,Andreozzi G.
Fognini F.,Rublev A.
Munar J.,Catarina L.
Klizan M.,Delbonis F.
Albot R.,Bedene A.
Sonego L.,Seppi A.
Schwartzman D.,Edmund K.
Auger-Aliassime F.,Londero J.I.
Norrie C.,Mannarino A.
Fritz T.,Tsonga J.W.
Herbert P.H.,Verdasco F.
Simon G.,Popyrin A.
Pella G.,Cilic M.
Sonego L.,Khachanov K.
Djokovic N.,Kohlschreiber P.
Coric B.,Munar J.
Cecchinato M.,Wawrinka S.
Tsitsipas S.,Kukushkin M.
Medvedev D.,Albot R.
Herbert P.H.,Nishikori K.
