Location,Surface,Date,Tournament
Brisbane,Hard,1/4/2010,Brisbane International
Brisbane,Hard,1/5/2010,Brisbane International
Brisbane,Hard,1/6/2010,Brisbane International
Brisbane,Hard,1/7/2010,Brisbane International
Brisbane,Hard,1/8/2010,Brisbane International
Brisbane,Hard,1/9/2010,Brisbane International
Brisbane,Hard,1/10/2010,Brisbane International
Chennai,Hard,1/4/2010,Chennai Open
Chennai,Hard,1/5/2010,Chennai Open
Chennai,Hard,1/6/2010,Chennai Open
Chennai,Hard,1/7/2010,Chennai Open
Chennai,Hard,1/8/2010,Chennai Open
Chennai,Hard,1/9/2010,Chennai Open
Chennai,Hard,1/10/2010,Chennai Open
Doha,Hard,1/4/2010,Qatar Exxon Mobil Open
Doha,Hard,1/5/2010,Qatar Exxon Mobil Open
Doha,Hard,1/6/2010,Qatar Exxon Mobil Open
Doha,Hard,1/7/2010,Qatar Exxon Mobil Open
Doha,Hard,1/8/2010,Qatar Exxon Mobil Open
Doha,Hard,1/9/2010,Qatar Exxon Mobil Open
Auckland,Hard,1/10/2010,Heineken Open
Auckland,Hard,1/11/2010,Heineken Open
Auckland,Hard,1/12/2010,Heineken Open
Auckland,Hard,1/13/2010,Heineken Open
Auckland,Hard,1/14/2010,Heineken Open
Auckland,Hard,1/15/2010,Heineken Open
Auckland,Hard,1/16/2010,Heineken Open
Sydney,Hard,1/11/2010,Medibank International
Sydney,Hard,1/12/2010,Medibank International
Sydney,Hard,1/13/2010,Medibank International
Sydney,Hard,1/14/2010,Medibank International
Sydney,Hard,1/15/2010,Medibank International
Sydney,Hard,1/16/2010,Medibank International
Melbourne,Hard,1/18/2010,Australian Open
Melbourne,Hard,1/19/2010,Australian Open
Melbourne,Hard,1/20/2010,Australian Open
Melbourne,Hard,1/21/2010,Australian Open
Melbourne,Hard,1/22/2010,Australian Open
Melbourne,Hard,1/23/2010,Australian Open
Melbourne,Hard,1/24/2010,Australian Open
Melbourne,Hard,1/25/2010,Australian Open
Melbourne,Hard,1/26/2010,Australian Open
Melbourne,Hard,1/27/2010,Australian Open
Melbourne,Hard,1/28/2010,Australian Open
Melbourne,Hard,1/29/2010,Australian Open
Melbourne,Hard,1/31/2010,Australian Open
Johannesburg ,Hard,2/1/2010,SA Tennis Open
Johannesburg ,Hard,2/2/2010,SA Tennis Open
Johannesburg ,Hard,2/3/2010,SA Tennis Open
Johannesburg ,Hard,2/4/2010,SA Tennis Open
Johannesburg ,Hard,2/5/2010,SA Tennis Open
Johannesburg ,Hard,2/6/2010,SA Tennis Open
Johannesburg ,Hard,2/7/2010,SA Tennis Open
Santiago,Clay,2/1/2010,Movistar Open
Santiago,Clay,2/2/2010,Movistar Open
Santiago,Clay,2/3/2010,Movistar Open
Santiago,Clay,2/4/2010,Movistar Open
Santiago,Clay,2/5/2010,Movistar Open
Santiago,Clay,2/6/2010,Movistar Open
Santiago,Clay,2/7/2010,Movistar Open
Santiago,Clay,2/8/2010,Movistar Open
Zagreb,Hard,2/1/2010,PBZ Zagreb Indoors
Zagreb,Hard,2/2/2010,PBZ Zagreb Indoors
Zagreb,Hard,2/3/2010,PBZ Zagreb Indoors
Zagreb,Hard,2/4/2010,PBZ Zagreb Indoors
Zagreb,Hard,2/5/2010,PBZ Zagreb Indoors
Zagreb,Hard,2/6/2010,PBZ Zagreb Indoors
Zagreb,Hard,2/7/2010,PBZ Zagreb Indoors
Costa Do Sauipe,Clay,2/8/2010,Brasil Open
Costa Do Sauipe,Clay,2/9/2010,Brasil Open
Costa Do Sauipe,Clay,2/10/2010,Brasil Open
Costa Do Sauipe,Clay,2/11/2010,Brasil Open
Costa Do Sauipe,Clay,2/12/2010,Brasil Open
Costa Do Sauipe,Clay,2/13/2010,Brasil Open
Costa Do Sauipe,Clay,2/14/2010,Brasil Open
Rotterdam,Hard,2/8/2010,ABN AMRO World Tennis Tournament
Rotterdam,Hard,2/9/2010,ABN AMRO World Tennis Tournament
Rotterdam,Hard,2/10/2010,ABN AMRO World Tennis Tournament
Rotterdam,Hard,2/11/2010,ABN AMRO World Tennis Tournament
Rotterdam,Hard,2/12/2010,ABN AMRO World Tennis Tournament
Rotterdam,Hard,2/13/2010,ABN AMRO World Tennis Tournament
Rotterdam,Hard,2/14/2010,ABN AMRO World Tennis Tournament
San Jose,Hard,2/8/2010,SAP Open
San Jose,Hard,2/9/2010,SAP Open
San Jose,Hard,2/10/2010,SAP Open
San Jose,Hard,2/11/2010,SAP Open
San Jose,Hard,2/12/2010,SAP Open
San Jose,Hard,2/13/2010,SAP Open
San Jose,Hard,2/14/2010,SAP Open
Buenos Aires,Clay,2/15/2010,Copa Telmex
Buenos Aires,Clay,2/16/2010,Copa Telmex
Buenos Aires,Clay,2/17/2010,Copa Telmex
Buenos Aires,Clay,2/18/2010,Copa Telmex
Buenos Aires,Clay,2/19/2010,Copa Telmex
Buenos Aires,Clay,2/20/2010,Copa Telmex
Buenos Aires,Clay,2/21/2010,Copa Telmex
Marseille,Hard,2/15/2010,Open 13
Marseille,Hard,2/16/2010,Open 13
Marseille,Hard,2/17/2010,Open 13
Marseille,Hard,2/18/2010,Open 13
Marseille,Hard,2/19/2010,Open 13
Marseille,Hard,2/20/2010,Open 13
Marseille,Hard,2/21/2010,Open 13
Memphis,Hard,2/15/2010,Regions Morgan Keegan Championships
Memphis,Hard,2/16/2010,Regions Morgan Keegan Championships
Memphis,Hard,2/17/2010,Regions Morgan Keegan Championships
Memphis,Hard,2/18/2010,Regions Morgan Keegan Championships
Memphis,Hard,2/19/2010,Regions Morgan Keegan Championships
Memphis,Hard,2/20/2010,Regions Morgan Keegan Championships
Memphis,Hard,2/21/2010,Regions Morgan Keegan Championships
Acapulco,Clay,2/22/2010,Abierto Mexicano
Acapulco,Clay,2/23/2010,Abierto Mexicano
Acapulco,Clay,2/24/2010,Abierto Mexicano
Acapulco,Clay,2/25/2010,Abierto Mexicano
Acapulco,Clay,2/26/2010,Abierto Mexicano
Acapulco,Clay,2/27/2010,Abierto Mexicano
Acapulco,Clay,2/28/2010,Abierto Mexicano
Delray Beach,Hard,2/22/2010,International Championships
Delray Beach,Hard,2/23/2010,International Championships
Delray Beach,Hard,2/24/2010,International Championships
Delray Beach,Hard,2/25/2010,International Championships
Delray Beach,Hard,2/26/2010,International Championships
Delray Beach,Hard,2/27/2010,International Championships
Delray Beach,Hard,2/28/2010,International Championships
Dubai ,Hard,2/22/2010,Dubai Tennis Championships
Dubai ,Hard,2/23/2010,Dubai Tennis Championships
Dubai ,Hard,2/24/2010,Dubai Tennis Championships
Dubai ,Hard,2/25/2010,Dubai Tennis Championships
Dubai ,Hard,2/26/2010,Dubai Tennis Championships
Dubai ,Hard,2/28/2010,Dubai Tennis Championships
Indian Wells,Hard,3/11/2010,BNP Paribas Open
Indian Wells,Hard,3/12/2010,BNP Paribas Open
Indian Wells,Hard,3/13/2010,BNP Paribas Open
Indian Wells,Hard,3/14/2010,BNP Paribas Open
Indian Wells,Hard,3/15/2010,BNP Paribas Open
Indian Wells,Hard,3/16/2010,BNP Paribas Open
Indian Wells,Hard,3/17/2010,BNP Paribas Open
Indian Wells,Hard,3/18/2010,BNP Paribas Open
Indian Wells,Hard,3/19/2010,BNP Paribas Open
Indian Wells,Hard,3/20/2010,BNP Paribas Open
Indian Wells,Hard,3/21/2010,BNP Paribas Open
Miami,Hard,3/24/2010,Sony Ericsson Open
Miami,Hard,3/25/2010,Sony Ericsson Open
Miami,Hard,3/26/2010,Sony Ericsson Open
Miami,Hard,3/27/2010,Sony Ericsson Open
Miami,Hard,3/28/2010,Sony Ericsson Open
Miami,Hard,3/29/2010,Sony Ericsson Open
Miami,Hard,3/30/2010,Sony Ericsson Open
Miami,Hard,3/31/2010,Sony Ericsson Open
Miami,Hard,4/1/2010,Sony Ericsson Open
Miami,Hard,4/2/2010,Sony Ericsson Open
Miami,Hard,4/4/2010,Sony Ericsson Open
Casablanca,Clay,4/5/2010,Grand Prix Hassan II
Casablanca,Clay,4/6/2010,Grand Prix Hassan II
Casablanca,Clay,4/7/2010,Grand Prix Hassan II
Casablanca,Clay,4/8/2010,Grand Prix Hassan II
Casablanca,Clay,4/9/2010,Grand Prix Hassan II
Casablanca,Clay,4/10/2010,Grand Prix Hassan II
Casablanca,Clay,4/11/2010,Grand Prix Hassan II
Houston,Clay,4/5/2010,U.S. Men's Clay Court Championships
Houston,Clay,4/6/2010,U.S. Men's Clay Court Championships
Houston,Clay,4/7/2010,U.S. Men's Clay Court Championships
Houston,Clay,4/8/2010,U.S. Men's Clay Court Championships
Houston,Clay,4/9/2010,U.S. Men's Clay Court Championships
Houston,Clay,4/10/2010,U.S. Men's Clay Court Championships
Monte Carlo,Clay,4/11/2010,Monte Carlo Masters
Monte Carlo,Clay,4/12/2010,Monte Carlo Masters
Monte Carlo,Clay,4/13/2010,Monte Carlo Masters
Monte Carlo,Clay,4/14/2010,Monte Carlo Masters
Monte Carlo,Clay,4/15/2010,Monte Carlo Masters
Monte Carlo,Clay,4/16/2010,Monte Carlo Masters
Monte Carlo,Clay,4/17/2010,Monte Carlo Masters
Monte Carlo,Clay,4/18/2010,Monte Carlo Masters
Barcelona,Clay,4/19/2010,Open Banco Sabadell
Barcelona,Clay,4/20/2010,Open Banco Sabadell
Barcelona,Clay,4/21/2010,Open Banco Sabadell
Barcelona,Clay,4/22/2010,Open Banco Sabadell
Barcelona,Clay,4/23/2010,Open Banco Sabadell
Barcelona,Clay,4/24/2010,Open Banco Sabadell
Barcelona,Clay,4/25/2010,Open Banco Sabadell
Rome,Clay,4/25/2010,Internazionali BNL d'Italia
Rome,Clay,4/26/2010,Internazionali BNL d'Italia
Rome,Clay,4/27/2010,Internazionali BNL d'Italia
Rome,Clay,4/28/2010,Internazionali BNL d'Italia
Rome,Clay,4/29/2010,Internazionali BNL d'Italia
Rome,Clay,4/30/2010,Internazionali BNL d'Italia
Rome,Clay,5/1/2010,Internazionali BNL d'Italia
Rome,Clay,5/2/2010,Internazionali BNL d'Italia
Belgrade,Clay,5/3/2010,Serbia Open
Belgrade,Clay,5/4/2010,Serbia Open
Belgrade,Clay,5/5/2010,Serbia Open
Belgrade,Clay,5/6/2010,Serbia Open
Belgrade,Clay,5/7/2010,Serbia Open
Belgrade,Clay,5/8/2010,Serbia Open
Belgrade,Clay,5/9/2010,Serbia Open
Estoril ,Clay,5/3/2010,Estoril Open
Estoril ,Clay,5/4/2010,Estoril Open
Estoril ,Clay,5/5/2010,Estoril Open
Estoril ,Clay,5/6/2010,Estoril Open
Estoril ,Clay,5/7/2010,Estoril Open
Estoril ,Clay,5/8/2010,Estoril Open
Estoril ,Clay,5/9/2010,Estoril Open
Munich,Clay,5/3/2010,BMW Open
Munich,Clay,5/4/2010,BMW Open
Munich,Clay,5/5/2010,BMW Open
Munich,Clay,5/6/2010,BMW Open
Munich,Clay,5/7/2010,BMW Open
Munich,Clay,5/8/2010,BMW Open
Munich,Clay,5/9/2010,BMW Open
Madrid,Clay,5/9/2010,Mutua Madrileña Madrid Open
Madrid,Clay,5/10/2010,Mutua Madrileña Madrid Open
Madrid,Clay,5/11/2010,Mutua Madrileña Madrid Open
Madrid,Clay,5/12/2010,Mutua Madrileña Madrid Open
Madrid,Clay,5/13/2010,Mutua Madrileña Madrid Open
Madrid,Clay,5/14/2010,Mutua Madrileña Madrid Open
Madrid,Clay,5/15/2010,Mutua Madrileña Madrid Open
Madrid,Clay,5/16/2010,Mutua Madrileña Madrid Open
Nice,Clay,5/16/2010,Open de Nice Côte d’Azur
Nice,Clay,5/17/2010,Open de Nice Côte d’Azur
Nice,Clay,5/18/2010,Open de Nice Côte d’Azur
Nice,Clay,5/19/2010,Open de Nice Côte d’Azur
Nice,Clay,5/20/2010,Open de Nice Côte d’Azur
Nice,Clay,5/21/2010,Open de Nice Côte d’Azur
Nice,Clay,5/22/2010,Open de Nice Côte d’Azur
Paris,Clay,5/23/2010,French Open
Paris,Clay,5/24/2010,French Open
Paris,Clay,5/25/2010,French Open
Paris,Clay,5/26/2010,French Open
Paris,Clay,5/27/2010,French Open
Paris,Clay,5/28/2010,French Open
Paris,Clay,5/29/2010,French Open
Paris,Clay,5/30/2010,French Open
Paris,Clay,5/31/2010,French Open
Paris,Clay,6/1/2010,French Open
Paris,Clay,6/2/2010,French Open
Paris,Clay,6/4/2010,French Open
Paris,Clay,6/6/2010,French Open
Halle,Grass,6/7/2010,Gerry Weber Open
Halle,Grass,6/8/2010,Gerry Weber Open
Halle,Grass,6/9/2010,Gerry Weber Open
Halle,Grass,6/10/2010,Gerry Weber Open
Halle,Grass,6/11/2010,Gerry Weber Open
Halle,Grass,6/12/2010,Gerry Weber Open
Halle,Grass,6/13/2010,Gerry Weber Open
Queens Club,Grass,6/7/2010,AEGON Championships
Queens Club,Grass,6/8/2010,AEGON Championships
Queens Club,Grass,6/9/2010,AEGON Championships
Queens Club,Grass,6/10/2010,AEGON Championships
Queens Club,Grass,6/11/2010,AEGON Championships
Queens Club,Grass,6/12/2010,AEGON Championships
Queens Club,Grass,6/13/2010,AEGON Championships
Eastbourne,Grass,6/13/2010,AEGON International
Eastbourne,Grass,6/14/2010,AEGON International
Eastbourne,Grass,6/15/2010,AEGON International
Eastbourne,Grass,6/16/2010,AEGON International
Eastbourne,Grass,6/17/2010,AEGON International
Eastbourne,Grass,6/18/2010,AEGON International
Eastbourne,Grass,6/19/2010,AEGON International
's-Hertogenbosch,Grass,6/13/2010,Unicef Open
's-Hertogenbosch,Grass,6/14/2010,Unicef Open
's-Hertogenbosch,Grass,6/15/2010,Unicef Open
's-Hertogenbosch,Grass,6/16/2010,Unicef Open
's-Hertogenbosch,Grass,6/17/2010,Unicef Open
's-Hertogenbosch,Grass,6/18/2010,Unicef Open
's-Hertogenbosch,Grass,6/19/2010,Unicef Open
London,Grass,6/21/2010,Wimbledon
London,Grass,6/22/2010,Wimbledon
London,Grass,6/23/2010,Wimbledon
London,Grass,6/24/2010,Wimbledon
London,Grass,6/25/2010,Wimbledon
London,Grass,6/26/2010,Wimbledon
London,Grass,6/28/2010,Wimbledon
London,Grass,6/30/2010,Wimbledon
London,Grass,7/2/2010,Wimbledon
London,Grass,7/4/2010,Wimbledon
Newport,Grass,7/5/2010,Hall of Fame Championships
Newport,Grass,7/6/2010,Hall of Fame Championships
Newport,Grass,7/7/2010,Hall of Fame Championships
Newport,Grass,7/8/2010,Hall of Fame Championships
Newport,Grass,7/9/2010,Hall of Fame Championships
Newport,Grass,7/10/2010,Hall of Fame Championships
Newport,Grass,7/11/2010,Hall of Fame Championships
Bastad,Clay,7/12/2010,SkiStar Swedish Open
Bastad,Clay,7/13/2010,SkiStar Swedish Open
Bastad,Clay,7/14/2010,SkiStar Swedish Open
Bastad,Clay,7/15/2010,SkiStar Swedish Open
Bastad,Clay,7/16/2010,SkiStar Swedish Open
Bastad,Clay,7/17/2010,SkiStar Swedish Open
Bastad,Clay,7/18/2010,SkiStar Swedish Open
Stuttgart,Clay,7/12/2010,Mercedes Cup
Stuttgart,Clay,7/13/2010,Mercedes Cup
Stuttgart,Clay,7/14/2010,Mercedes Cup
Stuttgart,Clay,7/15/2010,Mercedes Cup
Stuttgart,Clay,7/16/2010,Mercedes Cup
Stuttgart,Clay,7/17/2010,Mercedes Cup
Stuttgart,Clay,7/18/2010,Mercedes Cup
Atlanta,Hard,7/19/2010,Atlanta Tennis Championships
Atlanta,Hard,7/20/2010,Atlanta Tennis Championships
Atlanta,Hard,7/21/2010,Atlanta Tennis Championships
Atlanta,Hard,7/22/2010,Atlanta Tennis Championships
Atlanta,Hard,7/23/2010,Atlanta Tennis Championships
Atlanta,Hard,7/24/2010,Atlanta Tennis Championships
Atlanta,Hard,7/25/2010,Atlanta Tennis Championships
Hamburg,Clay,7/19/2010,German Open Tennis Championships
Hamburg,Clay,7/20/2010,German Open Tennis Championships
Hamburg,Clay,7/21/2010,German Open Tennis Championships
Hamburg,Clay,7/22/2010,German Open Tennis Championships
Hamburg,Clay,7/23/2010,German Open Tennis Championships
Hamburg,Clay,7/24/2010,German Open Tennis Championships
Hamburg,Clay,7/25/2010,German Open Tennis Championships
Gstaad,Clay,7/25/2010,Allianz Suisse Open
Gstaad,Clay,7/26/2010,Allianz Suisse Open
Gstaad,Clay,7/27/2010,Allianz Suisse Open
Gstaad,Clay,7/28/2010,Allianz Suisse Open
Gstaad,Clay,7/29/2010,Allianz Suisse Open
Gstaad,Clay,7/30/2010,Allianz Suisse Open
Gstaad,Clay,7/31/2010,Allianz Suisse Open
Gstaad,Clay,8/1/2010,Allianz Suisse Open
Los Angeles,Hard,7/26/2010,Farmers Classic
Los Angeles,Hard,7/27/2010,Farmers Classic
Los Angeles,Hard,7/28/2010,Farmers Classic
Los Angeles,Hard,7/29/2010,Farmers Classic
Los Angeles,Hard,7/30/2010,Farmers Classic
Los Angeles,Hard,7/31/2010,Farmers Classic
Los Angeles,Hard,8/1/2010,Farmers Classic
Umag,Clay,7/26/2010,Studena Croatia Open
Umag,Clay,7/27/2010,Studena Croatia Open
Umag,Clay,7/28/2010,Studena Croatia Open
Umag,Clay,7/30/2010,Studena Croatia Open
Umag,Clay,7/31/2010,Studena Croatia Open
Umag,Clay,8/1/2010,Studena Croatia Open
Washington,Hard,8/1/2010,Legg Mason Classic
Washington,Hard,8/2/2010,Legg Mason Classic
Washington,Hard,8/3/2010,Legg Mason Classic
Washington,Hard,8/4/2010,Legg Mason Classic
Washington,Hard,8/5/2010,Legg Mason Classic
Washington,Hard,8/6/2010,Legg Mason Classic
Washington,Hard,8/7/2010,Legg Mason Classic
Washington,Hard,8/8/2010,Legg Mason Classic
Toronto,Hard,8/9/2010,Rogers Masters
Toronto,Hard,8/10/2010,Rogers Masters
Toronto,Hard,8/11/2010,Rogers Masters
Toronto,Hard,8/12/2010,Rogers Masters
Toronto,Hard,8/13/2010,Rogers Masters
Toronto,Hard,8/14/2010,Rogers Masters
Toronto,Hard,8/15/2010,Rogers Masters
Cincinnati,Hard,8/15/2010,Western & Southern Financial Group Masters
Cincinnati,Hard,8/16/2010,Western & Southern Financial Group Masters
Cincinnati,Hard,8/17/2010,Western & Southern Financial Group Masters
Cincinnati,Hard,8/18/2010,Western & Southern Financial Group Masters
Cincinnati,Hard,8/19/2010,Western & Southern Financial Group Masters
Cincinnati,Hard,8/20/2010,Western & Southern Financial Group Masters
Cincinnati,Hard,8/21/2010,Western & Southern Financial Group Masters
Cincinnati,Hard,8/22/2010,Western & Southern Financial Group Masters
New Haven,Hard,8/23/2010,Pilot Pen Tennis
New Haven,Hard,8/24/2010,Pilot Pen Tennis
New Haven,Hard,8/25/2010,Pilot Pen Tennis
New Haven,Hard,8/26/2010,Pilot Pen Tennis
New Haven,Hard,8/27/2010,Pilot Pen Tennis
New Haven,Hard,8/28/2010,Pilot Pen Tennis
New York,Hard,8/30/2010,US Open
New York,Hard,8/31/2010,US Open
New York,Hard,9/1/2010,US Open
New York,Hard,9/2/2010,US Open
New York,Hard,9/3/2010,US Open
New York,Hard,9/4/2010,US Open
New York,Hard,9/5/2010,US Open
New York,Hard,9/6/2010,US Open
New York,Hard,9/7/2010,US Open
New York,Hard,9/8/2010,US Open
New York,Hard,9/9/2010,US Open
New York,Hard,9/10/2010,US Open
New York,Hard,9/11/2010,US Open
New York,Hard,9/12/2010,US Open
Bucharest,Clay,9/20/2010,Open Romania
Bucharest,Clay,9/21/2010,Open Romania
Bucharest,Clay,9/22/2010,Open Romania
Bucharest,Clay,9/23/2010,Open Romania
Bucharest,Clay,9/24/2010,Open Romania
Bucharest,Clay,9/25/2010,Open Romania
Bucharest,Clay,9/26/2010,Open Romania
Metz,Hard,9/20/2010,Open de Moselle
Metz,Hard,9/21/2010,Open de Moselle
Metz,Hard,9/22/2010,Open de Moselle
Metz,Hard,9/23/2010,Open de Moselle
Metz,Hard,9/24/2010,Open de Moselle
Metz,Hard,9/25/2010,Open de Moselle
Metz,Hard,9/26/2010,Open de Moselle
Bangkok,Hard,9/27/2010,Thailand Open
Bangkok,Hard,9/28/2010,Thailand Open
Bangkok,Hard,9/29/2010,Thailand Open
Bangkok,Hard,9/30/2010,Thailand Open
Bangkok,Hard,10/1/2010,Thailand Open
Bangkok,Hard,10/2/2010,Thailand Open
Bangkok,Hard,10/3/2010,Thailand Open
Kuala Lumpur,Hard,9/27/2010,Proton Malaysian Open
Kuala Lumpur,Hard,9/28/2010,Proton Malaysian Open
Kuala Lumpur,Hard,9/29/2010,Proton Malaysian Open
Kuala Lumpur,Hard,9/30/2010,Proton Malaysian Open
Kuala Lumpur,Hard,10/1/2010,Proton Malaysian Open
Kuala Lumpur,Hard,10/2/2010,Proton Malaysian Open
Kuala Lumpur,Hard,10/3/2010,Proton Malaysian Open
Beijing,Hard,10/4/2010,China Open
Beijing,Hard,10/5/2010,China Open
Beijing,Hard,10/6/2010,China Open
Beijing,Hard,10/7/2010,China Open
Beijing,Hard,10/8/2010,China Open
Beijing,Hard,10/9/2010,China Open
Beijing,Hard,10/10/2010,China Open
Tokyo,Hard,10/4/2010,Rakuten Japan Open Tennis Championships
Tokyo,Hard,10/5/2010,Rakuten Japan Open Tennis Championships
Tokyo,Hard,10/6/2010,Rakuten Japan Open Tennis Championships
Tokyo,Hard,10/7/2010,Rakuten Japan Open Tennis Championships
Tokyo,Hard,10/8/2010,Rakuten Japan Open Tennis Championships
Tokyo,Hard,10/9/2010,Rakuten Japan Open Tennis Championships
Tokyo,Hard,10/10/2010,Rakuten Japan Open Tennis Championships
Shanghai,Hard,10/10/2010,Shanghai Masters
Shanghai,Hard,10/11/2010,Shanghai Masters
Shanghai,Hard,10/12/2010,Shanghai Masters
Shanghai,Hard,10/13/2010,Shanghai Masters
Shanghai,Hard,10/14/2010,Shanghai Masters
Shanghai,Hard,10/15/2010,Shanghai Masters
Shanghai,Hard,10/16/2010,Shanghai Masters
Shanghai,Hard,10/17/2010,Shanghai Masters
Moscow,Hard,10/18/2010,Kremlin Cup
Moscow,Hard,10/19/2010,Kremlin Cup
Moscow,Hard,10/20/2010,Kremlin Cup
Moscow,Hard,10/21/2010,Kremlin Cup
Moscow,Hard,10/22/2010,Kremlin Cup
Moscow,Hard,10/23/2010,Kremlin Cup
Moscow,Hard,10/24/2010,Kremlin Cup
Stockholm,Hard,10/18/2010,Stockholm Open
Stockholm,Hard,10/19/2010,Stockholm Open
Stockholm,Hard,10/20/2010,Stockholm Open
Stockholm,Hard,10/21/2010,Stockholm Open
Stockholm,Hard,10/22/2010,Stockholm Open
Stockholm,Hard,10/23/2010,Stockholm Open
Stockholm,Hard,10/24/2010,Stockholm Open
Montpellier,Hard,10/25/2010,Open Sud de France
Montpellier,Hard,10/26/2010,Open Sud de France
Montpellier,Hard,10/27/2010,Open Sud de France
Montpellier,Hard,10/28/2010,Open Sud de France
Montpellier,Hard,10/29/2010,Open Sud de France
Montpellier,Hard,10/30/2010,Open Sud de France
Montpellier,Hard,10/31/2010,Open Sud de France
St. Petersburg,Hard,10/25/2010,St. Petersburg Open
St. Petersburg,Hard,10/26/2010,St. Petersburg Open
St. Petersburg,Hard,10/27/2010,St. Petersburg Open
St. Petersburg,Hard,10/28/2010,St. Petersburg Open
St. Petersburg,Hard,10/29/2010,St. Petersburg Open
St. Petersburg,Hard,10/30/2010,St. Petersburg Open
St. Petersburg,Hard,10/31/2010,St. Petersburg Open
Vienna,Hard,10/25/2010,BA-CA Tennis Trophy
Vienna,Hard,10/26/2010,BA-CA Tennis Trophy
Vienna,Hard,10/27/2010,BA-CA Tennis Trophy
Vienna,Hard,10/28/2010,BA-CA Tennis Trophy
Vienna,Hard,10/29/2010,BA-CA Tennis Trophy
Vienna,Hard,10/30/2010,BA-CA Tennis Trophy
Vienna,Hard,10/31/2010,BA-CA Tennis Trophy
Basel,Hard,11/1/2010,Swiss Indoors
Basel,Hard,11/2/2010,Swiss Indoors
Basel,Hard,11/3/2010,Swiss Indoors
Basel,Hard,11/4/2010,Swiss Indoors
Basel,Hard,11/5/2010,Swiss Indoors
Basel,Hard,11/6/2010,Swiss Indoors
Basel,Hard,11/7/2010,Swiss Indoors
Valencia,Hard,10/31/2010,Valencia Open 500
Valencia,Hard,11/1/2010,Valencia Open 500
Valencia,Hard,11/2/2010,Valencia Open 500
Valencia,Hard,11/3/2010,Valencia Open 500
Valencia,Hard,11/4/2010,Valencia Open 500
Valencia,Hard,11/5/2010,Valencia Open 500
Valencia,Hard,11/6/2010,Valencia Open 500
Valencia,Hard,11/7/2010,Valencia Open 500
Paris,Hard,11/9/2010,BNP Paribas Masters
Paris,Hard,11/8/2010,BNP Paribas Masters
Paris,Hard,11/7/2010,BNP Paribas Masters
Paris,Hard,11/10/2010,BNP Paribas Masters
Paris,Hard,11/11/2010,BNP Paribas Masters
Paris,Hard,11/12/2010,BNP Paribas Masters
Paris,Hard,11/13/2010,BNP Paribas Masters
Paris,Hard,11/14/2010,BNP Paribas Masters
London,Hard,11/21/2010,Masters Cup
London,Hard,11/22/2010,Masters Cup
London,Hard,11/23/2010,Masters Cup
London,Hard,11/24/2010,Masters Cup
London,Hard,11/25/2010,Masters Cup
London,Hard,11/26/2010,Masters Cup
London,Hard,11/27/2010,Masters Cup
London,Hard,11/28/2010,Masters Cup
Brisbane,Hard,1/2/2011,Brisbane International
Brisbane,Hard,1/3/2011,Brisbane International
Brisbane,Hard,1/4/2011,Brisbane International
Brisbane,Hard,1/5/2011,Brisbane International
Brisbane,Hard,1/6/2011,Brisbane International
Brisbane,Hard,1/7/2011,Brisbane International
Brisbane,Hard,1/8/2011,Brisbane International
Brisbane,Hard,1/9/2011,Brisbane International
Chennai,Hard,1/3/2011,Chennai Open
Chennai,Hard,1/4/2011,Chennai Open
Chennai,Hard,1/5/2011,Chennai Open
Chennai,Hard,1/6/2011,Chennai Open
Chennai,Hard,1/7/2011,Chennai Open
Chennai,Hard,1/8/2011,Chennai Open
Chennai,Hard,1/9/2011,Chennai Open
Doha,Hard,1/3/2011,Qatar Exxon Mobil Open
Doha,Hard,1/4/2011,Qatar Exxon Mobil Open
Doha,Hard,1/5/2011,Qatar Exxon Mobil Open
Doha,Hard,1/6/2011,Qatar Exxon Mobil Open
Doha,Hard,1/7/2011,Qatar Exxon Mobil Open
Doha,Hard,1/8/2011,Qatar Exxon Mobil Open
Auckland,Hard,1/10/2011,Heineken Open
Auckland,Hard,1/11/2011,Heineken Open
Auckland,Hard,1/12/2011,Heineken Open
Auckland,Hard,1/13/2011,Heineken Open
Auckland,Hard,1/14/2011,Heineken Open
Auckland,Hard,1/15/2011,Heineken Open
Sydney,Hard,1/10/2011,Medibank International
Sydney,Hard,1/11/2011,Medibank International
Sydney,Hard,1/12/2011,Medibank International
Sydney,Hard,1/13/2011,Medibank International
Sydney,Hard,1/14/2011,Medibank International
Sydney,Hard,1/15/2011,Medibank International
Melbourne,Hard,1/17/2011,Australian Open
Melbourne,Hard,1/18/2011,Australian Open
Melbourne,Hard,1/19/2011,Australian Open
Melbourne,Hard,1/20/2011,Australian Open
Melbourne,Hard,1/21/2011,Australian Open
Melbourne,Hard,1/22/2011,Australian Open
Melbourne,Hard,1/23/2011,Australian Open
Melbourne,Hard,1/24/2011,Australian Open
Melbourne,Hard,1/25/2011,Australian Open
Melbourne,Hard,1/26/2011,Australian Open
Melbourne,Hard,1/27/2011,Australian Open
Melbourne,Hard,1/28/2011,Australian Open
Melbourne,Hard,1/30/2011,Australian Open
Johannesburg ,Hard,1/31/2011,SA Tennis Open
Johannesburg ,Hard,2/1/2011,SA Tennis Open
Johannesburg ,Hard,2/2/2011,SA Tennis Open
Johannesburg ,Hard,2/3/2011,SA Tennis Open
Johannesburg ,Hard,2/4/2011,SA Tennis Open
Johannesburg ,Hard,2/5/2011,SA Tennis Open
