nome,mao_dominante,data_de_nascimento,local,altura
Janvier M.,R,19961018,FRA,180
Bonzi B.,R,19960609,FRA,180
Safiullin R.,R,19970807,RUS,180
Mager G.,R,19941201,ITA,185
Shane R.,U,19940415,USA,180
Hoang A.,R,19951104,FRA,180
Tiurnev E.,R,19970408,RUS,180
Luz O.,R,19980208,BRA,180
Fritz T.,R,19971028,USA,193
Villasenor G.,U,19950512,MEX,180
Tiafoe F.,R,19980120,USA,188
Tabilo A.,L,19970602,CHI,180
Moroni G.,R,19980213,ITA,180
Rinderknech A.,R,19950723,FRA,180
Pellegrino A.,R,19970323,ITA,180
Miralles B.,R,19970112,ESP,180
Taberner C.,R,19970808,ESP,180
Wu T.,R,19980512,TPE,180
Berrettini M.,R,19960412,ITA,196
Erler A.,U,19971027,AUT,180
Nikles J.,R,19970323,SUI,180
Rijthoven T.,R,19970424,NED,180
Ficovich J.,R,19970124,ARG,180
Tsitsipas S.,R,19980812,GRE,193
Vukic A.,R,19960406,AUS,180
Wu Y.,U,19940508,CHN,180
Kwon S.,R,19971202,KOR,180
Sachko V.,R,19970714,UKR,180
Altmaier D.,R,19980912,GER,180
Arguello M.,R,19880213,BRA,180
Gojo B.,R,19980227,CRO,180
Klein L.,R,19980322,SVK,180
Hurkacz H.,R,19970211,POL,196
Acosta F.,U,19841216,COL,180
Hidalgo R.,U,19631226,ECU,180
Van D.,R,19940630,USA,180
Sonego L.,R,19950511,ITA,191
Mochizuki S.,U,19960907,JPN,180
Caruana L.,R,19980122,USA,180
Perez E.,R,19940903,USA,180
Borges N.,R,19970219,POR,180
Munar J.,U,19970505,ESP,180
Van D.,U,19830503,CAN,180
Shapovalov D.,L,19990415,CAN,185
Bellier A.,U,19961018,SUI,180
Van D.,U,19840712,NED,180
Brancaccio R.,U,19970504,ITA,180
Griekspoor T.,R,19960702,NED,180
Koepfer D.,L,19940429,GER,180
Van D.,U,19940202,AUS,180
Van D.,U,19791120,BEL,180
Gray A.,U,19841204,USA,180
Pujol G.,U,19880219,ESP,180
Herrera C.,U,19641206,COL,180
Kolar Z.,R,19961009,CZE,180
Molcan A.,L,19971201,SVK,180
Ymer M.,R,19980909,SWE,183
Munar J.,R,19970505,ESP,183
Harris L.,R,19970224,RSA,193
Ahouda A.,U,19970911,MAR,180
Soderlund C.,R,19970603,SWE,180
Huesler M.,L,19960624,SUI,180
Etcheverry T.,R,19990718,ARG,180
Moutet C.,L,19990419,FRA,178
Wessels L.,R,19980827,GER,180
Roumane R.,R,20000911,FRA,180
Blancaneaux G.,R,19980808,FRA,180
Dubrivnyy A.,R,19990131,RUS,180
Kirkin E.,R,19990127,TUR,180
Aliassime F.,R,20000808,CAN,193
Humbert U.,L,19980626,FRA,188
Catarina L.,R,19960826,MON,180
Oliel Y.,L,20000105,ISR,180
Kuhn N.,R,20000320,ESP,180
Kecmanovic M.,R,19990831,SRB,183
Valkusz M.,R,19980813,HUN,180
Fokina A.,R,19990605,ESP,183
Kopriva V.,U,19970615,CZE,180
Lazarov A.,R,19971106,BUL,180
Blanch U.,R,19980325,USA,180
Bergs Z.,R,19990603,BEL,180
Minaur A.,R,19990217,AUS,183
Kotov P.,R,19981118,RUS,180
Ruusuvuori E.,R,19990402,FIN,188
Bryde T.,R,19990824,USA,180
Lin J.,R,19990415,CAN,180
Gaston H.,L,20000926,FRA,180
Zuk K.,R,19990121,POL,180
Holmgren A.,R,19980422,DEN,180
Piros Z.,R,19991013,HUN,180
Molleker R.,R,20001026,GER,180
Rodionov J.,L,19990516,AUT,180
Kypson P.,R,19991028,USA,180
Avidzba A.,R,20000224,RUS,180
Donski A.,R,19980801,CAN,180
Riffice S.,U,19990301,USA,180
Benchetrit E.,R,19981002,FRA,180
Popyrin A.,R,19990805,AUS,196
Korda S.,R,20000705,USA,196
Wolf J.,R,19981221,USA,180
Mejia N.,R,20000211,COL,180
Tirante T.,R,20010410,ARG,180
Tsitsipas P.,U,20000727,GRE,180
Andreev A.,R,20010512,BUL,180
Cerundolo F.,R,19980813,ARG,180
Baez S.,R,20001228,ARG,180
Reinberg E.,R,19970420,USA,180
Cressy M.,R,19970508,USA,198
Tseng C.,R,20010808,TPE,180
Moeller M.,U,19990118,GER,180
Brooksby J.,R,20001026,USA,180
Vrbensky M.,R,19991226,CZE,180
Van D.,U,19650130,BEL,180
Sinner J.,R,20010816,ITA,188
Jubb P.,R,19991031,GBR,180
Zeppieri G.,L,20011207,ITA,180
Nakashima B.,R,20010803,USA,180
Ajdukovic D.,R,20010205,CRO,180
Musetti L.,R,20020303,ITA,185
Skatov T.,R,20010121,RUS,180
Cerundolo J.,L,20011115,ARG,180
Draper J.,L,20011222,GBR,180
Forejtek J.,R,20010310,CZE,180
Machac T.,R,20001013,CZE,180
Cobolli F.,U,20020506,ITA,180
Alcaraz C.,R,20030505,ESP,185
Mayot H.,R,20020204,FRA,180
Sweeny D.,R,20010212,AUS,180
Rune H.,R,20030429,DEN,180
Shi B.,R,20000224,USA,180
Nardi L.,R,20030806,ITA,180
Kachmazov A.,R,20020817,RUS,180
Svajda Z.,R,20021129,USA,180
Stricker D.,U,20020816,SUI,180
Nava D.,U,19990603,USA,180
Cazaux A.,R,20020823,FRA,180
Medjedovic H.,R,20030718,SRB,180
Schoolkate T.,R,20010226,AUS,180
Riedi L.,R,20020127,SUI,191
Neumayer L.,R,20020906,AUT,183
Topo M.,U,20030913,SRB,180
